road,random--la18,random--la111,random--la102,random--la109,random--la1018,random--la23,random--la211,random--la214,random--la215,random--la219,random--la311,random--la318,random--la321,random--la415,random--la57,random--la511,random--la517,random--la68,random--la617,random--la627,random--la74,random--la77,random--la711,random--la713,random--la714,random--la87,random--la819,random--la822,random--la914,random--la916
random--la18,1.0,0.8058823529411765,0.7523809523809524,0.7210526315789474,0.75625,0.7333333333333334,0.77,0.7347826086956522,0.8,0.74,0.7695652173913043,0.7916666666666666,0.7916666666666666,0.7619047619047619,0.7521739130434782,0.7608695652173914,0.76,0.7578947368421053,0.7272727272727273,0.8,0.8833333333333333,0.76875,0.7666666666666666,0.6611111111111111,0.76,0.7529411764705882,0.8142857142857143,0.6727272727272727,0.7434782608695651,0.75625
random--la111,0.8058823529411765,1.0,0.7529411764705882,0.8294117647058823,0.78125,0.7941176470588236,0.83,0.7764705882352941,0.7769230769230769,0.7529411764705882,0.7941176470588236,0.775,0.8,0.7470588235294118,0.8117647058823529,0.7588235294117647,0.74,0.7705882352941177,0.7058823529411764,0.7941176470588236,0.825,0.76875,0.6933333333333334,0.6882352941176471,0.8,0.7705882352941177,0.8235294117647058,0.7705882352941177,0.7529411764705882,0.74375
random--la102,0.7523809523809524,0.7529411764705882,1.0,0.7421052631578947,0.73125,0.7666666666666666,0.83,0.7761904761904762,0.8384615384615385,0.86,0.7285714285714286,0.8,0.7166666666666667,0.7333333333333334,0.7714285714285715,0.7428571428571429,0.78,0.7736842105263158,0.7380952380952381,0.7705882352941177,0.7666666666666666,0.81875,0.78,0.7611111111111111,0.8466666666666667,0.7470588235294118,0.7285714285714286,0.8,0.7761904761904762,0.80625
random--la109,0.7210526315789474,0.8294117647058823,0.7421052631578947,1.0,0.725,0.7526315789473684,0.77,0.7736842105263158,0.7923076923076923,0.7789473684210526,0.7736842105263158,0.7583333333333333,0.8,0.7473684210526316,0.7684210526315789,0.7421052631578947,0.88,0.7842105263157895,0.6947368421052631,0.7941176470588236,0.7833333333333333,0.775,0.7933333333333333,0.7222222222222222,0.8066666666666666,0.7647058823529411,0.7842105263157895,0.7052631578947368,0.7210526315789474,0.7125
random--la1018,0.75625,0.78125,0.73125,0.725,1.0,0.7375,0.81,0.74375,0.7307692307692308,0.70625,0.7625,0.775,0.75,0.825,0.8,0.8375,0.76,0.75625,0.76875,0.7625,0.7833333333333333,0.7375,0.7333333333333334,0.69375,0.7533333333333333,0.725,0.73125,0.7875,0.7875,0.7875
random--la23,0.7333333333333334,0.7941176470588236,0.7666666666666666,0.7526315789473684,0.7375,1.0,0.81,0.819047619047619,0.8076923076923077,0.8,0.7904761904761904,0.8333333333333334,0.6916666666666667,0.7857142857142857,0.8142857142857143,0.8142857142857143,0.74,0.8,0.7142857142857143,0.788235294117647,0.8083333333333333,0.78125,0.84,0.7388888888888889,0.78,0.8352941176470589,0.780952380952381,0.7095238095238094,0.7571428571428571,0.7375
random--la211,0.77,0.83,0.83,0.77,0.81,0.81,1.0,0.81,0.84,0.75,0.79,0.75,0.81,0.79,0.81,0.81,0.7,0.8200000000000001,0.81,0.88,0.81,0.8,0.76,0.81,0.8,0.8200000000000001,0.86,0.77,0.76,0.86
random--la214,0.7347826086956522,0.7764705882352941,0.7761904761904762,0.7736842105263158,0.74375,0.819047619047619,0.81,1.0,0.7615384615384615,0.8,0.7869565217391304,0.8,0.7,0.8047619047619048,0.8,0.8333333333333334,0.79,0.8210526315789474,0.75,0.8058823529411765,0.8166666666666667,0.7625,0.7733333333333333,0.7555555555555555,0.7866666666666666,0.7705882352941177,0.8,0.759090909090909,0.75,0.74375
random--la215,0.8,0.7769230769230769,0.8384615384615385,0.7923076923076923,0.7307692307692308,0.8076923076923077,0.84,0.7615384615384615,1.0,0.7923076923076923,0.7692307692307692,0.8083333333333333,0.7416666666666667,0.823076923076923,0.7769230769230769,0.7307692307692308,0.81,0.7923076923076923,0.7307692307692308,0.7538461538461538,0.775,0.8615384615384616,0.8153846153846154,0.7,0.8153846153846154,0.7384615384615385,0.7538461538461538,0.7692307692307692,0.8076923076923077,0.7307692307692308
random--la219,0.74,0.7529411764705882,0.86,0.7789473684210526,0.70625,0.8,0.75,0.8,0.7923076923076923,1.0,0.775,0.7666666666666666,0.6916666666666667,0.79,0.8,0.8049999999999999,0.81,0.7894736842105263,0.745,0.7941176470588236,0.75,0.76875,0.76,0.6888888888888889,0.8,0.7470588235294118,0.76,0.76,0.75,0.70625
random--la311,0.7695652173913043,0.7941176470588236,0.7285714285714286,0.7736842105263158,0.7625,0.7904761904761904,0.79,0.7869565217391304,0.7692307692307692,0.775,1.0,0.7916666666666666,0.825,0.7952380952380953,0.8,0.8217391304347826,0.84,0.7842105263157895,0.7272727272727273,0.7764705882352941,0.8833333333333333,0.775,0.78,0.6777777777777778,0.8066666666666666,0.7705882352941177,0.8047619047619048,0.7227272727272727,0.7913043478260869,0.74375
