test,num_obes
random--la18,1
random--la111,1
random--la102,0
random--la109,1
random--la1018,0
random--la23,0
random--la211,0
random--la214,0
random--la215,1
random--la219,1
random--la311,0
random--la318,0
random--la321,0
random--la415,1
random--la57,0
random--la511,1
random--la517,0
random--la68,0
random--la617,1
random--la627,1
random--la74,0
random--la77,1
random--la711,0
random--la713,1
random--la714,1
random--la87,1
random--la819,0
random--la822,0
random--la914,1
random--la916,0
