road,random--la18,random--la111,random--la102,random--la109,random--la1018,random--la23,random--la211,random--la214,random--la215,random--la219,random--la311,random--la318,random--la321,random--la415,random--la57,random--la511,random--la517,random--la68,random--la617,random--la627,random--la74,random--la77,random--la711,random--la713,random--la714,random--la87,random--la819,random--la822,random--la914,random--la916
random--la18,1.0,0.96484375,0.91796875,0.921875,0.92578125,0.9375,0.91796875,0.92578125,0.9453125,0.9375,0.953125,0.9375,0.9296875,0.9375,0.91796875,0.93359375,0.94921875,0.9375,0.92578125,0.9375,0.9453125,0.9296875,0.91796875,0.91796875,0.91796875,0.89453125,0.9296875,0.92578125,0.94921875,0.92578125
random--la111,0.96484375,1.0,0.9453125,0.95703125,0.9609375,0.92578125,0.953125,0.9609375,0.96484375,0.91796875,0.93359375,0.96484375,0.95703125,0.97265625,0.9140625,0.96875,0.9453125,0.94140625,0.9609375,0.97265625,0.93359375,0.96484375,0.953125,0.953125,0.9453125,0.921875,0.95703125,0.953125,0.9375,0.9609375
random--la102,0.91796875,0.9453125,1.0,0.95703125,0.9609375,0.94140625,0.9765625,0.96875,0.93359375,0.92578125,0.95703125,0.96484375,0.97265625,0.96484375,0.953125,0.953125,0.953125,0.96484375,0.9453125,0.96484375,0.92578125,0.94921875,0.96875,0.96875,0.9453125,0.9453125,0.95703125,0.9609375,0.9453125,0.96875
random--la109,0.921875,0.95703125,0.95703125,1.0,0.98046875,0.9375,0.96484375,0.97265625,0.953125,0.9296875,0.9453125,0.9609375,0.9765625,0.9609375,0.94921875,0.98046875,0.94921875,0.953125,0.96484375,0.984375,0.9453125,0.953125,0.96484375,0.97265625,0.96484375,0.94140625,0.9765625,0.97265625,0.94140625,0.98046875
random--la1018,0.92578125,0.9609375,0.9609375,0.98046875,1.0,0.94140625,0.9765625,0.984375,0.96484375,0.91796875,0.95703125,0.98046875,0.97265625,0.96484375,0.9453125,0.984375,0.9609375,0.95703125,0.96875,0.98828125,0.95703125,0.95703125,0.9765625,0.9765625,0.96875,0.9375,0.96484375,0.984375,0.9453125,0.9765625
random--la23,0.9375,0.92578125,0.94140625,0.9375,0.94140625,1.0,0.95703125,0.95703125,0.9453125,0.953125,0.96875,0.9453125,0.9375,0.9375,0.94921875,0.94921875,0.97265625,0.96875,0.91796875,0.9453125,0.9765625,0.9296875,0.94921875,0.93359375,0.94140625,0.91015625,0.9375,0.94140625,0.98828125,0.95703125
random--la211,0.91796875,0.953125,0.9765625,0.96484375,0.9765625,0.95703125,1.0,0.9921875,0.95703125,0.91796875,0.95703125,0.97265625,0.97265625,0.96484375,0.9453125,0.96875,0.96875,0.97265625,0.953125,0.98046875,0.94921875,0.95703125,0.9921875,0.9765625,0.953125,0.9296875,0.95703125,0.9609375,0.9609375,0.9765625
random--la214,0.92578125,0.9609375,0.96875,0.97265625,0.984375,0.95703125,0.9921875,1.0,0.96484375,0.92578125,0.96484375,0.98046875,0.97265625,0.97265625,0.9453125,0.9765625,0.9765625,0.97265625,0.9609375,0.98828125,0.95703125,0.96484375,0.9921875,0.9765625,0.9609375,0.9375,0.96484375,0.96875,0.9609375,0.984375
random--la215,0.9453125,0.96484375,0.93359375,0.953125,0.96484375,0.9453125,0.95703125,0.96484375,1.0,0.921875,0.9453125,0.9609375,0.953125,0.9609375,0.92578125,0.96484375,0.96484375,0.953125,0.95703125,0.96875,0.953125,0.9609375,0.95703125,0.94921875,0.94921875,0.91015625,0.9453125,0.95703125,0.94921875,0.95703125
random--la219,0.9375,0.91796875,0.92578125,0.9296875,0.91796875,0.953125,0.91796875,0.92578125,0.921875,1.0,0.953125,0.921875,0.9296875,0.9296875,0.95703125,0.91796875,0.94140625,0.9375,0.91015625,0.9296875,0.9453125,0.9140625,0.91796875,0.91796875,0.93359375,0.94921875,0.9375,0.91796875,0.94921875,0.94140625
random--la311,0.953125,0.93359375,0.95703125,0.9453125,0.95703125,0.96875,0.95703125,0.96484375,0.9453125,0.953125,1.0,0.9609375,0.953125,0.9453125,0.96484375,0.94140625,0.98046875,0.9765625,0.93359375,0.9609375,0.96875,0.9375,0.95703125,0.94921875,0.93359375,0.92578125,0.9453125,0.94921875,0.98046875,0.95703125
random--la318,0.9375,0.96484375,0.96484375,0.9609375,0.98046875,0.9453125,0.97265625,0.98046875,0.9609375,0.921875,0.9609375,1.0,0.96875,0.96875,0.94140625,0.98046875,0.97265625,0.953125,0.94921875,0.9765625,0.953125,0.9609375,0.97265625,0.96484375,0.96484375,0.93359375,0.96875,0.98046875,0.94921875,0.97265625
random--la321,0.9296875,0.95703125,0.97265625,0.9765625,0.97265625,0.9375,0.97265625,0.97265625,0.953125,0.9296875,0.953125,0.96875,1.0,0.9609375,0.94921875,0.97265625,0.95703125,0.953125,0.95703125,0.984375,0.9375,0.9609375,0.97265625,0.97265625,0.96484375,0.93359375,0.9765625,0.97265625,0.94140625,0.98046875
random--la415,0.9375,0.97265625,0.96484375,0.9609375,0.96484375,0.9375,0.96484375,0.97265625,0.9609375,0.9296875,0.9453125,0.96875,0.9609375,1.0,0.92578125,0.96484375,0.95703125,0.9609375,0.96484375,0.9765625,0.9453125,0.984375,0.96484375,0.98046875,0.94921875,0.93359375,0.953125,0.95703125,0.94921875,0.97265625
random--la57,0.91796875,0.9140625,0.953125,0.94921875,0.9453125,0.94921875,0.9453125,0.9453125,0.92578125,0.95703125,0.96484375,0.94140625,0.94921875,0.92578125,1.0,0.9375,0.9609375,0.95703125,0.921875,0.94140625,0.94140625,0.91796875,0.9453125,0.9453125,0.953125,0.953125,0.94921875,0.9453125,0.9453125,0.953125
random--la511,0.93359375,0.96875,0.953125,0.98046875,0.984375,0.94921875,0.96875,0.9765625,0.96484375,0.91796875,0.94140625,0.98046875,0.97265625,0.96484375,0.9375,1.0,0.9609375,0.94921875,0.9609375,0.98046875,0.95703125,0.95703125,0.96875,0.96875,0.9765625,0.9296875,0.97265625,0.984375,0.9453125,0.9765625
