test,num_obes
random--la14,1
random--la108,0
random--la24,0
random--la28,1
random--la214,0
random--la218,1
random--la220,1
random--la35,0
random--la42,1
random--la44,0
random--la412,1
random--la59,0
random--la510,1
random--la517,0
random--la520,0
random--la61,1
random--la63,1
random--la616,0
random--la623,0
random--la625,0
random--la75,0
random--la77,1
random--la79,1
random--la714,1
random--la87,1
random--la818,0
random--la821,0
random--la824,1
random--la92,0
random--la917,0
