road,random--la17,random--la111,random--la117,random--la108,random--la109,random--la1018,random--la23,random--la24,random--la214,random--la311,random--la44,random--la413,random--la57,random--la62,random--la625,random--la79,random--la716,random--la718,random--la719,random--la82,random--la811,random--la813,random--la814,random--la818,random--la92,random--la93,random--la96,random--la912,random--la916,random--la918
random--la17,1.0,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.9,0.7272727272727273,0.7,0.6666666666666666,0.5,0.6666666666666666,0.9,0.5,0.6153846153846154,0.6666666666666666,0.6363636363636364,0.7,0.4444444444444444,0.6,0.8,0.8888888888888888,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.7,0.5454545454545454,0.8,0.5,0.75,0.5454545454545454,1.0
random--la111,0.6363636363636364,1.0,0.6363636363636364,0.5,0.7272727272727273,0.9,0.7,0.5,0.6363636363636364,0.8181818181818182,0.5833333333333334,0.6363636363636364,0.6153846153846154,0.6666666666666666,0.8,0.7,0.4444444444444444,0.45454545454545453,0.6363636363636364,0.7,0.8181818181818182,0.8,0.6666666666666666,0.5454545454545454,0.7,0.8,0.6363636363636364,0.75,0.7,0.6363636363636364
random--la117,0.6363636363636364,0.6363636363636364,1.0,0.5,0.7272727272727273,0.7272727272727273,0.7,0.5,0.8,0.6666666666666666,0.7272727272727273,0.6363636363636364,0.6153846153846154,0.5384615384615384,0.6363636363636364,0.7,0.3,0.6,0.8,0.5454545454545454,0.8181818181818182,0.8,0.6666666666666666,0.5454545454545454,0.7,0.5,0.6363636363636364,0.75,0.5454545454545454,0.6363636363636364
random--la108,0.6666666666666666,0.5,0.5,1.0,0.6,0.6,0.5555555555555556,0.5,0.5,0.4166666666666667,0.6,0.5,0.38461538461538464,0.4166666666666667,0.5,0.75,0.42857142857142855,0.625,0.6666666666666666,0.5555555555555556,0.5454545454545454,0.5,0.4166666666666667,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5,0.2727272727272727,0.6666666666666666
random--la109,0.9,0.7272727272727273,0.7272727272727273,0.6,1.0,0.8181818181818182,0.6363636363636364,0.6,0.5833333333333334,0.75,0.8181818181818182,0.5833333333333334,0.6923076923076923,0.75,0.7272727272727273,0.8,0.4,0.5454545454545454,0.7272727272727273,0.8,0.75,0.7272727272727273,0.75,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5833333333333334,0.8333333333333334,0.6363636363636364,0.9
random--la1018,0.7272727272727273,0.9,0.7272727272727273,0.6,0.8181818181818182,1.0,0.6363636363636364,0.6,0.7272727272727273,0.75,0.6666666666666666,0.5833333333333334,0.6923076923076923,0.75,0.9,0.8,0.4,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.9090909090909091,0.9,0.75,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5833333333333334,0.8333333333333334,0.6363636363636364,0.7272727272727273
random--la23,0.7,0.7,0.7,0.5555555555555556,0.6363636363636364,0.6363636363636364,1.0,0.5555555555555556,0.5454545454545454,0.7272727272727273,0.8,0.7,0.5384615384615384,0.46153846153846156,0.5454545454545454,0.6,0.5,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7272727272727273,0.5454545454545454,0.5833333333333334,0.6,0.7777777777777778,0.7,0.7,0.6666666666666666,0.45454545454545453,0.7
random--la24,0.6666666666666666,0.5,0.5,0.5,0.6,0.6,0.5555555555555556,1.0,0.36363636363636365,0.4166666666666667,0.6,0.36363636363636365,0.38461538461538464,0.4166666666666667,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.625,0.6666666666666666,0.5555555555555556,0.5454545454545454,0.5,0.5454545454545454,0.75,0.4,0.5,0.36363636363636365,0.5,0.4,0.6666666666666666
random--la214,0.5,0.6363636363636364,0.8,0.5,0.5833333333333334,0.7272727272727273,0.5454545454545454,0.36363636363636365,1.0,0.6666666666666666,0.5833333333333334,0.5,0.6153846153846154,0.5384615384615384,0.6363636363636364,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.4166666666666667,0.8181818181818182,0.8,0.6666666666666666,0.4166666666666667,0.7,0.5,0.5,0.75,0.5454545454545454,0.5
random--la311,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.4166666666666667,0.75,0.75,0.7272727272727273,0.4166666666666667,0.6666666666666666,1.0,0.75,0.6666666666666666,0.7692307692307693,0.6923076923076923,0.6666666666666666,0.5833333333333334,0.36363636363636365,0.5,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.46153846153846156,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.9166666666666666,0.7272727272727273,0.6666666666666666
