names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la17,7.0,1.0,3.0,1.0,34.0,25.0,34.0,39.0,23.0,86.0,292.0,56.0,0.0,0.0,0.0,0.0
random--la111,7.0,3.0,1.0,14.0,6.0,3.0,13.0,23.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la117,7.0,3.0,1.0,1.0,11.0,5.0,4.0,7.0,5.0,14.0,57.0,0.0,0.0,0.0,0.0,0.0
random--la108,7.0,3.0,1.0,1.0,4.0,20.0,31.0,66.0,68.0,227.0,92.0,0.0,0.0,0.0,0.0,0.0
random--la109,7.0,3.0,1.0,4.0,24.0,13.0,11.0,12.0,18.0,44.0,26.0,56.0,0.0,0.0,0.0,0.0
random--la1018,7.0,3.0,1.0,1.0,4.0,19.0,71.0,65.0,219.0,106.0,139.0,17.0,0.0,0.0,0.0,0.0
random--la23,7.0,3.0,1.0,1.0,21.0,13.0,67.0,80.0,53.0,178.0,123.0,99.0,14.0,0.0,0.0,0.0
random--la24,7.0,3.0,1.0,1.0,4.0,4.0,7.0,4.0,65.0,228.0,139.0,4.0,0.0,0.0,0.0,0.0
random--la214,7.0,3.0,1.0,1.0,3.0,22.0,86.0,76.0,120.0,216.0,125.0,76.0,21.0,0.0,0.0,0.0
random--la311,7.0,3.0,1.0,1.0,16.0,28.0,86.0,69.0,170.0,158.0,130.0,26.0,4.0,0.0,0.0,0.0
random--la44,7.0,3.0,1.0,1.0,23.0,26.0,68.0,52.0,62.0,48.0,184.0,36.0,0.0,0.0,0.0,0.0
random--la413,7.0,3.0,1.0,1.0,11.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la57,7.0,3.0,1.0,18.0,37.0,61.0,65.0,66.0,187.0,207.0,93.0,17.0,14.0,0.0,0.0,0.0
random--la62,7.0,3.0,1.0,25.0,5.0,5.0,6.0,7.0,52.0,23.0,89.0,1.0,0.0,0.0,0.0,0.0
random--la625,7.0,1.0,3.0,1.0,4.0,4.0,65.0,214.0,162.0,103.0,146.0,1.0,0.0,0.0,0.0,0.0
random--la79,7.0,3.0,1.0,6.0,10.0,3.0,7.0,6.0,109.0,78.0,90.0,28.0,0.0,0.0,0.0,0.0
random--la716,7.0,3.0,1.0,1.0,4.0,5.0,6.0,3.0,77.0,42.0,147.0,60.0,0.0,0.0,0.0,0.0
random--la718,7.0,3.0,1.0,1.0,6.0,10.0,15.0,68.0,285.0,43.0,95.0,25.0,16.0,0.0,0.0,0.0
random--la719,7.0,3.0,1.0,7.0,11.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la82,7.0,3.0,4.0,12.0,13.0,6.0,5.0,7.0,8.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0
random--la811,7.0,3.0,1.0,10.0,7.0,6.0,11.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la813,7.0,3.0,1.0,9.0,17.0,35.0,63.0,32.0,130.0,45.0,81.0,59.0,17.0,0.0,0.0,0.0
random--la814,7.0,1.0,3.0,14.0,6.0,4.0,5.0,5.0,70.0,59.0,11.0,10.0,0.0,0.0,0.0,0.0
random--la818,7.0,3.0,1.0,1.0,3.0,3.0,7.0,39.0,179.0,77.0,212.0,36.0,24.0,0.0,0.0,0.0
random--la92,7.0,3.0,1.0,13.0,24.0,42.0,101.0,62.0,206.0,157.0,212.0,56.0,3.0,0.0,0.0,0.0
random--la93,7.0,3.0,1.0,12.0,58.0,25.0,82.0,11.0,33.0,54.0,175.0,14.0,0.0,0.0,0.0,0.0
random--la96,7.0,1.0,3.0,1.0,11.0,5.0,7.0,19.0,155.0,66.0,21.0,77.0,18.0,0.0,0.0,0.0
random--la912,7.0,3.0,1.0,1.0,12.0,23.0,66.0,31.0,177.0,283.0,193.0,0.0,0.0,0.0,0.0,0.0
random--la916,7.0,1.0,3.0,1.0,29.0,33.0,81.0,53.0,164.0,201.0,94.0,57.0,0.0,0.0,0.0,0.0
random--la918,7.0,3.0,1.0,1.0,16.0,20.0,49.0,133.0,241.0,63.0,22.0,57.0,0.0,0.0,0.0,0.0
