names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,241.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0
random--la111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0
random--la117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la108,0.0,0.0,0.0,0.0,0.0,0.0,3.0,275.0,233.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la109,0.0,0.0,1.0,0.0,0.0,2.0,1.0,103.0,86.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1018,0.0,0.0,0.0,0.0,0.0,0.0,5.0,349.0,289.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la23,0.0,0.0,0.0,0.0,0.0,8.0,5.0,351.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,348.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la311,0.0,0.0,0.0,0.0,0.0,0.0,6.0,334.0,335.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la44,0.0,0.0,0.0,0.0,0.0,5.0,24.0,243.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
random--la57,0.0,0.0,0.0,1.0,7.0,15.0,44.0,266.0,422.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la62,0.0,0.0,1.0,5.0,5.0,1.0,2.0,72.0,128.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0
random--la625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,150.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
random--la716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la718,0.0,0.0,0.0,0.0,0.0,0.0,8.0,267.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la719,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,17.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0
random--la82,3.0,0.0,2.0,3.0,3.0,2.0,8.0,10.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0
random--la813,0.0,0.0,0.0,4.0,1.0,4.0,26.0,186.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,79.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0
random--la818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la92,0.0,0.0,0.0,0.0,7.0,8.0,29.0,433.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,146.0,59.0,1.0,6.0,6.0,0.0,0.0,0.0
random--la96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,159.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0
random--la912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,321.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0
random--la916,0.0,0.0,0.0,0.0,0.0,5.0,7.0,331.0,362.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la918,0.0,0.0,0.0,0.0,0.0,5.0,10.0,318.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
