names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la17,28.0,13.0,4.0,2.0,45.0,81.0,100.0,38.0,34.0,21.0,68.0,96.0,13.0,2.0,4.0,52.0
random--la111,24.0,4.0,1.0,4.0,3.0,0.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
random--la117,0.0,0.0,0.0,3.0,34.0,36.0,4.0,9.0,10.0,6.0,2.0,0.0,2.0,1.0,0.0,8.0
random--la108,8.0,2.0,5.0,28.0,137.0,64.0,11.0,19.0,16.0,9.0,2.0,98.0,37.0,6.0,61.0,17.0
random--la109,4.0,0.0,0.0,2.0,7.0,27.0,26.0,38.0,22.0,3.0,3.0,44.0,7.0,4.0,2.0,30.0
random--la1018,59.0,6.0,71.0,24.0,58.0,29.0,47.0,54.0,29.0,12.0,55.0,20.0,9.0,60.0,107.0,12.0
random--la23,30.0,20.0,11.0,17.0,78.0,87.0,67.0,45.0,46.0,30.0,57.0,57.0,4.0,7.0,84.0,20.0
random--la24,0.0,0.0,5.0,45.0,73.0,55.0,43.0,15.0,30.0,13.0,15.0,120.0,40.0,13.0,0.0,0.0
random--la214,9.0,58.0,53.0,69.0,48.0,54.0,57.0,31.0,60.0,29.0,45.0,141.0,8.0,13.0,14.0,68.0
random--la311,73.0,26.0,42.0,75.0,16.0,30.0,29.0,33.0,55.0,29.0,65.0,102.0,5.0,36.0,49.0,34.0
random--la44,32.0,10.0,1.0,2.0,46.0,68.0,43.0,47.0,61.0,7.0,17.0,47.0,14.0,19.0,88.0,9.0
random--la413,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,1.0,0.0,3.0,5.0,0.0,0.0,9.0
random--la57,92.0,49.0,39.0,19.0,63.0,5.0,5.0,20.0,101.0,25.0,84.0,107.0,78.0,46.0,13.0,30.0
random--la62,14.0,12.0,30.0,5.0,3.0,1.0,0.0,16.0,15.0,10.0,59.0,32.0,2.0,11.0,3.0,11.0
random--la625,44.0,103.0,18.0,19.0,73.0,68.0,11.0,17.0,26.0,4.0,42.0,66.0,3.0,53.0,164.0,0.0
random--la79,0.0,1.0,49.0,16.0,32.0,43.0,35.0,8.0,18.0,3.0,27.0,27.0,68.0,8.0,1.0,12.0
random--la716,0.0,0.0,11.0,77.0,38.0,2.0,2.0,12.0,32.0,48.0,97.0,37.0,0.0,0.0,0.0,0.0
random--la718,12.0,18.0,130.0,55.0,4.0,1.0,4.0,17.0,68.0,19.0,55.0,19.0,102.0,23.0,48.0,0.0
random--la719,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0
random--la82,21.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,9.0,1.0,2.0,61.0,9.0,1.0,3.0,5.0
random--la811,17.0,4.0,3.0,4.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,13.0
random--la813,75.0,15.0,4.0,0.0,15.0,29.0,25.0,34.0,61.0,33.0,32.0,43.0,32.0,22.0,79.0,0.0
random--la814,0.0,5.0,36.0,10.0,18.0,8.0,5.0,12.0,31.0,9.0,0.0,3.0,26.0,13.0,3.0,16.0
random--la818,0.0,12.0,90.0,6.0,59.0,44.0,31.0,31.0,50.0,54.0,89.0,16.0,3.0,21.0,78.0,8.0
random--la92,71.0,11.0,59.0,7.0,81.0,120.0,34.0,45.0,95.0,7.0,26.0,79.0,104.0,53.0,8.0,87.0
random--la93,54.0,18.0,34.0,13.0,40.0,31.0,31.0,22.0,29.0,26.0,71.0,16.0,1.0,6.0,4.0,79.0
random--la96,0.0,0.0,36.0,75.0,10.0,17.0,27.0,25.0,59.0,5.0,6.0,2.0,69.0,17.0,30.0,13.0
random--la912,4.0,4.0,86.0,97.0,88.0,96.0,46.0,18.0,45.0,18.0,33.0,162.0,10.0,7.0,13.0,70.0
random--la916,48.0,10.0,8.0,56.0,49.0,95.0,40.0,30.0,43.0,26.0,33.0,44.0,116.0,21.0,43.0,62.0
random--la918,24.0,69.0,57.0,58.0,15.0,22.0,28.0,43.0,43.0,5.0,15.0,17.0,36.0,45.0,136.0,0.0
