road,random--la17,random--la111,random--la117,random--la108,random--la109,random--la1018,random--la23,random--la24,random--la214,random--la311,random--la44,random--la413,random--la57,random--la62,random--la625,random--la79,random--la716,random--la718,random--la719,random--la82,random--la811,random--la813,random--la814,random--la818,random--la92,random--la93,random--la96,random--la912,random--la916,random--la918
random--la17,1.0,0.8203125,0.78515625,0.828125,0.83984375,0.875,0.81640625,0.84375,0.859375,0.84375,0.86328125,0.77734375,0.859375,0.76953125,0.8671875,0.81640625,0.83203125,0.83203125,0.78125,0.7578125,0.75,0.84765625,0.828125,0.8125,0.85546875,0.83203125,0.8671875,0.875,0.87890625,0.8203125
random--la111,0.8203125,1.0,0.85546875,0.765625,0.85546875,0.7890625,0.70703125,0.8203125,0.75,0.7578125,0.78515625,0.90234375,0.7578125,0.83984375,0.828125,0.79296875,0.87109375,0.80859375,0.90625,0.8515625,0.8828125,0.78515625,0.8359375,0.7734375,0.76953125,0.79296875,0.8125,0.8046875,0.74609375,0.765625
random--la117,0.78515625,0.85546875,1.0,0.83984375,0.8046875,0.78515625,0.75,0.83984375,0.74609375,0.76171875,0.78125,0.8671875,0.73046875,0.8125,0.80078125,0.8515625,0.8359375,0.78125,0.84765625,0.81640625,0.83203125,0.78125,0.85546875,0.80859375,0.765625,0.7734375,0.80078125,0.80078125,0.75,0.75390625
random--la108,0.828125,0.765625,0.83984375,1.0,0.77734375,0.8671875,0.80078125,0.84375,0.8203125,0.828125,0.83984375,0.75390625,0.8125,0.75390625,0.8515625,0.83203125,0.80859375,0.81640625,0.7578125,0.7578125,0.7421875,0.80859375,0.8203125,0.7890625,0.81640625,0.78515625,0.8125,0.8671875,0.82421875,0.8125
random--la109,0.83984375,0.85546875,0.8046875,0.77734375,1.0,0.82421875,0.796875,0.80859375,0.80078125,0.77734375,0.828125,0.859375,0.78515625,0.8125,0.84765625,0.8125,0.84375,0.7734375,0.86328125,0.83984375,0.80078125,0.828125,0.81640625,0.82421875,0.8125,0.796875,0.88671875,0.82421875,0.8046875,0.77734375
random--la1018,0.875,0.7890625,0.78515625,0.8671875,0.82421875,1.0,0.83203125,0.84375,0.875,0.8671875,0.88671875,0.76171875,0.84375,0.78515625,0.9140625,0.82421875,0.82421875,0.87109375,0.7578125,0.75,0.7421875,0.86328125,0.859375,0.8515625,0.86328125,0.85546875,0.8671875,0.8828125,0.85546875,0.84375
random--la23,0.81640625,0.70703125,0.75,0.80078125,0.796875,0.83203125,1.0,0.80078125,0.83984375,0.84765625,0.8515625,0.703125,0.83203125,0.7578125,0.82421875,0.7890625,0.765625,0.7890625,0.69921875,0.71484375,0.69140625,0.8125,0.80078125,0.82421875,0.8359375,0.8046875,0.83203125,0.83984375,0.8359375,0.88671875
random--la24,0.84375,0.8203125,0.83984375,0.84375,0.80859375,0.84375,0.80078125,1.0,0.78125,0.8203125,0.85546875,0.80859375,0.78125,0.83203125,0.8515625,0.85546875,0.89453125,0.82421875,0.8125,0.8046875,0.8125,0.80859375,0.8671875,0.8671875,0.82421875,0.80859375,0.84375,0.84375,0.79296875,0.7890625
random--la214,0.859375,0.75,0.74609375,0.8203125,0.80078125,0.875,0.83984375,0.78125,1.0,0.8515625,0.83203125,0.69140625,0.859375,0.73046875,0.8671875,0.78515625,0.76953125,0.81640625,0.6953125,0.6953125,0.703125,0.81640625,0.8046875,0.84375,0.87890625,0.80859375,0.828125,0.8828125,0.87890625,0.84375
random--la311,0.84375,0.7578125,0.76171875,0.828125,0.77734375,0.8671875,0.84765625,0.8203125,0.8515625,1.0,0.85546875,0.72265625,0.8515625,0.74609375,0.84375,0.82421875,0.75390625,0.80859375,0.71875,0.71875,0.7265625,0.81640625,0.796875,0.8125,0.86328125,0.83203125,0.828125,0.828125,0.85546875,0.84375
random--la44,0.86328125,0.78515625,0.78125,0.83984375,0.828125,0.88671875,0.8515625,0.85546875,0.83203125,0.85546875,1.0,0.7734375,0.83203125,0.8125,0.85546875,0.8203125,0.8046875,0.84375,0.78515625,0.77734375,0.76953125,0.8515625,0.84765625,0.83984375,0.875,0.8125,0.85546875,0.84765625,0.8515625,0.85546875
random--la413,0.77734375,0.90234375,0.8671875,0.75390625,0.859375,0.76171875,0.703125,0.80859375,0.69140625,0.72265625,0.7734375,1.0,0.70703125,0.8203125,0.76953125,0.796875,0.859375,0.7734375,0.94140625,0.87890625,0.88671875,0.765625,0.83203125,0.80078125,0.703125,0.765625,0.82421875,0.76953125,0.71875,0.70703125
random--la57,0.859375,0.7578125,0.73046875,0.8125,0.78515625,0.84375,0.83203125,0.78125,0.859375,0.8515625,0.83203125,0.70703125,1.0,0.74609375,0.828125,0.76953125,0.75390625,0.81640625,0.7265625,0.7421875,0.71875,0.83984375,0.7890625,0.8125,0.86328125,0.79296875,0.8125,0.859375,0.88671875,0.8203125
random--la62,0.76953125,0.83984375,0.8125,0.75390625,0.8125,0.78515625,0.7578125,0.83203125,0.73046875,0.74609375,0.8125,0.8203125,0.74609375,1.0,0.81640625,0.8046875,0.8359375,0.7890625,0.83984375,0.81640625,0.85546875,0.7734375,0.82421875,0.81640625,0.75,0.7421875,0.82421875,0.76953125,0.75,0.76953125
random--la625,0.8671875,0.828125,0.80078125,0.8515625,0.84765625,0.9140625,0.82421875,0.8515625,0.8671875,0.84375,0.85546875,0.76953125,0.828125,0.81640625,1.0,0.83203125,0.84765625,0.83984375,0.7578125,0.7734375,0.7578125,0.83984375,0.8671875,0.8515625,0.87890625,0.81640625,0.8671875,0.875,0.83203125,0.8359375
random--la79,0.81640625,0.79296875,0.8515625,0.83203125,0.8125,0.82421875,0.7890625,0.85546875,0.78515625,0.82421875,0.8203125,0.796875,0.76953125,0.8046875,0.83203125,1.0,0.8203125,0.8046875,0.78515625,0.79296875,0.77734375,0.7734375,0.84765625,0.83984375,0.8125,0.8046875,0.85546875,0.82421875,0.7890625,0.79296875
random--la716,0.83203125,0.87109375,0.8359375,0.80859375,0.84375,0.82421875,0.765625,0.89453125,0.76953125,0.75390625,0.8046875,0.859375,0.75390625,0.8359375,0.84765625,0.8203125,1.0,0.828125,0.85546875,0.83203125,0.83203125,0.8046875,0.87109375,0.84765625,0.7734375,0.7890625,0.87109375,0.82421875,0.7734375,0.75390625
random--la718,0.83203125,0.80859375,0.78125,0.81640625,0.7734375,0.87109375,0.7890625,0.82421875,0.81640625,0.80859375,0.84375,0.7734375,0.81640625,0.7890625,0.83984375,0.8046875,0.828125,1.0,0.76953125,0.76953125,0.76171875,0.8203125,0.85546875,0.84765625,0.828125,0.796875,0.85546875,0.83984375,0.796875,0.82421875
