road,random--la17,random--la111,random--la117,random--la108,random--la109,random--la1018,random--la23,random--la24,random--la214,random--la311,random--la44,random--la413,random--la57,random--la62,random--la625,random--la79,random--la716,random--la718,random--la719,random--la82,random--la811,random--la813,random--la814,random--la818,random--la92,random--la93,random--la96,random--la912,random--la916,random--la918
random--la17,1.0,0.95703125,0.96484375,0.9609375,0.9765625,0.98046875,0.9375,0.95703125,0.98046875,0.953125,0.96875,0.94140625,0.94921875,0.92578125,0.9765625,0.9453125,0.97265625,0.96484375,0.91796875,0.92578125,0.93359375,0.9453125,0.95703125,0.96875,0.94140625,0.94921875,0.96875,0.98828125,0.98046875,0.9375
random--la111,0.95703125,1.0,0.9609375,0.94921875,0.95703125,0.9609375,0.92578125,0.953125,0.9609375,0.93359375,0.95703125,0.9453125,0.9140625,0.9375,0.96484375,0.94921875,0.9609375,0.953125,0.9375,0.9296875,0.9765625,0.93359375,0.9765625,0.95703125,0.9296875,0.9453125,0.93359375,0.96875,0.9609375,0.92578125
random--la117,0.96484375,0.9609375,1.0,0.97265625,0.95703125,0.9609375,0.94921875,0.9765625,0.953125,0.95703125,0.94921875,0.9375,0.9453125,0.9296875,0.96484375,0.96484375,0.9609375,0.9453125,0.921875,0.921875,0.953125,0.92578125,0.9453125,0.94921875,0.9453125,0.9609375,0.94140625,0.96875,0.953125,0.95703125
random--la108,0.9609375,0.94921875,0.97265625,1.0,0.953125,0.96484375,0.953125,0.98046875,0.96484375,0.96875,0.9609375,0.93359375,0.95703125,0.92578125,0.9609375,0.9609375,0.95703125,0.95703125,0.92578125,0.91796875,0.94140625,0.9375,0.94140625,0.953125,0.94921875,0.95703125,0.9375,0.97265625,0.95703125,0.9609375
random--la109,0.9765625,0.95703125,0.95703125,0.953125,1.0,0.98046875,0.9375,0.94921875,0.97265625,0.9453125,0.96875,0.93359375,0.94921875,0.94140625,0.9765625,0.9375,0.96484375,0.95703125,0.91796875,0.94921875,0.93359375,0.953125,0.94921875,0.9609375,0.95703125,0.94140625,0.953125,0.97265625,0.98046875,0.9453125
random--la1018,0.98046875,0.9609375,0.9609375,0.96484375,0.98046875,1.0,0.94140625,0.9609375,0.984375,0.95703125,0.97265625,0.9453125,0.9453125,0.9296875,0.98828125,0.94921875,0.9765625,0.9765625,0.921875,0.9375,0.9375,0.95703125,0.953125,0.97265625,0.9609375,0.9453125,0.96484375,0.9765625,0.9765625,0.95703125
random--la23,0.9375,0.92578125,0.94921875,0.953125,0.9375,0.94140625,1.0,0.96484375,0.95703125,0.96875,0.9609375,0.90234375,0.94921875,0.91796875,0.9453125,0.953125,0.94140625,0.95703125,0.90234375,0.91015625,0.91796875,0.953125,0.92578125,0.9609375,0.94921875,0.95703125,0.9375,0.93359375,0.95703125,0.9765625
random--la24,0.95703125,0.953125,0.9765625,0.98046875,0.94921875,0.9609375,0.96484375,1.0,0.96875,0.96484375,0.96484375,0.9375,0.9453125,0.9375,0.96484375,0.97265625,0.96875,0.9609375,0.921875,0.9296875,0.9453125,0.94140625,0.953125,0.97265625,0.9453125,0.953125,0.94140625,0.9609375,0.9609375,0.95703125
random--la214,0.98046875,0.9609375,0.953125,0.96484375,0.97265625,0.984375,0.95703125,0.96875,1.0,0.96484375,0.98046875,0.9453125,0.9453125,0.9296875,0.98046875,0.94921875,0.9765625,0.984375,0.921875,0.9296875,0.9375,0.96484375,0.9609375,0.98828125,0.953125,0.9453125,0.97265625,0.9765625,0.984375,0.94140625
random--la311,0.953125,0.93359375,0.95703125,0.96875,0.9453125,0.95703125,0.96875,0.96484375,0.96484375,1.0,0.953125,0.91015625,0.96484375,0.91015625,0.9453125,0.953125,0.94140625,0.96484375,0.89453125,0.89453125,0.92578125,0.9453125,0.93359375,0.953125,0.94921875,0.96484375,0.9375,0.94921875,0.95703125,0.96875
random--la44,0.96875,0.95703125,0.94921875,0.9609375,0.96875,0.97265625,0.9609375,0.96484375,0.98046875,0.953125,1.0,0.93359375,0.94921875,0.93359375,0.9765625,0.9453125,0.97265625,0.98046875,0.92578125,0.94140625,0.93359375,0.9765625,0.95703125,0.9765625,0.96484375,0.93359375,0.953125,0.96484375,0.98828125,0.9609375
random--la413,0.94140625,0.9453125,0.9375,0.93359375,0.93359375,0.9453125,0.90234375,0.9375,0.9453125,0.91015625,0.93359375,1.0,0.890625,0.90625,0.94921875,0.93359375,0.9453125,0.9296875,0.953125,0.9296875,0.9375,0.91015625,0.9375,0.94140625,0.90625,0.921875,0.94140625,0.953125,0.9375,0.90234375
random--la57,0.94921875,0.9140625,0.9453125,0.95703125,0.94921875,0.9453125,0.94921875,0.9453125,0.9453125,0.96484375,0.94921875,0.890625,1.0,0.9296875,0.93359375,0.92578125,0.9296875,0.9453125,0.890625,0.921875,0.90625,0.96484375,0.9140625,0.93359375,0.96875,0.9296875,0.92578125,0.9375,0.953125,0.95703125
random--la62,0.92578125,0.9375,0.9296875,0.92578125,0.94140625,0.9296875,0.91796875,0.9375,0.9296875,0.91015625,0.93359375,0.90625,0.9296875,1.0,0.94140625,0.92578125,0.9453125,0.921875,0.921875,0.9375,0.9375,0.93359375,0.9375,0.92578125,0.9453125,0.90625,0.91796875,0.921875,0.9296875,0.91796875
random--la625,0.9765625,0.96484375,0.96484375,0.9609375,0.9765625,0.98828125,0.9453125,0.96484375,0.98046875,0.9453125,0.9765625,0.94921875,0.93359375,0.94140625,1.0,0.953125,0.98828125,0.97265625,0.93359375,0.94140625,0.94140625,0.953125,0.96484375,0.9765625,0.95703125,0.94140625,0.96875,0.97265625,0.97265625,0.953125
random--la79,0.9453125,0.94921875,0.96484375,0.9609375,0.9375,0.94921875,0.953125,0.97265625,0.94921875,0.953125,0.9453125,0.93359375,0.92578125,0.92578125,0.953125,1.0,0.94140625,0.94140625,0.91015625,0.91015625,0.94140625,0.921875,0.94140625,0.953125,0.93359375,0.97265625,0.9375,0.94921875,0.94140625,0.953125
random--la716,0.97265625,0.9609375,0.9609375,0.95703125,0.96484375,0.9765625,0.94140625,0.96875,0.9765625,0.94140625,0.97265625,0.9453125,0.9296875,0.9453125,0.98828125,0.94140625,1.0,0.96875,0.9296875,0.9375,0.9453125,0.94921875,0.9765625,0.97265625,0.9453125,0.9296875,0.96484375,0.96875,0.96875,0.94140625
random--la718,0.96484375,0.953125,0.9453125,0.95703125,0.95703125,0.9765625,0.95703125,0.9609375,0.984375,0.96484375,0.98046875,0.9296875,0.9453125,0.921875,0.97265625,0.94140625,0.96875,1.0,0.9140625,0.921875,0.9296875,0.98046875,0.953125,0.98828125,0.9609375,0.9296875,0.96484375,0.9609375,0.96875,0.94921875
random--la719,0.91796875,0.9375,0.921875,0.92578125,0.91796875,0.921875,0.90234375,0.921875,0.921875,0.89453125,0.92578125,0.953125,0.890625,0.921875,0.93359375,0.91015625,0.9296875,0.9140625,1.0,0.9140625,0.9453125,0.90234375,0.9296875,0.91796875,0.90625,0.8984375,0.91796875,0.9296875,0.921875,0.90234375
random--la82,0.92578125,0.9296875,0.921875,0.91796875,0.94921875,0.9375,0.91015625,0.9296875,0.9296875,0.89453125,0.94140625,0.9296875,0.921875,0.9375,0.94140625,0.91015625,0.9375,0.921875,0.9140625,1.0,0.9140625,0.94140625,0.9140625,0.93359375,0.9375,0.890625,0.91015625,0.9296875,0.9375,0.91796875
