road,random--la115,random--la102,random--la103,random--la108,random--la1020,random--la23,random--la211,random--la218,random--la219,random--la222,random--la310,random--la44,random--la49,random--la412,random--la415,random--la517,random--la520,random--la61,random--la610,random--la622,random--la79,random--la714,random--la716,random--la719,random--la82,random--la85,random--la819,random--la820,random--la917,random--la922
random--la115,1.0,0.35714285714285715,0.16666666666666666,0.4,0.26666666666666666,0.5,0.2727272727272727,0.5,0.3333333333333333,0.46153846153846156,0.4,0.38461538461538464,0.38461538461538464,0.42857142857142855,0.38461538461538464,0.16666666666666666,0.42857142857142855,0.5,0.46153846153846156,0.36363636363636365,0.38461538461538464,0.26666666666666666,0.3333333333333333,0.2857142857142857,0.4166666666666667,0.3333333333333333,0.5,0.38461538461538464,0.45454545454545453,0.38461538461538464
random--la102,0.35714285714285715,1.0,0.35714285714285715,0.5833333333333334,0.4117647058823529,0.6428571428571429,0.26666666666666666,0.3333333333333333,0.5625,0.7142857142857143,0.625,0.4375,0.6428571428571429,0.5625,0.4375,0.35714285714285715,0.6666666666666666,0.5333333333333333,0.6,0.3333333333333333,0.7692307692307693,0.5,0.3076923076923077,0.5333333333333333,0.4666666666666667,0.5625,0.5333333333333333,0.4375,0.6153846153846154,0.6428571428571429
random--la103,0.16666666666666666,0.35714285714285715,1.0,0.2727272727272727,0.35714285714285715,0.5,0.16666666666666666,0.5,0.42857142857142855,0.35714285714285715,0.4,0.38461538461538464,0.5,0.42857142857142855,0.38461538461538464,0.4,0.3333333333333333,0.5,0.35714285714285715,0.36363636363636365,0.5,0.46153846153846156,0.5,0.5,0.5454545454545454,0.42857142857142855,0.5,0.6363636363636364,0.45454545454545453,0.38461538461538464
random--la108,0.4,0.5833333333333334,0.2727272727272727,1.0,0.1875,0.5,0.07692307692307693,0.15384615384615385,0.3333333333333333,0.5833333333333334,0.5,0.38461538461538464,0.5,0.3333333333333333,0.2857142857142857,0.2727272727272727,0.42857142857142855,0.5,0.46153846153846156,0.25,0.6363636363636364,0.46153846153846156,0.2,0.38461538461538464,0.4166666666666667,0.42857142857142855,0.5,0.38461538461538464,0.3333333333333333,0.38461538461538464
random--la1020,0.26666666666666666,0.4117647058823529,0.35714285714285715,0.1875,1.0,0.4375,0.46153846153846156,0.42857142857142855,0.7857142857142857,0.5,0.625,0.6428571428571429,0.5333333333333333,0.6666666666666666,0.6428571428571429,0.35714285714285715,0.5625,0.4375,0.6,0.42857142857142855,0.4375,0.6,0.21428571428571427,0.6428571428571429,0.4666666666666667,0.6666666666666666,0.5333333333333333,0.4375,0.4,0.6428571428571429
random--la23,0.5,0.6428571428571429,0.5,0.5,0.4375,1.0,0.2857142857142857,0.46153846153846156,0.6,0.6428571428571429,0.5625,0.5714285714285714,0.6923076923076923,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.6,0.6923076923076923,0.5333333333333333,0.35714285714285715,0.6923076923076923,0.5333333333333333,0.3333333333333333,0.5714285714285714,0.75,0.6,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5714285714285714
random--la211,0.2727272727272727,0.26666666666666666,0.16666666666666666,0.07692307692307693,0.46153846153846156,0.2857142857142857,1.0,0.25,0.5384615384615384,0.46153846153846156,0.4,0.2857142857142857,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.2727272727272727,0.5384615384615384,0.38461538461538464,0.46153846153846156,0.36363636363636365,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.38461538461538464,0.21428571428571427,0.5384615384615384,0.2857142857142857,0.2857142857142857,0.45454545454545453,0.5
random--la218,0.5,0.3333333333333333,0.5,0.15384615384615385,0.42857142857142855,0.46153846153846156,0.25,1.0,0.4,0.3333333333333333,0.375,0.35714285714285715,0.35714285714285715,0.5,0.46153846153846156,0.36363636363636365,0.4,0.46153846153846156,0.3333333333333333,0.45454545454545453,0.35714285714285715,0.3333333333333333,0.4444444444444444,0.35714285714285715,0.38461538461538464,0.3125,0.46153846153846156,0.5833333333333334,0.4166666666666667,0.35714285714285715
random--la219,0.3333333333333333,0.5625,0.42857142857142855,0.3333333333333333,0.7857142857142857,0.6,0.5384615384615384,0.4,1.0,0.6666666666666666,0.6875,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.5,0.5384615384615384,0.7333333333333333,0.6,0.6666666666666666,0.5,0.6,0.6666666666666666,0.38461538461538464,0.8461538461538461,0.5333333333333333,0.8571428571428571,0.6,0.5,0.5714285714285714,0.8461538461538461
random--la222,0.46153846153846156,0.7142857142857143,0.35714285714285715,0.5833333333333334,0.5,0.6428571428571429,0.46153846153846156,0.3333333333333333,0.6666666666666666,1.0,0.7333333333333333,0.5333333333333333,0.7692307692307693,0.6666666666666666,0.5333333333333333,0.35714285714285715,0.7857142857142857,0.6428571428571429,0.7142857142857143,0.42857142857142855,0.7692307692307693,0.6,0.3076923076923077,0.6428571428571429,0.4666666666666667,0.7857142857142857,0.6428571428571429,0.4375,0.6153846153846154,0.7692307692307693
random--la310,0.4,0.625,0.4,0.5,0.625,0.5625,0.4,0.375,0.6875,0.7333333333333333,1.0,0.6666666666666666,0.5625,0.6875,0.5625,0.4,0.8,0.5625,0.7333333333333333,0.4666666666666667,0.7857142857142857,0.7333333333333333,0.35714285714285715,0.6666666666666666,0.6,0.6875,0.5625,0.6666666666666666,0.5333333333333333,0.6666666666666666
random--la44,0.38461538461538464,0.4375,0.38461538461538464,0.38461538461538464,0.6428571428571429,0.5714285714285714,0.2857142857142857,0.35714285714285715,0.7142857142857143,0.5333333333333333,0.6666666666666666,1.0,0.5714285714285714,0.6,0.375,0.5,0.5,0.375,0.5333333333333333,0.5833333333333334,0.5714285714285714,0.5333333333333333,0.3333333333333333,0.8333333333333334,0.75,0.6,0.5714285714285714,0.4666666666666667,0.42857142857142855,0.6923076923076923
random--la49,0.38461538461538464,0.6428571428571429,0.5,0.5,0.5333333333333333,0.6923076923076923,0.38461538461538464,0.35714285714285715,0.7142857142857143,0.7692307692307693,0.5625,0.5714285714285714,1.0,0.6,0.5714285714285714,0.38461538461538464,0.6,0.6923076923076923,0.7692307692307693,0.5833333333333334,0.6923076923076923,0.5333333333333333,0.3333333333333333,0.6923076923076923,0.6153846153846154,0.8461538461538461,0.8333333333333334,0.4666666666666667,0.6666666666666666,0.6923076923076923
random--la412,0.42857142857142855,0.5625,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.5384615384615384,0.5,0.8571428571428571,0.6666666666666666,0.6875,0.6,0.6,1.0,0.6,0.42857142857142855,0.7333333333333333,0.7142857142857143,0.5625,0.4,0.6,0.6666666666666666,0.38461538461538464,0.7142857142857143,0.5333333333333333,0.7333333333333333,0.5,0.6,0.5714285714285714,0.7142857142857143
