names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la115,7.0,1.0,8.0,10.0,6.0,3.0,6.0,5.0,65.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0
random--la102,7.0,3.0,1.0,4.0,53.0,46.0,78.0,146.0,205.0,103.0,78.0,20.0,20.0,0.0,0.0,0.0
random--la103,7.0,3.0,1.0,7.0,13.0,43.0,25.0,37.0,128.0,157.0,87.0,56.0,0.0,0.0,0.0,0.0
random--la108,7.0,3.0,1.0,1.0,4.0,20.0,31.0,66.0,68.0,227.0,92.0,0.0,0.0,0.0,0.0,0.0
random--la1020,7.0,1.0,3.0,1.0,29.0,48.0,67.0,55.0,96.0,89.0,97.0,71.0,19.0,0.0,0.0,0.0
random--la23,7.0,3.0,1.0,1.0,21.0,13.0,67.0,80.0,53.0,178.0,123.0,99.0,14.0,0.0,0.0,0.0
random--la211,7.0,3.0,1.0,1.0,4.0,12.0,17.0,20.0,45.0,53.0,131.0,140.0,9.0,0.0,0.0,0.0
random--la218,7.0,3.0,5.0,11.0,4.0,4.0,5.0,6.0,5.0,53.0,105.0,155.0,3.0,0.0,0.0,0.0
random--la219,7.0,3.0,5.0,16.0,35.0,26.0,32.0,70.0,74.0,51.0,95.0,57.0,0.0,0.0,0.0,0.0
random--la222,7.0,1.0,3.0,1.0,29.0,30.0,76.0,102.0,149.0,176.0,110.0,28.0,15.0,0.0,0.0,0.0
random--la310,7.0,3.0,1.0,3.0,41.0,87.0,71.0,57.0,182.0,136.0,274.0,68.0,11.0,0.0,0.0,0.0
random--la44,7.0,3.0,1.0,1.0,23.0,26.0,68.0,52.0,62.0,48.0,184.0,36.0,0.0,0.0,0.0,0.0
random--la49,7.0,3.0,1.0,3.0,11.0,4.0,7.0,6.0,127.0,55.0,75.0,14.0,3.0,0.0,0.0,0.0
random--la412,7.0,3.0,1.0,12.0,18.0,17.0,72.0,124.0,141.0,27.0,128.0,98.0,0.0,0.0,0.0,0.0
random--la415,7.0,3.0,1.0,6.0,11.0,4.0,6.0,5.0,24.0,22.0,84.0,102.0,0.0,0.0,0.0,0.0
random--la517,7.0,3.0,1.0,1.0,4.0,17.0,58.0,24.0,95.0,209.0,112.0,11.0,9.0,0.0,0.0,0.0
random--la520,7.0,3.0,1.0,2.0,23.0,36.0,61.0,91.0,223.0,159.0,118.0,21.0,10.0,0.0,0.0,0.0
random--la61,3.0,1.0,4.0,12.0,6.0,3.0,7.0,8.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la610,7.0,3.0,1.0,4.0,7.0,5.0,6.0,11.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0
random--la622,7.0,1.0,3.0,1.0,33.0,30.0,31.0,69.0,23.0,52.0,306.0,63.0,0.0,0.0,0.0,0.0
random--la79,7.0,3.0,1.0,6.0,10.0,3.0,7.0,6.0,109.0,78.0,90.0,28.0,0.0,0.0,0.0,0.0
random--la714,7.0,3.0,1.0,8.0,9.0,3.0,7.0,4.0,7.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0
random--la716,7.0,3.0,1.0,1.0,4.0,5.0,6.0,3.0,77.0,42.0,147.0,60.0,0.0,0.0,0.0,0.0
random--la719,7.0,3.0,1.0,7.0,11.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la82,7.0,3.0,4.0,12.0,13.0,6.0,5.0,7.0,8.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0
random--la85,7.0,3.0,1.0,1.0,31.0,40.0,83.0,139.0,104.0,17.0,118.0,128.0,0.0,0.0,0.0,0.0
random--la819,7.0,1.0,3.0,4.0,36.0,32.0,95.0,89.0,162.0,130.0,73.0,0.0,0.0,0.0,0.0,0.0
random--la820,7.0,3.0,1.0,11.0,72.0,25.0,45.0,63.0,122.0,129.0,222.0,4.0,0.0,0.0,0.0,0.0
random--la917,7.0,3.0,1.0,1.0,34.0,34.0,75.0,25.0,57.0,101.0,361.0,4.0,0.0,0.0,0.0,0.0
random--la922,7.0,1.0,3.0,6.0,21.0,21.0,76.0,107.0,87.0,45.0,114.0,0.0,0.0,0.0,0.0,0.0
