road,random--la115,random--la102,random--la103,random--la108,random--la1020,random--la23,random--la211,random--la218,random--la219,random--la222,random--la310,random--la44,random--la49,random--la412,random--la415,random--la517,random--la520,random--la61,random--la610,random--la622,random--la79,random--la714,random--la716,random--la719,random--la82,random--la85,random--la819,random--la820,random--la917,random--la922
random--la115,1.0,0.921875,0.92578125,0.93359375,0.92578125,0.91015625,0.9375,0.94140625,0.88671875,0.921875,0.9296875,0.94140625,0.9375,0.91796875,0.94921875,0.9296875,0.92578125,0.96875,0.9453125,0.9375,0.93359375,0.9296875,0.953125,0.9375,0.90625,0.921875,0.93359375,0.93359375,0.9375,0.9140625
random--la102,0.921875,1.0,0.95703125,0.94921875,0.98046875,0.94140625,0.9765625,0.93359375,0.92578125,0.9609375,0.984375,0.96484375,0.9609375,0.95703125,0.96484375,0.953125,0.95703125,0.921875,0.953125,0.96875,0.93359375,0.9453125,0.9453125,0.90625,0.90625,0.96875,0.95703125,0.96484375,0.9765625,0.921875
random--la103,0.92578125,0.95703125,1.0,0.9453125,0.96875,0.9453125,0.95703125,0.9296875,0.9375,0.96484375,0.96484375,0.984375,0.95703125,0.96875,0.953125,0.95703125,0.9765625,0.91796875,0.94921875,0.98828125,0.9296875,0.98046875,0.96484375,0.91015625,0.94921875,0.97265625,0.96875,0.96875,0.97265625,0.96484375
random--la108,0.93359375,0.94921875,0.9453125,1.0,0.9453125,0.953125,0.96484375,0.921875,0.9375,0.97265625,0.96484375,0.9609375,0.94140625,0.9609375,0.9453125,0.98046875,0.9453125,0.92578125,0.96484375,0.95703125,0.9609375,0.94921875,0.95703125,0.92578125,0.91796875,0.94921875,0.9609375,0.9609375,0.97265625,0.93359375
random--la1020,0.92578125,0.98046875,0.96875,0.9453125,1.0,0.953125,0.97265625,0.9375,0.9296875,0.95703125,0.98046875,0.9765625,0.97265625,0.9609375,0.9609375,0.95703125,0.96875,0.91796875,0.95703125,0.97265625,0.9296875,0.96484375,0.95703125,0.90234375,0.92578125,0.97265625,0.96875,0.96875,0.97265625,0.94140625
random--la23,0.91015625,0.94140625,0.9453125,0.953125,0.953125,1.0,0.95703125,0.921875,0.953125,0.97265625,0.94921875,0.9609375,0.94140625,0.9453125,0.9375,0.97265625,0.953125,0.90234375,0.94140625,0.95703125,0.953125,0.94140625,0.94140625,0.90234375,0.91015625,0.94140625,0.9375,0.9375,0.94921875,0.91796875
random--la211,0.9375,0.9765625,0.95703125,0.96484375,0.97265625,0.95703125,1.0,0.94921875,0.91796875,0.9609375,0.984375,0.97265625,0.96875,0.95703125,0.96484375,0.96875,0.96484375,0.9296875,0.953125,0.96875,0.94140625,0.953125,0.96875,0.921875,0.921875,0.9609375,0.95703125,0.96484375,0.984375,0.9296875
random--la218,0.94140625,0.93359375,0.9296875,0.921875,0.9375,0.921875,0.94921875,1.0,0.8984375,0.93359375,0.94921875,0.9453125,0.94921875,0.9296875,0.953125,0.94140625,0.9375,0.92578125,0.93359375,0.94140625,0.921875,0.92578125,0.94140625,0.89453125,0.89453125,0.93359375,0.9296875,0.9375,0.94140625,0.90234375
random--la219,0.88671875,0.92578125,0.9375,0.9375,0.9296875,0.953125,0.91796875,0.8984375,1.0,0.94140625,0.93359375,0.9375,0.91015625,0.9609375,0.9296875,0.94140625,0.9296875,0.89453125,0.92578125,0.93359375,0.9375,0.93359375,0.91015625,0.88671875,0.90234375,0.93359375,0.9375,0.9375,0.93359375,0.91015625
random--la222,0.921875,0.9609375,0.96484375,0.97265625,0.95703125,0.97265625,0.9609375,0.93359375,0.94140625,1.0,0.96875,0.97265625,0.953125,0.96484375,0.94921875,0.9921875,0.96484375,0.9140625,0.953125,0.9765625,0.95703125,0.953125,0.953125,0.9140625,0.9140625,0.9609375,0.94921875,0.95703125,0.96875,0.9296875
random--la310,0.9296875,0.984375,0.96484375,0.96484375,0.98046875,0.94921875,0.984375,0.94921875,0.93359375,0.96875,1.0,0.98046875,0.96875,0.97265625,0.96484375,0.96875,0.97265625,0.9296875,0.953125,0.9765625,0.93359375,0.9609375,0.9609375,0.921875,0.921875,0.9765625,0.97265625,0.98046875,0.9921875,0.9375
random--la44,0.94140625,0.96484375,0.984375,0.9609375,0.9765625,0.9609375,0.97265625,0.9453125,0.9375,0.97265625,0.98046875,1.0,0.96484375,0.96875,0.96875,0.97265625,0.984375,0.93359375,0.95703125,0.99609375,0.9453125,0.98046875,0.97265625,0.92578125,0.94140625,0.98046875,0.9765625,0.9765625,0.98828125,0.95703125
random--la49,0.9375,0.9609375,0.95703125,0.94140625,0.97265625,0.94140625,0.96875,0.94921875,0.91015625,0.953125,0.96875,0.96484375,1.0,0.94921875,0.98046875,0.9609375,0.95703125,0.9296875,0.96875,0.9609375,0.95703125,0.953125,0.96875,0.90625,0.9296875,0.953125,0.94921875,0.95703125,0.9609375,0.9296875
random--la412,0.91796875,0.95703125,0.96875,0.9609375,0.9609375,0.9453125,0.95703125,0.9296875,0.9609375,0.96484375,0.97265625,0.96875,0.94921875,1.0,0.953125,0.96484375,0.9609375,0.91796875,0.95703125,0.96484375,0.9375,0.96484375,0.94921875,0.91015625,0.93359375,0.96484375,0.96875,0.9765625,0.97265625,0.94140625
random--la415,0.94921875,0.96484375,0.953125,0.9453125,0.9609375,0.9375,0.96484375,0.953125,0.9296875,0.94921875,0.96484375,0.96875,0.98046875,0.953125,1.0,0.95703125,0.953125,0.94921875,0.97265625,0.96484375,0.96875,0.94921875,0.96484375,0.91796875,0.91796875,0.95703125,0.953125,0.9609375,0.96484375,0.92578125
random--la517,0.9296875,0.953125,0.95703125,0.98046875,0.95703125,0.97265625,0.96875,0.94140625,0.94140625,0.9921875,0.96875,0.97265625,0.9609375,0.96484375,0.95703125,1.0,0.96484375,0.921875,0.9609375,0.96875,0.96484375,0.953125,0.9609375,0.9140625,0.9140625,0.953125,0.94921875,0.95703125,0.96875,0.9296875
random--la520,0.92578125,0.95703125,0.9765625,0.9453125,0.96875,0.953125,0.96484375,0.9375,0.9296875,0.96484375,0.97265625,0.984375,0.95703125,0.9609375,0.953125,0.96484375,1.0,0.91796875,0.94140625,0.98046875,0.9296875,0.96484375,0.95703125,0.91015625,0.93359375,0.96484375,0.96875,0.96875,0.97265625,0.95703125
random--la61,0.96875,0.921875,0.91796875,0.92578125,0.91796875,0.90234375,0.9296875,0.92578125,0.89453125,0.9140625,0.9296875,0.93359375,0.9296875,0.91796875,0.94921875,0.921875,0.91796875,1.0,0.9453125,0.9296875,0.92578125,0.921875,0.953125,0.9453125,0.90625,0.921875,0.93359375,0.93359375,0.9296875,0.9140625
random--la610,0.9453125,0.953125,0.94921875,0.96484375,0.95703125,0.94140625,0.953125,0.93359375,0.92578125,0.953125,0.953125,0.95703125,0.96875,0.95703125,0.97265625,0.9609375,0.94140625,0.9453125,1.0,0.953125,0.96484375,0.953125,0.96875,0.921875,0.9296875,0.9453125,0.95703125,0.95703125,0.953125,0.9375
random--la622,0.9375,0.96875,0.98828125,0.95703125,0.97265625,0.95703125,0.96875,0.94140625,0.93359375,0.9765625,0.9765625,0.99609375,0.9609375,0.96484375,0.96484375,0.96875,0.98046875,0.9296875,0.953125,1.0,0.94140625,0.9765625,0.96875,0.921875,0.9375,0.984375,0.97265625,0.97265625,0.984375,0.953125
random--la79,0.93359375,0.93359375,0.9296875,0.9609375,0.9296875,0.953125,0.94140625,0.921875,0.9375,0.95703125,0.93359375,0.9453125,0.95703125,0.9375,0.96875,0.96484375,0.9296875,0.92578125,0.96484375,0.94140625,1.0,0.93359375,0.94140625,0.91015625,0.91015625,0.92578125,0.9296875,0.9375,0.94140625,0.91015625
random--la714,0.9296875,0.9453125,0.98046875,0.94921875,0.96484375,0.94140625,0.953125,0.92578125,0.93359375,0.953125,0.9609375,0.98046875,0.953125,0.96484375,0.94921875,0.953125,0.96484375,0.921875,0.953125,0.9765625,0.93359375,1.0,0.9609375,0.921875,0.9609375,0.96875,0.96484375,0.96484375,0.96875,0.9609375
random--la716,0.953125,0.9453125,0.96484375,0.95703125,0.95703125,0.94140625,0.96875,0.94140625,0.91015625,0.953125,0.9609375,0.97265625,0.96875,0.94921875,0.96484375,0.9609375,0.95703125,0.953125,0.96875,0.96875,0.94140625,0.9609375,1.0,0.9296875,0.9375,0.953125,0.95703125,0.95703125,0.96875,0.953125
random--la719,0.9375,0.90625,0.91015625,0.92578125,0.90234375,0.90234375,0.921875,0.89453125,0.88671875,0.9140625,0.921875,0.92578125,0.90625,0.91015625,0.91796875,0.9140625,0.91015625,0.9453125,0.921875,0.921875,0.91015625,0.921875,0.9296875,1.0,0.9140625,0.9140625,0.91796875,0.91796875,0.9296875,0.90625
random--la82,0.90625,0.90625,0.94921875,0.91796875,0.92578125,0.91015625,0.921875,0.89453125,0.90234375,0.9140625,0.921875,0.94140625,0.9296875,0.93359375,0.91796875,0.9140625,0.93359375,0.90625,0.9296875,0.9375,0.91015625,0.9609375,0.9375,0.9140625,1.0,0.9296875,0.94140625,0.93359375,0.9296875,0.9453125
random--la85,0.921875,0.96875,0.97265625,0.94921875,0.97265625,0.94140625,0.9609375,0.93359375,0.93359375,0.9609375,0.9765625,0.98046875,0.953125,0.96484375,0.95703125,0.953125,0.96484375,0.921875,0.9453125,0.984375,0.92578125,0.96875,0.953125,0.9140625,0.9296875,1.0,0.97265625,0.97265625,0.9765625,0.9375
random--la819,0.93359375,0.95703125,0.96875,0.9609375,0.96875,0.9375,0.95703125,0.9296875,0.9375,0.94921875,0.97265625,0.9765625,0.94921875,0.96875,0.953125,0.94921875,0.96875,0.93359375,0.95703125,0.97265625,0.9296875,0.96484375,0.95703125,0.91796875,0.94140625,0.97265625,1.0,0.9921875,0.97265625,0.95703125
random--la820,0.93359375,0.96484375,0.96875,0.9609375,0.96875,0.9375,0.96484375,0.9375,0.9375,0.95703125,0.98046875,0.9765625,0.95703125,0.9765625,0.9609375,0.95703125,0.96875,0.93359375,0.95703125,0.97265625,0.9375,0.96484375,0.95703125,0.91796875,0.93359375,0.97265625,0.9921875,1.0,0.98046875,0.94921875
random--la917,0.9375,0.9765625,0.97265625,0.97265625,0.97265625,0.94921875,0.984375,0.94140625,0.93359375,0.96875,0.9921875,0.98828125,0.9609375,0.97265625,0.96484375,0.96875,0.97265625,0.9296875,0.953125,0.984375,0.94140625,0.96875,0.96875,0.9296875,0.9296875,0.9765625,0.97265625,0.98046875,1.0,0.9453125
random--la922,0.9140625,0.921875,0.96484375,0.93359375,0.94140625,0.91796875,0.9296875,0.90234375,0.91015625,0.9296875,0.9375,0.95703125,0.9296875,0.94140625,0.92578125,0.9296875,0.95703125,0.9140625,0.9375,0.953125,0.91015625,0.9609375,0.953125,0.90625,0.9453125,0.9375,0.95703125,0.94921875,0.9453125,1.0
