road,random--la115,random--la102,random--la103,random--la108,random--la1020,random--la23,random--la211,random--la218,random--la219,random--la222,random--la310,random--la44,random--la49,random--la412,random--la415,random--la517,random--la520,random--la61,random--la610,random--la622,random--la79,random--la714,random--la716,random--la719,random--la82,random--la85,random--la819,random--la820,random--la917,random--la922
random--la115,1.0,0.75,0.7578125,0.79296875,0.7734375,0.7421875,0.81640625,0.84765625,0.77734375,0.76171875,0.734375,0.796875,0.8046875,0.73046875,0.84375,0.8125,0.7890625,0.92578125,0.86328125,0.80859375,0.8359375,0.86328125,0.8828125,0.89453125,0.83203125,0.72265625,0.796875,0.76953125,0.80078125,0.81640625
random--la102,0.75,1.0,0.7734375,0.80078125,0.8671875,0.84375,0.80859375,0.74609375,0.82421875,0.83203125,0.8515625,0.8125,0.765625,0.86328125,0.78125,0.796875,0.84375,0.72265625,0.73828125,0.81640625,0.7734375,0.73828125,0.734375,0.73046875,0.70703125,0.80859375,0.8515625,0.84765625,0.79296875,0.83984375
random--la103,0.7578125,0.7734375,1.0,0.77734375,0.8125,0.8125,0.77734375,0.77734375,0.78515625,0.79296875,0.828125,0.828125,0.7734375,0.79296875,0.765625,0.8046875,0.8359375,0.75390625,0.73046875,0.83203125,0.75,0.77734375,0.796875,0.72265625,0.76171875,0.80078125,0.8125,0.80078125,0.80078125,0.81640625
random--la108,0.79296875,0.80078125,0.77734375,1.0,0.81640625,0.80078125,0.8125,0.765625,0.796875,0.859375,0.80078125,0.83984375,0.78515625,0.8125,0.78515625,0.83984375,0.80078125,0.765625,0.8046875,0.8125,0.83203125,0.7578125,0.80859375,0.7578125,0.7578125,0.796875,0.83203125,0.828125,0.8515625,0.8515625
random--la1020,0.7734375,0.8671875,0.8125,0.81640625,1.0,0.8515625,0.83984375,0.77734375,0.83984375,0.84765625,0.8359375,0.8515625,0.8203125,0.81640625,0.765625,0.859375,0.8515625,0.75390625,0.75390625,0.83984375,0.8046875,0.78515625,0.7734375,0.73828125,0.72265625,0.85546875,0.8671875,0.84765625,0.82421875,0.85546875
random--la23,0.7421875,0.84375,0.8125,0.80078125,0.8515625,1.0,0.83984375,0.78515625,0.85546875,0.83984375,0.828125,0.8515625,0.796875,0.81640625,0.7578125,0.828125,0.828125,0.71484375,0.73828125,0.80859375,0.7890625,0.76171875,0.765625,0.69921875,0.71484375,0.84765625,0.796875,0.83984375,0.81640625,0.81640625
random--la211,0.81640625,0.80859375,0.77734375,0.8125,0.83984375,0.83984375,1.0,0.8203125,0.8671875,0.828125,0.81640625,0.84765625,0.87890625,0.796875,0.83203125,0.87109375,0.85546875,0.78125,0.7890625,0.859375,0.83984375,0.8125,0.83984375,0.78125,0.7734375,0.8125,0.81640625,0.8359375,0.84375,0.8203125
random--la218,0.84765625,0.74609375,0.77734375,0.765625,0.77734375,0.78515625,0.8203125,1.0,0.8046875,0.765625,0.79296875,0.81640625,0.82421875,0.7578125,0.85546875,0.80078125,0.80859375,0.84375,0.828125,0.8125,0.83203125,0.8359375,0.84765625,0.8125,0.7734375,0.78125,0.76171875,0.765625,0.8203125,0.7578125
random--la219,0.77734375,0.82421875,0.78515625,0.796875,0.83984375,0.85546875,0.8671875,0.8046875,1.0,0.8203125,0.80078125,0.83203125,0.79296875,0.8125,0.76953125,0.80078125,0.84765625,0.7421875,0.765625,0.8046875,0.81640625,0.765625,0.76953125,0.734375,0.7265625,0.8203125,0.82421875,0.8359375,0.8125,0.796875
random--la222,0.76171875,0.83203125,0.79296875,0.859375,0.84765625,0.83984375,0.828125,0.765625,0.8203125,1.0,0.82421875,0.84765625,0.76171875,0.8203125,0.76953125,0.84765625,0.81640625,0.7265625,0.734375,0.8359375,0.80078125,0.7890625,0.76171875,0.7265625,0.7421875,0.8359375,0.82421875,0.8046875,0.8203125,0.859375
random--la310,0.734375,0.8515625,0.828125,0.80078125,0.8359375,0.828125,0.81640625,0.79296875,0.80078125,0.82421875,1.0,0.828125,0.796875,0.84765625,0.7578125,0.8359375,0.875,0.71484375,0.72265625,0.83984375,0.7734375,0.73046875,0.7734375,0.71484375,0.75390625,0.83203125,0.8359375,0.86328125,0.80859375,0.83203125
random--la44,0.796875,0.8125,0.828125,0.83984375,0.8515625,0.8515625,0.84765625,0.81640625,0.83203125,0.84765625,0.828125,1.0,0.8359375,0.83203125,0.8203125,0.859375,0.8359375,0.76953125,0.78515625,0.87109375,0.8203125,0.82421875,0.8046875,0.78515625,0.77734375,0.85546875,0.8359375,0.87109375,0.87890625,0.85546875
random--la49,0.8046875,0.765625,0.7734375,0.78515625,0.8203125,0.796875,0.87890625,0.82421875,0.79296875,0.76171875,0.796875,0.8359375,1.0,0.75390625,0.8359375,0.8359375,0.8046875,0.78515625,0.79296875,0.81640625,0.8671875,0.80078125,0.828125,0.79296875,0.82421875,0.78515625,0.78125,0.80078125,0.80859375,0.79296875
random--la412,0.73046875,0.86328125,0.79296875,0.8125,0.81640625,0.81640625,0.796875,0.7578125,0.8125,0.8203125,0.84765625,0.83203125,0.75390625,1.0,0.76953125,0.80859375,0.83984375,0.703125,0.796875,0.84375,0.77734375,0.7265625,0.78515625,0.71875,0.703125,0.8515625,0.84765625,0.8359375,0.8203125,0.8359375
random--la415,0.84375,0.78125,0.765625,0.78515625,0.765625,0.7578125,0.83203125,0.85546875,0.76953125,0.76953125,0.7578125,0.8203125,0.8359375,0.76953125,1.0,0.7734375,0.796875,0.83984375,0.80078125,0.82421875,0.859375,0.85546875,0.84375,0.85546875,0.83203125,0.80078125,0.7734375,0.77734375,0.81640625,0.77734375
random--la517,0.8125,0.796875,0.8046875,0.83984375,0.859375,0.828125,0.87109375,0.80078125,0.80078125,0.84765625,0.8359375,0.859375,0.8359375,0.80859375,0.7734375,1.0,0.8359375,0.78515625,0.80859375,0.84765625,0.828125,0.80859375,0.8359375,0.78515625,0.76171875,0.82421875,0.8515625,0.84765625,0.83984375,0.87109375
random--la520,0.7890625,0.84375,0.8359375,0.80078125,0.8515625,0.828125,0.85546875,0.80859375,0.84765625,0.81640625,0.875,0.8359375,0.8046875,0.83984375,0.796875,0.8359375,1.0,0.75390625,0.77734375,0.83984375,0.78125,0.78515625,0.8125,0.76171875,0.73828125,0.82421875,0.8359375,0.83203125,0.83984375,0.83984375
random--la61,0.92578125,0.72265625,0.75390625,0.765625,0.75390625,0.71484375,0.78125,0.84375,0.7421875,0.7265625,0.71484375,0.76953125,0.78515625,0.703125,0.83984375,0.78515625,0.75390625,1.0,0.8359375,0.7890625,0.80859375,0.875,0.85546875,0.9140625,0.8515625,0.7265625,0.78515625,0.75,0.78125,0.78125
random--la610,0.86328125,0.73828125,0.73046875,0.8046875,0.75390625,0.73828125,0.7890625,0.828125,0.765625,0.734375,0.72265625,0.78515625,0.79296875,0.796875,0.80078125,0.80859375,0.77734375,0.8359375,1.0,0.765625,0.81640625,0.8046875,0.84765625,0.8515625,0.7734375,0.7578125,0.76953125,0.765625,0.8203125,0.796875
random--la622,0.80859375,0.81640625,0.83203125,0.8125,0.83984375,0.80859375,0.859375,0.8125,0.8046875,0.8359375,0.83984375,0.87109375,0.81640625,0.84375,0.82421875,0.84765625,0.83984375,0.7890625,0.765625,1.0,0.79296875,0.828125,0.85546875,0.7734375,0.7578125,0.828125,0.82421875,0.828125,0.8203125,0.859375
random--la79,0.8359375,0.7734375,0.75,0.83203125,0.8046875,0.7890625,0.83984375,0.83203125,0.81640625,0.80078125,0.7734375,0.8203125,0.8671875,0.77734375,0.859375,0.828125,0.78125,0.80859375,0.81640625,0.79296875,1.0,0.79296875,0.8203125,0.78515625,0.79296875,0.76171875,0.8125,0.81640625,0.80859375,0.77734375
random--la714,0.86328125,0.73828125,0.77734375,0.7578125,0.78515625,0.76171875,0.8125,0.8359375,0.765625,0.7890625,0.73046875,0.82421875,0.80078125,0.7265625,0.85546875,0.80859375,0.78515625,0.875,0.8046875,0.828125,0.79296875,1.0,0.84765625,0.890625,0.84375,0.78125,0.79296875,0.75,0.8125,0.8125
random--la716,0.8828125,0.734375,0.796875,0.80859375,0.7734375,0.765625,0.83984375,0.84765625,0.76953125,0.76171875,0.7734375,0.8046875,0.828125,0.78515625,0.84375,0.8359375,0.8125,0.85546875,0.84765625,0.85546875,0.8203125,0.84765625,1.0,0.85546875,0.83203125,0.76171875,0.828125,0.76953125,0.83203125,0.80859375
random--la719,0.89453125,0.73046875,0.72265625,0.7578125,0.73828125,0.69921875,0.78125,0.8125,0.734375,0.7265625,0.71484375,0.78515625,0.79296875,0.71875,0.85546875,0.78515625,0.76171875,0.9140625,0.8515625,0.7734375,0.78515625,0.890625,0.85546875,1.0,0.875,0.7578125,0.79296875,0.75,0.8046875,0.7890625
random--la82,0.83203125,0.70703125,0.76171875,0.7578125,0.72265625,0.71484375,0.7734375,0.7734375,0.7265625,0.7421875,0.75390625,0.77734375,0.82421875,0.703125,0.83203125,0.76171875,0.73828125,0.8515625,0.7734375,0.7578125,0.79296875,0.84375,0.83203125,0.875,1.0,0.734375,0.79296875,0.7578125,0.765625,0.78125
random--la85,0.72265625,0.80859375,0.80078125,0.796875,0.85546875,0.84765625,0.8125,0.78125,0.8203125,0.8359375,0.83203125,0.85546875,0.78515625,0.8515625,0.80078125,0.82421875,0.82421875,0.7265625,0.7578125,0.828125,0.76171875,0.78125,0.76171875,0.7578125,0.734375,1.0,0.81640625,0.828125,0.8203125,0.8359375
random--la819,0.796875,0.8515625,0.8125,0.83203125,0.8671875,0.796875,0.81640625,0.76171875,0.82421875,0.82421875,0.8359375,0.8359375,0.78125,0.84765625,0.7734375,0.8515625,0.8359375,0.78515625,0.76953125,0.82421875,0.8125,0.79296875,0.828125,0.79296875,0.79296875,0.81640625,1.0,0.86328125,0.83203125,0.87109375
random--la820,0.76953125,0.84765625,0.80078125,0.828125,0.84765625,0.83984375,0.8359375,0.765625,0.8359375,0.8046875,0.86328125,0.87109375,0.80078125,0.8359375,0.77734375,0.84765625,0.83203125,0.75,0.765625,0.828125,0.81640625,0.75,0.76953125,0.75,0.7578125,0.828125,0.86328125,1.0,0.828125,0.859375
random--la917,0.80078125,0.79296875,0.80078125,0.8515625,0.82421875,0.81640625,0.84375,0.8203125,0.8125,0.8203125,0.80859375,0.87890625,0.80859375,0.8203125,0.81640625,0.83984375,0.83984375,0.78125,0.8203125,0.8203125,0.80859375,0.8125,0.83203125,0.8046875,0.765625,0.8203125,0.83203125,0.828125,1.0,0.8203125
random--la922,0.81640625,0.83984375,0.81640625,0.8515625,0.85546875,0.81640625,0.8203125,0.7578125,0.796875,0.859375,0.83203125,0.85546875,0.79296875,0.8359375,0.77734375,0.87109375,0.83984375,0.78125,0.796875,0.859375,0.77734375,0.8125,0.80859375,0.7890625,0.78125,0.8359375,0.87109375,0.859375,0.8203125,1.0
