road,random--la14,random--la17,random--la117,random--la1018,random--la28,random--la210,random--la213,random--la214,random--la216,random--la220,random--la323,random--la42,random--la414,random--la56,random--la57,random--la61,random--la66,random--la619,random--la622,random--la623,random--la627,random--la72,random--la79,random--la711,random--la811,random--la813,random--la821,random--la917,random--la921,random--la922
random--la14,1.0,0.9375,0.9375,0.875,1.0,0.875,0.875,0.875,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,0.9375
random--la17,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la117,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la1018,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
random--la28,1.0,0.9375,0.9375,0.875,1.0,0.875,0.875,0.875,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,0.9375
random--la210,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
random--la213,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
random--la214,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
random--la216,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la220,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la323,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
random--la42,1.0,0.9375,0.9375,0.875,1.0,0.875,0.875,0.875,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,0.9375
random--la414,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.875,1.0,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la56,0.875,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,0.8125,0.9375,1.0,0.9375,0.9375,0.9375,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.9375
