names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la14,0.0,0.0,2.0,10.0,16.0,4.0,4.0,12.0,12.0,5.0,0.0,2.0,0.0,2.0,1.0,13.0
random--la17,28.0,13.0,4.0,2.0,45.0,81.0,100.0,38.0,34.0,21.0,68.0,96.0,13.0,2.0,4.0,52.0
random--la117,0.0,0.0,0.0,3.0,34.0,36.0,4.0,9.0,10.0,6.0,2.0,0.0,2.0,1.0,0.0,8.0
random--la1018,59.0,6.0,71.0,24.0,58.0,29.0,47.0,54.0,29.0,12.0,55.0,20.0,9.0,60.0,107.0,12.0
random--la28,0.0,29.0,2.0,2.0,3.0,1.0,2.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0
random--la210,0.0,48.0,21.0,8.0,8.0,75.0,93.0,54.0,87.0,17.0,41.0,29.0,26.0,24.0,46.0,51.0
random--la213,33.0,17.0,47.0,1.0,27.0,42.0,51.0,28.0,26.0,44.0,128.0,79.0,6.0,2.0,2.0,15.0
random--la214,9.0,58.0,53.0,69.0,48.0,54.0,57.0,31.0,60.0,29.0,45.0,141.0,8.0,13.0,14.0,68.0
random--la216,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,6.0
random--la220,13.0,6.0,1.0,2.0,13.0,39.0,55.0,23.0,18.0,30.0,28.0,56.0,2.0,3.0,2.0,12.0
random--la323,79.0,18.0,53.0,36.0,37.0,67.0,28.0,43.0,50.0,53.0,112.0,164.0,7.0,0.0,7.0,38.0
random--la42,44.0,5.0,2.0,6.0,3.0,1.0,2.0,11.0,33.0,56.0,50.0,14.0,2.0,6.0,1.0,31.0
random--la414,6.0,2.0,3.0,2.0,15.0,24.0,18.0,9.0,23.0,10.0,8.0,1.0,7.0,2.0,1.0,0.0
random--la56,20.0,15.0,77.0,3.0,4.0,34.0,32.0,50.0,123.0,81.0,73.0,108.0,17.0,25.0,22.0,0.0
random--la57,92.0,49.0,39.0,19.0,63.0,5.0,5.0,20.0,101.0,25.0,84.0,107.0,78.0,46.0,13.0,30.0
random--la61,0.0,0.0,32.0,3.0,1.0,1.0,0.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0
random--la66,0.0,7.0,54.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,5.0,52.0
random--la619,6.0,17.0,2.0,4.0,25.0,34.0,46.0,37.0,38.0,2.0,4.0,4.0,0.0,0.0,0.0,9.0
random--la622,67.0,60.0,4.0,12.0,20.0,15.0,26.0,22.0,42.0,72.0,183.0,88.0,1.0,7.0,0.0,0.0
random--la623,45.0,28.0,6.0,5.0,31.0,53.0,52.0,32.0,48.0,40.0,78.0,73.0,36.0,21.0,55.0,0.0
random--la627,0.0,36.0,7.0,4.0,76.0,63.0,42.0,49.0,33.0,4.0,2.0,7.0,5.0,4.0,54.0,69.0
random--la72,23.0,2.0,4.0,4.0,24.0,71.0,53.0,30.0,63.0,6.0,39.0,56.0,77.0,24.0,10.0,14.0
random--la79,0.0,1.0,49.0,16.0,32.0,43.0,35.0,8.0,18.0,3.0,27.0,27.0,68.0,8.0,1.0,12.0
random--la711,0.0,85.0,9.0,13.0,46.0,43.0,59.0,51.0,34.0,59.0,99.0,33.0,45.0,21.0,7.0,36.0
random--la811,17.0,4.0,3.0,4.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,13.0
random--la813,75.0,15.0,4.0,0.0,15.0,29.0,25.0,34.0,61.0,33.0,32.0,43.0,32.0,22.0,79.0,0.0
random--la821,19.0,51.0,8.0,10.0,62.0,51.0,53.0,54.0,66.0,5.0,35.0,78.0,28.0,51.0,70.0,15.0
random--la917,38.0,2.0,10.0,41.0,99.0,103.0,26.0,28.0,22.0,36.0,95.0,91.0,2.0,5.0,15.0,90.0
random--la921,57.0,34.0,11.0,26.0,90.0,73.0,45.0,36.0,54.0,34.0,45.0,54.0,17.0,19.0,11.0,134.0
random--la922,79.0,29.0,5.0,3.0,11.0,55.0,60.0,25.0,26.0,8.0,2.0,32.0,10.0,27.0,102.0,14.0
