test,num_states
random--la11,379
random--la18,63
random--la111,88
random--la109,219
random--la1018,652
random--la219,471
random--la222,727
random--la311,699
random--la322,344
random--la46,129
random--la49,316
random--la412,648
random--la53,499
random--la510,412
random--la511,155
random--la520,755
random--la61,72
random--la610,85
random--la616,736
random--la617,235
random--la625,711
random--la626,672
random--la714,69
random--la84,871
random--la811,64
random--la813,499
random--la820,704
random--la822,872
random--la912,797
random--la921,740
