road,random--la18,random--la109,random--la214,random--la219,random--la222,random--la31,random--la35,random--la310,random--la311,random--la322,random--la49,random--la53,random--la57,random--la511,random--la520,random--la61,random--la615,random--la616,random--la617,random--la619,random--la626,random--la711,random--la714,random--la85,random--la811,random--la821,random--la822,random--la912,random--la921,random--la922
random--la18,1.0,0.7210526315789474,0.7347826086956522,0.74,0.8,0.7333333333333334,0.7846153846153846,0.7739130434782608,0.7695652173913043,0.7304347826086957,0.7444444444444445,0.7727272727272727,0.7521739130434782,0.7608695652173914,0.76,0.7714285714285715,0.7789473684210526,0.7521739130434782,0.7272727272727273,0.7888888888888889,0.78125,0.7666666666666666,0.76,0.6894736842105262,0.76,0.8052631578947369,0.6727272727272727,0.8200000000000001,0.7391304347826086,0.8
random--la109,0.7210526315789474,1.0,0.7736842105263158,0.7789473684210526,0.7842105263157895,0.7315789473684211,0.7307692307692308,0.7473684210526316,0.7736842105263158,0.736842105263158,0.7833333333333333,0.7526315789473684,0.7684210526315789,0.7421052631578947,0.7263157894736842,0.7421052631578947,0.7210526315789474,0.7263157894736842,0.6947368421052631,0.7277777777777779,0.75,0.7933333333333333,0.8066666666666666,0.7105263157894737,0.7533333333333333,0.7842105263157895,0.7052631578947368,0.7421052631578947,0.7473684210526316,0.7421052631578947
random--la214,0.7347826086956522,0.7736842105263158,1.0,0.8,0.8,0.7571428571428571,0.8384615384615385,0.7958333333333334,0.7869565217391304,0.7565217391304347,0.8111111111111111,0.7636363636363637,0.8,0.8333333333333334,0.755,0.7476190476190476,0.7684210526315789,0.7625,0.75,0.7666666666666666,0.8,0.7733333333333333,0.7866666666666666,0.7736842105263158,0.8066666666666666,0.7736842105263158,0.759090909090909,0.765,0.8,0.7473684210526316
random--la219,0.74,0.7789473684210526,0.8,1.0,0.7421052631578947,0.795,0.7769230769230769,0.765,0.775,0.775,0.75,0.78,0.8,0.8049999999999999,0.74,0.8049999999999999,0.7263157894736842,0.765,0.745,0.7666666666666666,0.78125,0.76,0.8,0.7631578947368421,0.8333333333333334,0.736842105263158,0.76,0.74,0.8,0.7578947368421053
random--la222,0.8,0.7842105263157895,0.8,0.7421052631578947,1.0,0.7526315789473684,0.7846153846153846,0.736842105263158,0.7736842105263158,0.7421052631578947,0.7388888888888889,0.7315789473684211,0.8052631578947369,0.7631578947368421,0.7210526315789474,0.7421052631578947,0.8105263157894737,0.7631578947368421,0.7526315789473684,0.7888888888888889,0.75625,0.7333333333333334,0.7333333333333334,0.6947368421052631,0.74,0.7894736842105263,0.7473684210526316,0.736842105263158,0.7842105263157895,0.7473684210526316
random--la31,0.7333333333333334,0.7315789473684211,0.7571428571428571,0.795,0.7526315789473684,1.0,0.8307692307692307,0.7523809523809524,0.7285714285714286,0.7380952380952381,0.7833333333333333,0.7523809523809524,0.7619047619047619,0.7571428571428571,0.74,0.7523809523809524,0.736842105263158,0.7761904761904762,0.7904761904761904,0.7277777777777779,0.7625,0.7466666666666666,0.8,0.7421052631578947,0.76,0.7526315789473684,0.7476190476190476,0.74,0.8047619047619048,0.736842105263158
random--la35,0.7846153846153846,0.7307692307692308,0.8384615384615385,0.7769230769230769,0.7846153846153846,0.8307692307692307,1.0,0.8153846153846154,0.7692307692307692,0.7846153846153846,0.8,0.8,0.8076923076923077,0.823076923076923,0.8076923076923077,0.7846153846153846,0.7846153846153846,0.8307692307692307,0.8384615384615385,0.8,0.8153846153846154,0.7615384615384615,0.7846153846153846,0.8076923076923077,0.7923076923076923,0.7769230769230769,0.8076923076923077,0.7384615384615385,0.8615384615384616,0.7615384615384615
random--la310,0.7739130434782608,0.7473684210526316,0.7958333333333334,0.765,0.736842105263158,0.7523809523809524,0.8153846153846154,1.0,0.7608695652173914,0.7,0.7666666666666666,0.75,0.7461538461538462,0.775,0.78,0.7333333333333334,0.7473684210526316,0.7375,0.7363636363636363,0.8444444444444444,0.78125,0.7733333333333333,0.8,0.7052631578947368,0.7666666666666666,0.7631578947368421,0.7545454545454545,0.785,0.7230769230769231,0.7578947368421053
random--la311,0.7695652173913043,0.7736842105263158,0.7869565217391304,0.775,0.7736842105263158,0.7285714285714286,0.7692307692307692,0.7608695652173914,1.0,0.7521739130434782,0.75,0.7863636363636364,0.8,0.8217391304347826,0.725,0.7380952380952381,0.7736842105263158,0.7652173913043478,0.7272727272727273,0.8111111111111111,0.7875,0.78,0.8066666666666666,0.7473684210526316,0.7866666666666666,0.8210526315789474,0.7227272727272727,0.76,0.7652173913043478,0.8
random--la322,0.7304347826086957,0.736842105263158,0.7565217391304347,0.775,0.7421052631578947,0.7380952380952381,0.7846153846153846,0.7,0.7521739130434782,1.0,0.7055555555555555,0.7954545454545454,0.7130434782608696,0.7695652173913043,0.725,0.7857142857142857,0.7210526315789474,0.7434782608695651,0.7818181818181819,0.7333333333333334,0.71875,0.7933333333333333,0.8066666666666666,0.7473684210526316,0.78,0.7526315789473684,0.7,0.755,0.8043478260869565,0.7736842105263158
