names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la18,8.0,7.0,9.0,3.0,2.0,1.0,2.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
random--la109,4.0,0.0,0.0,2.0,7.0,27.0,26.0,38.0,22.0,3.0,3.0,44.0,7.0,4.0,2.0,30.0
random--la214,9.0,58.0,53.0,69.0,48.0,54.0,57.0,31.0,60.0,29.0,45.0,141.0,8.0,13.0,14.0,68.0
random--la219,29.0,49.0,10.0,11.0,9.0,19.0,24.0,30.0,53.0,63.0,48.0,28.0,3.0,22.0,33.0,40.0
random--la222,60.0,22.0,3.0,7.0,87.0,91.0,42.0,24.0,58.0,16.0,7.0,95.0,54.0,74.0,41.0,46.0
random--la31,19.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,2.0,38.0,19.0
random--la35,38.0,9.0,29.0,5.0,1.0,25.0,35.0,39.0,42.0,45.0,32.0,72.0,36.0,10.0,11.0,15.0
random--la310,103.0,9.0,50.0,28.0,93.0,61.0,45.0,19.0,66.0,77.0,142.0,54.0,12.0,23.0,73.0,86.0
random--la311,73.0,26.0,42.0,75.0,16.0,30.0,29.0,33.0,55.0,29.0,65.0,102.0,5.0,36.0,49.0,34.0
random--la322,25.0,7.0,9.0,28.0,69.0,5.0,1.0,12.0,15.0,47.0,32.0,6.0,2.0,13.0,44.0,29.0
random--la49,0.0,5.0,63.0,5.0,20.0,18.0,4.0,13.0,24.0,8.0,16.0,31.0,86.0,5.0,8.0,10.0
random--la53,70.0,12.0,14.0,35.0,15.0,6.0,7.0,15.0,86.0,24.0,21.0,94.0,33.0,37.0,18.0,12.0
random--la57,92.0,49.0,39.0,19.0,63.0,5.0,5.0,20.0,101.0,25.0,84.0,107.0,78.0,46.0,13.0,30.0
random--la511,5.0,2.0,1.0,1.0,44.0,20.0,9.0,12.0,29.0,0.0,1.0,0.0,1.0,4.0,25.0,1.0
random--la520,32.0,2.0,37.0,116.0,94.0,44.0,16.0,16.0,65.0,32.0,33.0,65.0,15.0,14.0,105.0,69.0
random--la61,0.0,0.0,32.0,3.0,1.0,1.0,0.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0
random--la615,70.0,14.0,19.0,75.0,20.0,53.0,48.0,21.0,75.0,14.0,23.0,35.0,133.0,58.0,58.0,8.0
random--la616,57.0,52.0,15.0,20.0,130.0,35.0,12.0,28.0,77.0,12.0,21.0,105.0,11.0,34.0,88.0,39.0
random--la617,0.0,3.0,2.0,13.0,68.0,2.0,2.0,15.0,51.0,3.0,23.0,36.0,1.0,0.0,1.0,15.0
random--la619,6.0,17.0,2.0,4.0,25.0,34.0,46.0,37.0,38.0,2.0,4.0,4.0,0.0,0.0,0.0,9.0
random--la626,0.0,11.0,74.0,9.0,34.0,79.0,68.0,24.0,57.0,41.0,69.0,79.0,119.0,8.0,0.0,0.0
random--la711,0.0,85.0,9.0,13.0,46.0,43.0,59.0,51.0,34.0,59.0,99.0,33.0,45.0,21.0,7.0,36.0
random--la714,11.0,0.0,0.0,3.0,3.0,0.0,1.0,13.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la85,76.0,50.0,5.0,8.0,4.0,38.0,46.0,45.0,58.0,29.0,59.0,68.0,45.0,47.0,59.0,35.0
random--la811,17.0,4.0,3.0,4.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,13.0
random--la821,19.0,51.0,8.0,10.0,62.0,51.0,53.0,54.0,66.0,5.0,35.0,78.0,28.0,51.0,70.0,15.0
random--la822,135.0,47.0,57.0,15.0,26.0,28.0,34.0,35.0,47.0,15.0,43.0,154.0,20.0,75.0,141.0,0.0
random--la912,4.0,4.0,86.0,97.0,88.0,96.0,46.0,18.0,45.0,18.0,33.0,162.0,10.0,7.0,13.0,70.0
random--la921,57.0,34.0,11.0,26.0,90.0,73.0,45.0,36.0,54.0,34.0,45.0,54.0,17.0,19.0,11.0,134.0
random--la922,79.0,29.0,5.0,3.0,11.0,55.0,60.0,25.0,26.0,8.0,2.0,32.0,10.0,27.0,102.0,14.0
