names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la11,0.0,0.0,0.0,7.0,5.0,8.0,43.0,78.0,183.0,44.0,3.0,3.0,0.0,2.0,2.0,1.0
random--la111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0
random--la1018,0.0,0.0,0.0,0.0,0.0,0.0,5.0,349.0,289.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,85.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
random--la37,0.0,0.0,0.0,1.0,0.0,2.0,25.0,228.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la311,0.0,0.0,0.0,0.0,0.0,0.0,6.0,334.0,335.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la322,0.0,0.0,0.0,3.0,2.0,1.0,5.0,149.0,174.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0
random--la415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,96.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0
random--la53,0.0,0.0,0.0,0.0,0.0,0.0,28.0,176.0,284.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0
random--la58,0.0,0.0,0.0,0.0,0.0,4.0,8.0,252.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,13.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0
random--la610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
random--la614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,202.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la615,0.0,0.0,0.0,0.0,0.0,0.0,28.0,317.0,376.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,97.0,4.0,2.0,2.0,4.0,3.0,0.0,0.0
random--la627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,159.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la75,0.0,0.0,0.0,0.0,0.0,0.0,33.0,288.0,252.0,17.0,13.0,1.0,0.0,0.0,0.0,0.0
random--la711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,306.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la714,0.0,0.0,0.0,3.0,4.0,2.0,2.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la84,0.0,0.0,0.0,4.0,4.0,8.0,4.0,398.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,201.0,22.0,1.0,0.0,1.0,0.0,3.0,1.0
random--la814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,79.0,2.0,2.0,10.0,1.0,0.0,0.0,0.0
random--la819,0.0,0.0,0.0,0.0,0.0,4.0,11.0,250.0,335.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la820,0.0,0.0,0.0,0.0,0.0,5.0,15.0,313.0,306.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la821,0.0,0.0,0.0,0.0,0.0,1.0,7.0,331.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la822,0.0,0.0,0.0,0.0,0.0,0.0,61.0,335.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,146.0,59.0,1.0,6.0,6.0,0.0,0.0,0.0
random--la912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,321.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0
random--la916,0.0,0.0,0.0,0.0,0.0,5.0,7.0,331.0,362.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la921,0.0,0.0,2.0,2.0,5.0,10.0,18.0,351.0,316.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
