names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la17,7.0,1.0,3.0,1.0,34.0,25.0,34.0,39.0,23.0,86.0,292.0,56.0,0.0,0.0,0.0,0.0
random--la18,7.0,3.0,1.0,9.0,6.0,14.0,6.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1018,7.0,3.0,1.0,1.0,4.0,19.0,71.0,65.0,219.0,106.0,139.0,17.0,0.0,0.0,0.0,0.0
random--la219,7.0,3.0,5.0,16.0,35.0,26.0,32.0,70.0,74.0,51.0,95.0,57.0,0.0,0.0,0.0,0.0
random--la31,2.0,3.0,5.0,14.0,14.0,11.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la310,7.0,3.0,1.0,3.0,41.0,87.0,71.0,57.0,182.0,136.0,274.0,68.0,11.0,0.0,0.0,0.0
random--la311,7.0,3.0,1.0,1.0,16.0,28.0,86.0,69.0,170.0,158.0,130.0,26.0,4.0,0.0,0.0,0.0
random--la322,7.0,3.0,1.0,8.0,16.0,7.0,38.0,27.0,86.0,83.0,35.0,33.0,0.0,0.0,0.0,0.0
random--la46,7.0,3.0,4.0,9.0,7.0,4.0,7.0,5.0,6.0,62.0,15.0,0.0,0.0,0.0,0.0,0.0
random--la49,7.0,3.0,1.0,3.0,11.0,4.0,7.0,6.0,127.0,55.0,75.0,14.0,3.0,0.0,0.0,0.0
random--la412,7.0,3.0,1.0,12.0,18.0,17.0,72.0,124.0,141.0,27.0,128.0,98.0,0.0,0.0,0.0,0.0
random--la53,7.0,1.0,3.0,9.0,21.0,18.0,28.0,31.0,116.0,139.0,65.0,36.0,25.0,0.0,0.0,0.0
random--la510,7.0,3.0,1.0,6.0,31.0,36.0,93.0,71.0,103.0,8.0,30.0,9.0,14.0,0.0,0.0,0.0
random--la511,7.0,3.0,1.0,1.0,7.0,8.0,16.0,18.0,9.0,8.0,77.0,0.0,0.0,0.0,0.0,0.0
random--la61,3.0,1.0,4.0,12.0,6.0,3.0,7.0,8.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la66,7.0,3.0,3.0,15.0,6.0,28.0,10.0,6.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la610,7.0,3.0,1.0,4.0,7.0,5.0,6.0,11.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0
random--la616,7.0,3.0,1.0,1.0,37.0,43.0,50.0,150.0,91.0,243.0,93.0,16.0,1.0,0.0,0.0,0.0
random--la619,7.0,1.0,3.0,1.0,12.0,6.0,4.0,14.0,9.0,26.0,20.0,108.0,17.0,0.0,0.0,0.0
random--la627,7.0,1.0,3.0,1.0,15.0,15.0,73.0,81.0,34.0,83.0,82.0,60.0,0.0,0.0,0.0,0.0
random--la75,7.0,3.0,1.0,5.0,42.0,49.0,55.0,127.0,146.0,68.0,89.0,12.0,0.0,0.0,0.0,0.0
random--la713,7.0,1.0,3.0,1.0,17.0,21.0,51.0,71.0,136.0,68.0,126.0,6.0,0.0,0.0,0.0,0.0
random--la714,7.0,3.0,1.0,8.0,9.0,3.0,7.0,4.0,7.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0
random--la84,7.0,3.0,1.0,5.0,23.0,13.0,176.0,59.0,181.0,198.0,178.0,12.0,15.0,0.0,0.0,0.0
random--la85,7.0,3.0,1.0,1.0,31.0,40.0,83.0,139.0,104.0,17.0,118.0,128.0,0.0,0.0,0.0,0.0
random--la811,7.0,3.0,1.0,10.0,7.0,6.0,11.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la814,7.0,1.0,3.0,14.0,6.0,4.0,5.0,5.0,70.0,59.0,11.0,10.0,0.0,0.0,0.0,0.0
random--la816,7.0,3.0,1.0,3.0,21.0,29.0,63.0,210.0,84.0,122.0,170.0,35.0,0.0,0.0,0.0,0.0
random--la912,7.0,3.0,1.0,1.0,12.0,23.0,66.0,31.0,177.0,283.0,193.0,0.0,0.0,0.0,0.0,0.0
random--la921,7.0,3.0,1.0,18.0,36.0,51.0,128.0,51.0,67.0,163.0,180.0,21.0,14.0,0.0,0.0,0.0
