road,random--la17,random--la18,random--la1018,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la49,random--la412,random--la53,random--la510,random--la511,random--la61,random--la66,random--la610,random--la616,random--la619,random--la627,random--la75,random--la713,random--la714,random--la84,random--la85,random--la811,random--la814,random--la816,random--la912,random--la921
random--la17,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la18,0.6875,1.0,0.6875,0.6875,0.5,0.6875,0.6875,0.6875,0.75,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.5625,0.625,0.6875,0.875,0.625,0.6875,0.625,0.75,0.6875,0.6875,0.75,0.6875,0.6875,0.6875,0.6875
random--la1018,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la219,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la31,0.4375,0.5,0.4375,0.4375,1.0,0.4375,0.4375,0.4375,0.5,0.375,0.4375,0.4375,0.4375,0.5625,0.4375,0.5625,0.375,0.4375,0.375,0.375,0.4375,0.375,0.5,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375
random--la310,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la311,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la322,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la46,0.4375,0.75,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,1.0,0.5,0.4375,0.4375,0.4375,0.5625,0.8125,0.5625,0.5,0.4375,0.625,0.5,0.4375,0.5,0.75,0.4375,0.4375,0.5,0.5625,0.4375,0.4375,0.4375
random--la49,0.9375,0.625,0.9375,0.9375,0.375,0.9375,0.9375,0.9375,0.5,1.0,0.9375,0.9375,0.9375,0.8125,0.5625,0.6875,1.0,0.9375,0.75,1.0,0.9375,1.0,0.375,0.9375,0.9375,0.625,0.9375,0.9375,0.9375,0.9375
random--la412,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la53,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la510,1.0,0.6875,1.0,1.0,0.4375,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,0.875,0.5,0.625,0.9375,1.0,0.8125,0.9375,1.0,0.9375,0.4375,1.0,1.0,0.6875,0.875,1.0,1.0,1.0
random--la511,0.875,0.6875,0.875,0.875,0.5625,0.875,0.875,0.875,0.5625,0.8125,0.875,0.875,0.875,1.0,0.5,0.625,0.8125,0.875,0.6875,0.8125,0.875,0.8125,0.4375,0.875,0.875,0.5625,0.75,0.875,0.875,0.875
random--la61,0.5,0.6875,0.5,0.5,0.4375,0.5,0.5,0.5,0.8125,0.5625,0.5,0.5,0.5,0.5,1.0,0.625,0.5625,0.5,0.6875,0.5625,0.5,0.5625,0.5625,0.5,0.5,0.6875,0.625,0.5,0.5,0.5
random--la66,0.625,0.5625,0.625,0.625,0.5625,0.625,0.625,0.625,0.5625,0.6875,0.625,0.625,0.625,0.625,0.625,1.0,0.6875,0.625,0.5625,0.6875,0.625,0.6875,0.4375,0.625,0.625,0.5625,0.75,0.625,0.625,0.625
random--la610,0.9375,0.625,0.9375,0.9375,0.375,0.9375,0.9375,0.9375,0.5,1.0,0.9375,0.9375,0.9375,0.8125,0.5625,0.6875,1.0,0.9375,0.75,1.0,0.9375,1.0,0.375,0.9375,0.9375,0.625,0.9375,0.9375,0.9375,0.9375
