road,random--la11,random--la111,random--la109,random--la215,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la412,random--la415,random--la53,random--la510,random--la610,random--la616,random--la617,random--la625,random--la75,random--la711,random--la713,random--la84,random--la811,random--la816,random--la819,random--la820,random--la821,random--la822,random--la93,random--la912
random--la11,1.0,0.7588235294117647,0.7157894736842105,0.7307692307692308,0.7210526315789474,0.7263157894736842,0.7263157894736842,0.7105263157894737,0.7578947368421053,0.7764705882352941,0.6894736842105262,0.7052631578947368,0.7578947368421053,0.736842105263158,0.7473684210526316,0.7473684210526316,0.7052631578947368,0.7357142857142858,0.7947368421052632,0.7133333333333334,0.8055555555555556,0.7263157894736842,0.74,0.6894736842105262,0.7315789473684211,0.7722222222222223,0.7315789473684211,0.7210526315789474,0.7,0.7210526315789474
random--la111,0.7588235294117647,1.0,0.8294117647058823,0.7769230769230769,0.7529411764705882,0.7705882352941177,0.7588235294117647,0.7941176470588236,0.7470588235294118,0.7764705882352941,0.8,0.7470588235294118,0.7647058823529411,0.7235294117647059,0.7470588235294118,0.7470588235294118,0.7058823529411764,0.7,0.8,0.6933333333333334,0.6882352941176471,0.711764705882353,0.8066666666666666,0.7529411764705882,0.8235294117647058,0.7294117647058824,0.7529411764705882,0.7705882352941177,0.7470588235294118,0.8176470588235294
random--la109,0.7157894736842105,0.8294117647058823,1.0,0.7923076923076923,0.7789473684210526,0.7315789473684211,0.7473684210526316,0.7736842105263158,0.736842105263158,0.7294117647058824,0.7684210526315789,0.7473684210526316,0.7526315789473684,0.7578947368421053,0.7894736842105263,0.7263157894736842,0.6947368421052631,0.7285714285714286,0.7736842105263158,0.7933333333333333,0.7222222222222222,0.7157894736842105,0.7533333333333333,0.8,0.7842105263157895,0.7,0.7842105263157895,0.7052631578947368,0.7421052631578947,0.7421052631578947
random--la215,0.7307692307692308,0.7769230769230769,0.7923076923076923,1.0,0.7923076923076923,0.7461538461538462,0.7615384615384615,0.7692307692307692,0.823076923076923,0.7076923076923076,0.7615384615384615,0.823076923076923,0.8153846153846154,0.7461538461538462,0.7692307692307692,0.7384615384615385,0.7307692307692308,0.7615384615384615,0.8076923076923077,0.8153846153846154,0.7,0.7461538461538462,0.7230769230769231,0.7923076923076923,0.7538461538461538,0.7384615384615385,0.7846153846153846,0.7692307692307692,0.7923076923076923,0.7538461538461538
random--la219,0.7210526315789474,0.7529411764705882,0.7789473684210526,0.7923076923076923,1.0,0.795,0.765,0.775,0.775,0.7588235294117647,0.8,0.79,0.78,0.79,0.785,0.765,0.745,0.6714285714285715,0.75,0.76,0.6888888888888889,0.7150000000000001,0.8333333333333334,0.785,0.76,0.7333333333333334,0.736842105263158,0.76,0.7684210526315789,0.74
random--la31,0.7263157894736842,0.7705882352941177,0.7315789473684211,0.7461538461538462,0.795,1.0,0.7523809523809524,0.7285714285714286,0.7380952380952381,0.7411764705882353,0.7476190476190476,0.7333333333333334,0.7523809523809524,0.7380952380952381,0.7380952380952381,0.7761904761904762,0.7904761904761904,0.6928571428571428,0.780952380952381,0.7466666666666666,0.8277777777777777,0.7095238095238094,0.76,0.8,0.719047619047619,0.75,0.7526315789473684,0.7476190476190476,0.7263157894736842,0.74
random--la310,0.7263157894736842,0.7588235294117647,0.7473684210526316,0.7615384615384615,0.765,0.7523809523809524,1.0,0.7608695652173914,0.7,0.7705882352941177,0.7428571428571429,0.7571428571428571,0.75,0.7428571428571429,0.744,0.7375,0.7363636363636363,0.7142857142857143,0.740909090909091,0.7733333333333333,0.6944444444444444,0.7090909090909091,0.7666666666666666,0.7304347826086957,0.7476190476190476,0.7166666666666667,0.7631578947368421,0.7545454545454545,0.7526315789473684,0.785
random--la311,0.7105263157894737,0.7941176470588236,0.7736842105263158,0.7692307692307692,0.775,0.7285714285714286,0.7608695652173914,1.0,0.7521739130434782,0.7411764705882353,0.7476190476190476,0.7952380952380953,0.7863636363636364,0.7857142857142857,0.7478260869565218,0.7652173913043478,0.7272727272727273,0.7714285714285715,0.8136363636363636,0.78,0.6777777777777778,0.7727272727272727,0.7866666666666666,0.7521739130434782,0.8047619047619048,0.7555555555555555,0.8210526315789474,0.7227272727272727,0.7789473684210526,0.76
random--la322,0.7578947368421053,0.7470588235294118,0.736842105263158,0.823076923076923,0.775,0.7380952380952381,0.7,0.7521739130434782,1.0,0.7705882352941177,0.7238095238095238,0.7761904761904762,0.7954545454545454,0.7523809523809524,0.7608695652173914,0.7434782608695651,0.7818181818181819,0.8,0.740909090909091,0.7933333333333333,0.7,0.7136363636363636,0.78,0.7043478260869565,0.7904761904761904,0.7888888888888889,0.7526315789473684,0.7,0.7631578947368421,0.755
random--la46,0.7764705882352941,0.7764705882352941,0.7294117647058824,0.7076923076923076,0.7588235294117647,0.7411764705882353,0.7705882352941177,0.7411764705882353,0.7705882352941177,1.0,0.7176470588235294,0.7529411764705882,0.7176470588235294,0.7705882352941177,0.7294117647058824,0.7764705882352941,0.7529411764705882,0.7357142857142858,0.7705882352941177,0.7333333333333334,0.7176470588235294,0.7058823529411764,0.78,0.7764705882352941,0.7529411764705882,0.6647058823529413,0.7235294117647059,0.8,0.7235294117647059,0.7470588235294118
