test,num_obes
random--la11,1
random--la117,1
random--la1018,0
random--la216,1
random--la222,0
random--la310,0
random--la311,0
random--la322,1
random--la323,0
random--la44,0
random--la46,1
random--la415,1
random--la53,1
random--la66,1
random--la610,1
random--la616,0
random--la625,0
random--la626,0
random--la627,1
random--la75,0
random--la711,0
random--la811,1
random--la814,1
random--la819,0
random--la821,0
random--la822,0
random--la912,0
random--la918,0
random--la921,0
random--la922,1
