road,random--la18,random--la109,random--la1018,random--la216,random--la219,random--la310,random--la311,random--la322,random--la46,random--la49,random--la412,random--la53,random--la57,random--la510,random--la66,random--la610,random--la616,random--la617,random--la75,random--la711,random--la714,random--la84,random--la811,random--la814,random--la819,random--la820,random--la821,random--la822,random--la912,random--la921
random--la18,1.0,0.5625,0.6875,0.5,0.6875,0.6875,0.6875,0.6875,0.75,0.625,0.6875,0.6875,0.6875,0.6875,0.5625,0.625,0.6875,0.6875,0.6875,0.625,0.75,0.6875,0.75,0.6875,0.6875,0.6875,0.6875,0.625,0.6875,0.6875
random--la109,0.5625,1.0,0.875,0.5625,0.875,0.875,0.875,0.875,0.5625,0.8125,0.875,0.875,0.875,0.875,0.5,0.8125,0.875,0.75,0.875,0.8125,0.5625,0.875,0.5625,0.75,0.875,0.875,0.875,0.8125,0.875,0.875
random--la1018,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la216,0.5,0.5625,0.4375,1.0,0.4375,0.4375,0.4375,0.4375,0.625,0.5,0.4375,0.4375,0.4375,0.4375,0.6875,0.5,0.4375,0.5625,0.4375,0.5,0.625,0.4375,0.375,0.5625,0.4375,0.4375,0.4375,0.375,0.4375,0.4375
random--la219,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la310,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la311,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la322,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la46,0.75,0.5625,0.4375,0.625,0.4375,0.4375,0.4375,0.4375,1.0,0.5,0.4375,0.4375,0.4375,0.4375,0.5625,0.5,0.4375,0.5625,0.4375,0.5,0.75,0.4375,0.5,0.5625,0.4375,0.4375,0.4375,0.375,0.4375,0.4375
random--la49,0.625,0.8125,0.9375,0.5,0.9375,0.9375,0.9375,0.9375,0.5,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,1.0,0.9375,0.9375,0.9375,1.0,0.375,0.9375,0.625,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375
random--la412,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la53,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la57,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la510,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la66,0.5625,0.5,0.625,0.6875,0.625,0.625,0.625,0.625,0.5625,0.6875,0.625,0.625,0.625,0.625,1.0,0.6875,0.625,0.75,0.625,0.6875,0.4375,0.625,0.5625,0.75,0.625,0.625,0.625,0.5625,0.625,0.625
random--la610,0.625,0.8125,0.9375,0.5,0.9375,0.9375,0.9375,0.9375,0.5,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,1.0,0.9375,0.9375,0.9375,1.0,0.375,0.9375,0.625,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375
random--la616,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la617,0.6875,0.75,0.875,0.5625,0.875,0.875,0.875,0.875,0.5625,0.9375,0.875,0.875,0.875,0.875,0.75,0.9375,0.875,1.0,0.875,0.9375,0.4375,0.875,0.6875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875
random--la75,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la711,0.625,0.8125,0.9375,0.5,0.9375,0.9375,0.9375,0.9375,0.5,1.0,0.9375,0.9375,0.9375,0.9375,0.6875,1.0,0.9375,0.9375,0.9375,1.0,0.375,0.9375,0.625,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375
random--la714,0.75,0.5625,0.4375,0.625,0.4375,0.4375,0.4375,0.4375,0.75,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.375,0.4375,0.4375,0.4375,0.375,1.0,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.4375
random--la84,0.6875,0.875,1.0,0.4375,1.0,1.0,1.0,1.0,0.4375,0.9375,1.0,1.0,1.0,1.0,0.625,0.9375,1.0,0.875,1.0,0.9375,0.4375,1.0,0.6875,0.875,1.0,1.0,1.0,0.9375,1.0,1.0
random--la811,0.75,0.5625,0.6875,0.375,0.6875,0.6875,0.6875,0.6875,0.5,0.625,0.6875,0.6875,0.6875,0.6875,0.5625,0.625,0.6875,0.6875,0.6875,0.625,0.5,0.6875,1.0,0.5625,0.6875,0.6875,0.6875,0.625,0.6875,0.6875
random--la814,0.6875,0.75,0.875,0.5625,0.875,0.875,0.875,0.875,0.5625,0.9375,0.875,0.875,0.875,0.875,0.75,0.9375,0.875,0.875,0.875,0.9375,0.4375,0.875,0.5625,1.0,0.875,0.875,0.875,0.8125,0.875,0.875
