names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la17,28.0,13.0,4.0,2.0,45.0,81.0,100.0,38.0,34.0,21.0,68.0,96.0,13.0,2.0,4.0,52.0
random--la109,4.0,0.0,0.0,2.0,7.0,27.0,26.0,38.0,22.0,3.0,3.0,44.0,7.0,4.0,2.0,30.0
random--la1018,59.0,6.0,71.0,24.0,58.0,29.0,47.0,54.0,29.0,12.0,55.0,20.0,9.0,60.0,107.0,12.0
random--la216,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,6.0
random--la219,29.0,49.0,10.0,11.0,9.0,19.0,24.0,30.0,53.0,63.0,48.0,28.0,3.0,22.0,33.0,40.0
random--la222,60.0,22.0,3.0,7.0,87.0,91.0,42.0,24.0,58.0,16.0,7.0,95.0,54.0,74.0,41.0,46.0
random--la310,103.0,9.0,50.0,28.0,93.0,61.0,45.0,19.0,66.0,77.0,142.0,54.0,12.0,23.0,73.0,86.0
random--la323,79.0,18.0,53.0,36.0,37.0,67.0,28.0,43.0,50.0,53.0,112.0,164.0,7.0,0.0,7.0,38.0
random--la46,0.0,0.0,0.0,16.0,64.0,3.0,1.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
random--la49,0.0,5.0,63.0,5.0,20.0,18.0,4.0,13.0,24.0,8.0,16.0,31.0,86.0,5.0,8.0,10.0
random--la53,70.0,12.0,14.0,35.0,15.0,6.0,7.0,15.0,86.0,24.0,21.0,94.0,33.0,37.0,18.0,12.0
random--la520,32.0,2.0,37.0,116.0,94.0,44.0,16.0,16.0,65.0,32.0,33.0,65.0,15.0,14.0,105.0,69.0
random--la66,0.0,7.0,54.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,5.0,52.0
random--la610,0.0,4.0,4.0,8.0,6.0,11.0,7.0,9.0,13.0,3.0,2.0,5.0,1.0,2.0,1.0,9.0
random--la616,57.0,52.0,15.0,20.0,130.0,35.0,12.0,28.0,77.0,12.0,21.0,105.0,11.0,34.0,88.0,39.0
random--la625,44.0,103.0,18.0,19.0,73.0,68.0,11.0,17.0,26.0,4.0,42.0,66.0,3.0,53.0,164.0,0.0
random--la626,0.0,11.0,74.0,9.0,34.0,79.0,68.0,24.0,57.0,41.0,69.0,79.0,119.0,8.0,0.0,0.0
random--la79,0.0,1.0,49.0,16.0,32.0,43.0,35.0,8.0,18.0,3.0,27.0,27.0,68.0,8.0,1.0,12.0
random--la711,0.0,85.0,9.0,13.0,46.0,43.0,59.0,51.0,34.0,59.0,99.0,33.0,45.0,21.0,7.0,36.0
random--la719,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0
random--la811,17.0,4.0,3.0,4.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,13.0
random--la814,0.0,5.0,36.0,10.0,18.0,8.0,5.0,12.0,31.0,9.0,0.0,3.0,26.0,13.0,3.0,16.0
random--la816,25.0,202.0,34.0,11.0,20.0,3.0,8.0,21.0,44.0,95.0,95.0,77.0,8.0,3.0,11.0,91.0
random--la819,77.0,23.0,84.0,45.0,7.0,4.0,2.0,16.0,51.0,22.0,53.0,101.0,3.0,7.0,98.0,39.0
random--la821,19.0,51.0,8.0,10.0,62.0,51.0,53.0,54.0,66.0,5.0,35.0,78.0,28.0,51.0,70.0,15.0
random--la822,135.0,47.0,57.0,15.0,26.0,28.0,34.0,35.0,47.0,15.0,43.0,154.0,20.0,75.0,141.0,0.0
random--la912,4.0,4.0,86.0,97.0,88.0,96.0,46.0,18.0,45.0,18.0,33.0,162.0,10.0,7.0,13.0,70.0
random--la914,0.0,10.0,5.0,2.0,9.0,0.0,13.0,18.0,29.0,3.0,4.0,0.0,0.0,1.0,4.0,53.0
random--la918,24.0,69.0,57.0,58.0,15.0,22.0,28.0,43.0,43.0,5.0,15.0,17.0,36.0,45.0,136.0,0.0
random--la921,57.0,34.0,11.0,26.0,90.0,73.0,45.0,36.0,54.0,34.0,45.0,54.0,17.0,19.0,11.0,134.0
