road,one-plus-o27,one-plus-o222,one-plus-o239,one-plus-o34,one-plus-o36,one-plus-o37,one-plus-o318,one-plus-o334,one-plus-o344,one-plus-o356,one-plus-o360,one-plus-o365,one-plus-o368,random--la115,random--la1014,random--la1024,random--la24,random--la26,random--la410,random--la434,random--la438,random--la523,random--la65,random--la68,random--la630,random--la76,random--la726,random--la731,random--la82,random--la920
one-plus-o27,1.0,0.7823529411764706,0.8,0.77,0.85,0.84,0.7636363636363637,0.8,0.8111111111111111,0.8222222222222222,0.8666666666666667,0.8,0.8111111111111111,0.7294117647058824,0.8071428571428572,0.8235294117647058,0.8,0.7764705882352941,0.7588235294117647,0.8071428571428572,0.8058823529411765,0.7470588235294118,0.7411764705882353,0.7785714285714286,0.7647058823529411,0.7666666666666666,0.8083333333333333,0.74375,0.788235294117647,0.788235294117647
one-plus-o222,0.7823529411764706,1.0,0.85,0.77,0.77,0.76,0.7727272727272727,0.8,0.7666666666666666,0.8222222222222222,0.8333333333333334,0.7625,0.7666666666666666,0.7444444444444445,0.7857142857142857,0.7789473684210526,0.7785714285714286,0.7473684210526316,0.7631578947368421,0.7928571428571428,0.7473684210526316,0.725,0.6944444444444444,0.8285714285714285,0.7529411764705882,0.7733333333333333,0.8166666666666667,0.79375,0.6947368421052631,0.7764705882352941
one-plus-o239,0.8,0.85,1.0,0.76,0.8,0.79,0.7818181818181819,0.8125,0.7444444444444445,0.8,0.8,0.7375,0.7666666666666666,0.7928571428571428,0.7428571428571429,0.7714285714285715,0.8071428571428572,0.8214285714285714,0.7857142857142857,0.7714285714285715,0.8357142857142857,0.8285714285714285,0.7571428571428571,0.75,0.7571428571428571,0.7214285714285714,0.7333333333333334,0.7785714285714286,0.7642857142857142,0.7714285714285715
one-plus-o34,0.77,0.77,0.76,1.0,0.81,0.8200000000000001,0.94,0.8,0.7777777777777778,0.9,0.7777777777777778,0.775,0.8444444444444444,0.75,0.81,0.81,0.76,0.78,0.77,0.76,0.77,0.78,0.78,0.78,0.84,0.81,0.81,0.76,0.8,0.77
one-plus-o36,0.85,0.77,0.8,0.81,1.0,0.99,0.89,0.825,0.8555555555555556,0.8222222222222222,0.7777777777777778,0.8875,0.8111111111111111,0.78,0.8,0.88,0.73,0.88,0.81,0.77,0.8,0.75,0.79,0.73,0.79,0.75,0.8,0.76,0.77,0.78
one-plus-o37,0.84,0.76,0.79,0.8200000000000001,0.99,1.0,0.88,0.8125,0.8666666666666667,0.8111111111111111,0.7888888888888889,0.9,0.8,0.77,0.79,0.87,0.72,0.87,0.8,0.76,0.79,0.76,0.8,0.72,0.78,0.74,0.79,0.76,0.76,0.77
one-plus-o318,0.7636363636363637,0.7727272727272727,0.7818181818181819,0.94,0.89,0.88,1.0,0.8625,0.8333333333333334,0.9,0.8222222222222222,0.8375,0.9111111111111111,0.8,0.8090909090909091,0.7727272727272727,0.7090909090909091,0.7909090909090909,0.7545454545454545,0.7272727272727273,0.7545454545454545,0.8,0.7727272727272727,0.7454545454545455,0.7636363636363637,0.7818181818181819,0.8090909090909091,0.7181818181818183,0.7818181818181819,0.7545454545454545
one-plus-o334,0.8,0.8,0.8125,0.8,0.825,0.8125,0.8625,1.0,0.8375,0.7875,0.75,0.8625,0.7625,0.8,0.775,0.85,0.8125,0.7875,0.8625,0.9125,0.7875,0.925,0.75,0.8375,0.9125,0.8,0.8,0.7875,0.8,0.8
one-plus-o344,0.8111111111111111,0.7666666666666666,0.7444444444444445,0.7777777777777778,0.8555555555555556,0.8666666666666667,0.8333333333333334,0.8375,1.0,0.8777777777777778,0.8111111111111111,0.975,0.8666666666666667,0.7,0.8,0.8888888888888888,0.7333333333333334,0.8111111111111111,0.7888888888888889,0.7666666666666666,0.8222222222222222,0.7777777777777778,0.7444444444444445,0.7666666666666666,0.7444444444444445,0.7888888888888889,0.7666666666666666,0.7666666666666666,0.8444444444444444,0.8111111111111111
one-plus-o356,0.8222222222222222,0.8222222222222222,0.8,0.9,0.8222222222222222,0.8111111111111111,0.9,0.7875,0.8777777777777778,1.0,0.8444444444444444,0.9,0.9444444444444444,0.7555555555555555,0.8666666666666667,0.8777777777777778,0.7333333333333334,0.8222222222222222,0.8222222222222222,0.7777777777777778,0.8666666666666667,0.8111111111111111,0.7777777777777778,0.7555555555555555,0.7666666666666666,0.8777777777777778,0.7555555555555555,0.7666666666666666,0.7666666666666666,0.8111111111111111
one-plus-o360,0.8666666666666667,0.8333333333333334,0.8,0.7777777777777778,0.7777777777777778,0.7888888888888889,0.8222222222222222,0.75,0.8111111111111111,0.8444444444444444,1.0,0.7875,0.9,0.7555555555555555,0.9,0.7777777777777778,0.7666666666666666,0.8222222222222222,0.7777777777777778,0.7888888888888889,0.8222222222222222,0.7555555555555555,0.8666666666666667,0.7444444444444445,0.8,0.7222222222222222,0.7111111111111111,0.7555555555555555,0.8333333333333334,0.8111111111111111
one-plus-o365,0.8,0.7625,0.7375,0.775,0.8875,0.9,0.8375,0.8625,0.975,0.9,0.7875,1.0,0.875,0.75,0.825,0.9125,0.7875,0.85,0.825,0.825,0.8,0.875,0.75,0.8,0.775,0.8625,0.775,0.7875,0.8875,0.7875
one-plus-o368,0.8111111111111111,0.7666666666666666,0.7666666666666666,0.8444444444444444,0.8111111111111111,0.8,0.9111111111111111,0.7625,0.8666666666666667,0.9444444444444444,0.9,0.875,1.0,0.7666666666666666,0.8333333333333334,0.8444444444444444,0.6888888888888889,0.8333333333333334,0.7888888888888889,0.7333333333333334,0.8333333333333334,0.8,0.7666666666666666,0.7,0.7444444444444445,0.8222222222222222,0.7444444444444445,0.7333333333333334,0.7555555555555555,0.7555555555555555
random--la115,0.7294117647058824,0.7444444444444445,0.7928571428571428,0.75,0.78,0.77,0.8,0.8,0.7,0.7555555555555555,0.7555555555555555,0.75,0.7666666666666666,1.0,0.7857142857142857,0.7833333333333333,0.7785714285714286,0.75,0.8111111111111111,0.8,0.7277777777777779,0.7833333333333333,0.7111111111111111,0.7571428571428571,0.7411764705882353,0.78,0.7583333333333333,0.83125,0.7666666666666666,0.7588235294117647
