names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o27,0.0,1.0,12.0,23.0,33.0,31.0,13.0,44.0,48.0,88.0,19.0,14.0,86.0,1.0,0.0,0.0
one-plus-o222,0.0,0.0,8.0,37.0,26.0,27.0,26.0,21.0,102.0,70.0,58.0,48.0,87.0,89.0,0.0,0.0
one-plus-o239,0.0,2.0,18.0,4.0,8.0,3.0,14.0,18.0,50.0,10.0,23.0,104.0,148.0,29.0,0.0,0.0
one-plus-o34,1.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,5.0,12.0,89.0,18.0,83.0,107.0,0.0,0.0
one-plus-o36,1.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,13.0,79.0,28.0,7.0,83.0,101.0,0.0,0.0
one-plus-o37,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,5.0,20.0,31.0,64.0,86.0,99.0,0.0,0.0
one-plus-o318,0.0,0.0,0.0,0.0,7.0,28.0,23.0,21.0,47.0,48.0,62.0,18.0,82.0,102.0,0.0,0.0
one-plus-o334,0.0,0.0,0.0,0.0,1.0,36.0,6.0,3.0,5.0,46.0,24.0,47.0,49.0,80.0,0.0,0.0
one-plus-o344,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,2.0,49.0,32.0,77.0,5.0,170.0,0.0,0.0
one-plus-o356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,167.0,7.0,5.0,146.0,0.0,0.0
one-plus-o360,1.0,0.0,0.0,0.0,9.0,26.0,3.0,5.0,40.0,3.0,107.0,75.0,52.0,57.0,0.0,0.0
one-plus-o365,0.0,0.0,0.0,0.0,2.0,37.0,3.0,6.0,4.0,4.0,6.0,63.0,6.0,163.0,0.0,0.0
one-plus-o368,0.0,0.0,0.0,0.0,10.0,25.0,5.0,4.0,3.0,4.0,158.0,13.0,37.0,112.0,0.0,0.0
random--la115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1014,0.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,6.0,55.0,109.0,147.0,88.0,64.0,0.0,0.0
random--la1024,1.0,0.0,0.0,15.0,18.0,9.0,25.0,11.0,15.0,13.0,15.0,23.0,4.0,31.0,0.0,0.0
random--la24,0.0,0.0,0.0,3.0,5.0,5.0,45.0,21.0,25.0,44.0,66.0,76.0,17.0,134.0,0.0,0.0
random--la26,0.0,0.0,2.0,13.0,6.0,46.0,120.0,59.0,91.0,73.0,19.0,152.0,86.0,19.0,0.0,0.0
random--la410,0.0,0.0,0.0,0.0,11.0,38.0,18.0,16.0,23.0,46.0,50.0,35.0,18.0,237.0,0.0,0.0
random--la434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,42.0,155.0,59.0,88.0,8.0,0.0,0.0
random--la438,1.0,0.0,2.0,9.0,15.0,19.0,29.0,15.0,11.0,16.0,120.0,177.0,96.0,0.0,0.0,0.0
random--la523,0.0,1.0,22.0,36.0,20.0,68.0,136.0,39.0,69.0,17.0,108.0,128.0,76.0,8.0,0.0,0.0
random--la65,0.0,0.0,4.0,10.0,9.0,93.0,65.0,21.0,17.0,49.0,190.0,27.0,44.0,157.0,0.0,0.0
random--la68,0.0,0.0,0.0,0.0,6.0,17.0,12.0,9.0,5.0,10.0,37.0,150.0,120.0,137.0,0.0,0.0
random--la630,0.0,0.0,0.0,1.0,7.0,11.0,23.0,7.0,10.0,148.0,165.0,101.0,14.0,116.0,0.0,0.0
random--la76,0.0,0.0,0.0,6.0,7.0,36.0,14.0,46.0,29.0,44.0,24.0,97.0,100.0,145.0,0.0,0.0
random--la726,12.0,2.0,2.0,2.0,3.0,7.0,39.0,10.0,10.0,7.0,11.0,122.0,91.0,135.0,0.0,0.0
random--la731,10.0,2.0,3.0,7.0,17.0,34.0,14.0,14.0,13.0,87.0,66.0,93.0,155.0,17.0,0.0,0.0
random--la82,10.0,4.0,16.0,12.0,14.0,55.0,88.0,40.0,28.0,22.0,105.0,231.0,11.0,95.0,0.0,0.0
random--la920,0.0,0.0,0.0,0.0,8.0,31.0,45.0,50.0,38.0,150.0,75.0,23.0,57.0,76.0,0.0,0.0
