road,one-plus-o27,one-plus-o222,one-plus-o239,one-plus-o34,one-plus-o36,one-plus-o37,one-plus-o318,one-plus-o334,one-plus-o344,one-plus-o356,one-plus-o360,one-plus-o365,one-plus-o368,random--la115,random--la1014,random--la1024,random--la24,random--la26,random--la410,random--la434,random--la438,random--la523,random--la65,random--la68,random--la630,random--la76,random--la726,random--la731,random--la82,random--la920
one-plus-o27,1.0,0.9375,1.0,0.625,0.625,0.6875,0.8125,0.8125,0.6875,0.5625,0.75,0.8125,0.8125,0.1875,0.6875,0.8125,0.875,0.9375,0.8125,0.625,0.8125,1.0,0.9375,0.8125,0.875,0.875,0.9375,0.9375,0.9375,0.8125
one-plus-o222,0.9375,1.0,0.9375,0.6875,0.6875,0.75,0.875,0.875,0.75,0.625,0.8125,0.875,0.875,0.25,0.75,0.875,0.9375,1.0,0.875,0.6875,0.875,0.9375,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875
one-plus-o239,1.0,0.9375,1.0,0.625,0.625,0.6875,0.8125,0.8125,0.6875,0.5625,0.75,0.8125,0.8125,0.1875,0.6875,0.8125,0.875,0.9375,0.8125,0.625,0.8125,1.0,0.9375,0.8125,0.875,0.875,0.9375,0.9375,0.9375,0.8125
one-plus-o34,0.625,0.6875,0.625,1.0,1.0,0.9375,0.8125,0.8125,0.9375,0.8125,0.875,0.8125,0.8125,0.5625,0.9375,0.8125,0.75,0.6875,0.8125,0.875,0.6875,0.625,0.6875,0.8125,0.75,0.75,0.6875,0.6875,0.6875,0.8125
one-plus-o36,0.625,0.6875,0.625,1.0,1.0,0.9375,0.8125,0.8125,0.9375,0.8125,0.875,0.8125,0.8125,0.5625,0.9375,0.8125,0.75,0.6875,0.8125,0.875,0.6875,0.625,0.6875,0.8125,0.75,0.75,0.6875,0.6875,0.6875,0.8125
one-plus-o37,0.6875,0.75,0.6875,0.9375,0.9375,1.0,0.875,0.875,1.0,0.875,0.8125,0.875,0.875,0.5,1.0,0.75,0.8125,0.75,0.875,0.9375,0.625,0.6875,0.75,0.875,0.8125,0.8125,0.625,0.625,0.625,0.875
one-plus-o318,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
one-plus-o334,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
one-plus-o344,0.6875,0.75,0.6875,0.9375,0.9375,1.0,0.875,0.875,1.0,0.875,0.8125,0.875,0.875,0.5,1.0,0.75,0.8125,0.75,0.875,0.9375,0.625,0.6875,0.75,0.875,0.8125,0.8125,0.625,0.625,0.625,0.875
one-plus-o356,0.5625,0.625,0.5625,0.8125,0.8125,0.875,0.75,0.75,0.875,1.0,0.6875,0.75,0.75,0.625,0.875,0.625,0.6875,0.625,0.75,0.9375,0.5,0.5625,0.625,0.75,0.6875,0.6875,0.5,0.5,0.5,0.75
one-plus-o360,0.75,0.8125,0.75,0.875,0.875,0.8125,0.9375,0.9375,0.8125,0.6875,1.0,0.9375,0.9375,0.4375,0.8125,0.9375,0.875,0.8125,0.9375,0.75,0.8125,0.75,0.8125,0.9375,0.875,0.875,0.8125,0.8125,0.8125,0.9375
one-plus-o365,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
one-plus-o368,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
random--la115,0.1875,0.25,0.1875,0.5625,0.5625,0.5,0.375,0.375,0.5,0.625,0.4375,0.375,0.375,1.0,0.5,0.375,0.3125,0.25,0.375,0.5625,0.375,0.1875,0.25,0.375,0.3125,0.3125,0.25,0.25,0.25,0.375
random--la1014,0.6875,0.75,0.6875,0.9375,0.9375,1.0,0.875,0.875,1.0,0.875,0.8125,0.875,0.875,0.5,1.0,0.75,0.8125,0.75,0.875,0.9375,0.625,0.6875,0.75,0.875,0.8125,0.8125,0.625,0.625,0.625,0.875
random--la1024,0.8125,0.875,0.8125,0.8125,0.8125,0.75,0.875,0.875,0.75,0.625,0.9375,0.875,0.875,0.375,0.75,1.0,0.9375,0.875,0.875,0.6875,0.875,0.8125,0.875,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875
random--la24,0.875,0.9375,0.875,0.75,0.75,0.8125,0.9375,0.9375,0.8125,0.6875,0.875,0.9375,0.9375,0.3125,0.8125,0.9375,1.0,0.9375,0.9375,0.75,0.8125,0.875,0.9375,0.9375,1.0,1.0,0.8125,0.8125,0.8125,0.9375
random--la26,0.9375,1.0,0.9375,0.6875,0.6875,0.75,0.875,0.875,0.75,0.625,0.8125,0.875,0.875,0.25,0.75,0.875,0.9375,1.0,0.875,0.6875,0.875,0.9375,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875
random--la410,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
random--la434,0.625,0.6875,0.625,0.875,0.875,0.9375,0.8125,0.8125,0.9375,0.9375,0.75,0.8125,0.8125,0.5625,0.9375,0.6875,0.75,0.6875,0.8125,1.0,0.5625,0.625,0.6875,0.8125,0.75,0.75,0.5625,0.5625,0.5625,0.8125
random--la438,0.8125,0.875,0.8125,0.6875,0.6875,0.625,0.75,0.75,0.625,0.5,0.8125,0.75,0.75,0.375,0.625,0.875,0.8125,0.875,0.75,0.5625,1.0,0.8125,0.875,0.75,0.8125,0.8125,0.875,0.875,0.875,0.75
random--la523,1.0,0.9375,1.0,0.625,0.625,0.6875,0.8125,0.8125,0.6875,0.5625,0.75,0.8125,0.8125,0.1875,0.6875,0.8125,0.875,0.9375,0.8125,0.625,0.8125,1.0,0.9375,0.8125,0.875,0.875,0.9375,0.9375,0.9375,0.8125
random--la65,0.9375,1.0,0.9375,0.6875,0.6875,0.75,0.875,0.875,0.75,0.625,0.8125,0.875,0.875,0.25,0.75,0.875,0.9375,1.0,0.875,0.6875,0.875,0.9375,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875
random--la68,0.8125,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,0.875,0.75,0.9375,1.0,1.0,0.375,0.875,0.875,0.9375,0.875,1.0,0.8125,0.75,0.8125,0.875,1.0,0.9375,0.9375,0.75,0.75,0.75,1.0
random--la630,0.875,0.9375,0.875,0.75,0.75,0.8125,0.9375,0.9375,0.8125,0.6875,0.875,0.9375,0.9375,0.3125,0.8125,0.9375,1.0,0.9375,0.9375,0.75,0.8125,0.875,0.9375,0.9375,1.0,1.0,0.8125,0.8125,0.8125,0.9375
random--la76,0.875,0.9375,0.875,0.75,0.75,0.8125,0.9375,0.9375,0.8125,0.6875,0.875,0.9375,0.9375,0.3125,0.8125,0.9375,1.0,0.9375,0.9375,0.75,0.8125,0.875,0.9375,0.9375,1.0,1.0,0.8125,0.8125,0.8125,0.9375
