names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o27,36.0,28.0,63.0,26.0,6.0,3.0,2.0,15.0,30.0,32.0,35.0,21.0,4.0,3.0,58.0,51.0
one-plus-o222,59.0,60.0,4.0,18.0,34.0,37.0,33.0,17.0,42.0,46.0,52.0,14.0,30.0,49.0,58.0,46.0
one-plus-o239,10.0,47.0,5.0,40.0,56.0,36.0,19.0,33.0,24.0,40.0,50.0,29.0,6.0,3.0,4.0,29.0
one-plus-o34,26.0,10.0,5.0,3.0,9.0,32.0,15.0,20.0,39.0,59.0,49.0,53.0,36.0,2.0,0.0,0.0
one-plus-o36,0.0,15.0,34.0,12.0,16.0,36.0,44.0,32.0,25.0,24.0,21.0,17.0,3.0,29.0,11.0,25.0
one-plus-o37,0.0,0.0,3.0,43.0,32.0,48.0,48.0,36.0,23.0,15.0,28.0,21.0,0.0,8.0,7.0,25.0
one-plus-o318,23.0,52.0,31.0,4.0,12.0,24.0,24.0,9.0,41.0,58.0,53.0,38.0,28.0,6.0,1.0,34.0
one-plus-o334,38.0,0.0,2.0,0.0,6.0,8.0,4.0,14.0,14.0,31.0,53.0,68.0,45.0,11.0,3.0,0.0
one-plus-o344,37.0,17.0,6.0,32.0,47.0,34.0,21.0,17.0,28.0,27.0,33.0,50.0,33.0,9.0,0.0,0.0
one-plus-o356,0.0,0.0,11.0,40.0,34.0,40.0,20.0,25.0,26.0,11.0,19.0,63.0,42.0,13.0,8.0,0.0
one-plus-o360,0.0,40.0,9.0,47.0,28.0,45.0,20.0,20.0,20.0,7.0,28.0,55.0,22.0,3.0,1.0,33.0
one-plus-o365,40.0,4.0,6.0,39.0,25.0,15.0,11.0,11.0,23.0,23.0,33.0,49.0,11.0,4.0,0.0,0.0
one-plus-o368,0.0,0.0,12.0,47.0,22.0,25.0,24.0,20.0,22.0,14.0,29.0,72.0,40.0,5.0,5.0,34.0
random--la115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1014,35.0,20.0,4.0,67.0,76.0,38.0,21.0,10.0,34.0,50.0,57.0,51.0,45.0,17.0,1.0,1.0
random--la1024,28.0,8.0,2.0,3.0,1.0,1.0,2.0,7.0,26.0,22.0,18.0,8.0,5.0,5.0,6.0,38.0
random--la24,53.0,18.0,13.0,38.0,18.0,5.0,4.0,12.0,52.0,60.0,61.0,39.0,19.0,36.0,10.0,3.0
random--la26,54.0,98.0,46.0,28.0,21.0,28.0,39.0,33.0,28.0,21.0,33.0,44.0,41.0,45.0,21.0,106.0
random--la410,28.0,10.0,26.0,47.0,27.0,30.0,34.0,50.0,42.0,31.0,46.0,39.0,10.0,34.0,10.0,28.0
random--la434,0.0,0.0,13.0,71.0,20.0,33.0,28.0,28.0,26.0,15.0,20.0,48.0,28.0,30.0,16.0,0.0
random--la438,41.0,10.0,25.0,89.0,51.0,28.0,17.0,10.0,28.0,38.0,55.0,49.0,23.0,5.0,7.0,34.0
random--la523,123.0,92.0,11.0,29.0,30.0,35.0,26.0,20.0,41.0,16.0,42.0,81.0,44.0,7.0,17.0,114.0
random--la65,107.0,16.0,23.0,40.0,31.0,45.0,42.0,54.0,18.0,3.0,6.0,96.0,103.0,46.0,5.0,51.0
random--la68,9.0,4.0,11.0,39.0,24.0,39.0,55.0,30.0,45.0,64.0,73.0,78.0,6.0,2.0,3.0,21.0
random--la630,16.0,6.0,100.0,37.0,33.0,23.0,16.0,34.0,49.0,49.0,51.0,79.0,78.0,8.0,7.0,17.0
random--la76,55.0,9.0,1.0,15.0,30.0,32.0,61.0,29.0,31.0,72.0,75.0,55.0,23.0,12.0,45.0,3.0
random--la726,8.0,0.0,5.0,18.0,37.0,47.0,73.0,54.0,19.0,40.0,54.0,41.0,5.0,3.0,9.0,40.0
random--la731,15.0,0.0,74.0,68.0,37.0,10.0,13.0,17.0,70.0,34.0,51.0,66.0,19.0,3.0,9.0,46.0
random--la82,58.0,15.0,34.0,85.0,97.0,51.0,41.0,35.0,35.0,57.0,48.0,21.0,14.0,9.0,30.0,101.0
random--la920,21.0,48.0,61.0,16.0,17.0,29.0,50.0,40.0,30.0,17.0,24.0,24.0,52.0,33.0,33.0,58.0
