road,one-plus-o27,one-plus-o222,one-plus-o239,one-plus-o34,one-plus-o36,one-plus-o37,one-plus-o318,one-plus-o334,one-plus-o344,one-plus-o356,one-plus-o360,one-plus-o365,one-plus-o368,random--la115,random--la1014,random--la1024,random--la24,random--la26,random--la410,random--la434,random--la438,random--la523,random--la65,random--la68,random--la630,random--la76,random--la726,random--la731,random--la82,random--la920
one-plus-o27,1.0,0.71484375,0.73828125,0.671875,0.71484375,0.70703125,0.6953125,0.66015625,0.703125,0.6640625,0.68359375,0.70703125,0.63671875,0.6796875,0.70703125,0.69140625,0.7421875,0.765625,0.71484375,0.70703125,0.72265625,0.765625,0.70703125,0.73046875,0.75,0.72265625,0.65625,0.74609375,0.72265625,0.75
one-plus-o222,0.71484375,1.0,0.75,0.73046875,0.734375,0.7421875,0.74609375,0.6953125,0.69921875,0.73046875,0.734375,0.6875,0.734375,0.66015625,0.7265625,0.796875,0.76953125,0.73828125,0.703125,0.765625,0.75,0.74609375,0.703125,0.7421875,0.73828125,0.734375,0.65234375,0.71875,0.7578125,0.75390625
one-plus-o239,0.73828125,0.75,1.0,0.83984375,0.796875,0.8125,0.80859375,0.734375,0.83203125,0.80078125,0.7734375,0.796875,0.7890625,0.76171875,0.828125,0.7109375,0.80078125,0.72265625,0.78125,0.8203125,0.7421875,0.76953125,0.7578125,0.78125,0.78515625,0.7734375,0.72265625,0.6875,0.7421875,0.77734375
one-plus-o34,0.671875,0.73046875,0.83984375,1.0,0.83203125,0.81640625,0.859375,0.82421875,0.875,0.875,0.80859375,0.81640625,0.83203125,0.8203125,0.87109375,0.73828125,0.8203125,0.703125,0.74609375,0.86328125,0.79296875,0.7421875,0.74609375,0.80859375,0.796875,0.80859375,0.75,0.73046875,0.72265625,0.7890625
one-plus-o36,0.71484375,0.734375,0.796875,0.83203125,1.0,0.9296875,0.77734375,0.78125,0.83203125,0.87109375,0.8203125,0.8046875,0.828125,0.81640625,0.8359375,0.765625,0.78515625,0.75390625,0.7890625,0.8984375,0.7890625,0.69921875,0.7265625,0.84375,0.81640625,0.7890625,0.76171875,0.75,0.71875,0.79296875
one-plus-o37,0.70703125,0.7421875,0.8125,0.81640625,0.9296875,1.0,0.76953125,0.7734375,0.83984375,0.84765625,0.828125,0.828125,0.828125,0.81640625,0.84375,0.7578125,0.80078125,0.77734375,0.8046875,0.8671875,0.7734375,0.71484375,0.734375,0.875,0.81640625,0.796875,0.77734375,0.7734375,0.71875,0.80078125
one-plus-o318,0.6953125,0.74609375,0.80859375,0.859375,0.77734375,0.76953125,1.0,0.78515625,0.796875,0.78125,0.81640625,0.76953125,0.78515625,0.7578125,0.82421875,0.74609375,0.7890625,0.7734375,0.77734375,0.79296875,0.76953125,0.765625,0.75390625,0.80859375,0.78125,0.79296875,0.75,0.76171875,0.76953125,0.828125
one-plus-o334,0.66015625,0.6953125,0.734375,0.82421875,0.78125,0.7734375,0.78515625,1.0,0.83984375,0.84765625,0.7578125,0.828125,0.8125,0.83203125,0.7890625,0.7421875,0.78515625,0.71484375,0.7109375,0.8203125,0.7421875,0.63671875,0.703125,0.828125,0.77734375,0.796875,0.69921875,0.703125,0.6484375,0.74609375
one-plus-o344,0.703125,0.69921875,0.83203125,0.875,0.83203125,0.83984375,0.796875,0.83984375,1.0,0.875,0.81640625,0.90234375,0.83984375,0.8359375,0.91796875,0.73828125,0.8359375,0.703125,0.80078125,0.83984375,0.79296875,0.7265625,0.76953125,0.87890625,0.828125,0.83984375,0.765625,0.72265625,0.71484375,0.7734375
one-plus-o356,0.6640625,0.73046875,0.80078125,0.875,0.87109375,0.84765625,0.78125,0.84765625,0.875,1.0,0.84765625,0.83203125,0.90234375,0.875,0.82421875,0.76171875,0.8125,0.6875,0.76953125,0.91015625,0.75390625,0.6953125,0.73046875,0.82421875,0.8125,0.76171875,0.75,0.70703125,0.66796875,0.7578125
