road,one-plus-o1014,one-plus-o219,one-plus-o221,one-plus-o320,one-plus-o328,one-plus-o335,one-plus-o348,one-plus-o349,one-plus-o350,one-plus-o356,one-plus-o359,one-plus-o368,random--la124,random--la23,random--la213,random--la240,random--la315,random--la431,random--la434,random--la510,random--la635,random--la637,random--la651,random--la656,random--la658,random--la77,random--la726,random--la734,random--la910,random--la924
one-plus-o1014,1.0,0.7428571428571429,0.7857142857142857,0.78,0.7555555555555555,0.7375,0.95,0.7625,0.81,0.7777777777777778,0.7666666666666666,0.7444444444444445,0.75,0.75,0.7428571428571429,0.7615384615384615,0.7769230769230769,0.7785714285714286,0.7571428571428571,0.7857142857142857,0.7571428571428571,0.7928571428571428,0.7642857142857142,0.7357142857142858,0.7357142857142858,0.85,0.7916666666666666,0.8833333333333333,0.7357142857142858,0.7846153846153846
one-plus-o219,0.7428571428571429,1.0,0.7857142857142857,0.81,0.8111111111111111,0.8125,0.9,0.85,0.79,0.8444444444444444,0.8222222222222222,0.8,0.7947368421052632,0.79375,0.7736842105263158,0.7846153846153846,0.7692307692307692,0.7473684210526316,0.8,0.7684210526315789,0.775,0.75,0.78125,0.7823529411764706,0.775,0.9,0.85,0.7666666666666666,0.7533333333333333,0.7923076923076923
one-plus-o221,0.7857142857142857,0.7857142857142857,1.0,0.7857142857142857,0.7428571428571429,0.8428571428571429,0.8,0.7714285714285715,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7857142857142857,0.8285714285714285,0.8428571428571429,0.8428571428571429,0.7714285714285715,0.8285714285714285,0.8428571428571429,0.8428571428571429,0.8142857142857143,0.7857142857142857,0.8285714285714285,0.9,0.8142857142857143,0.7571428571428571,0.85,0.8428571428571429,0.8,0.7714285714285715,0.8
one-plus-o320,0.78,0.81,0.7857142857142857,1.0,1.0,0.9625,0.95,0.7375,0.79,0.8888888888888888,0.7444444444444445,0.9,0.8200000000000001,0.75,0.78,0.78,0.85,0.77,0.73,0.85,0.78,0.78,0.78,0.69,0.78,0.825,0.8,0.73,0.76,0.8200000000000001
one-plus-o328,0.7555555555555555,0.8111111111111111,0.7428571428571429,1.0,1.0,0.9625,0.95,0.9125,0.7666666666666666,0.8888888888888888,0.9,0.9,0.8444444444444444,0.7777777777777778,0.7555555555555555,0.8111111111111111,0.8444444444444444,0.7666666666666666,0.7333333333333334,0.8555555555555556,0.7555555555555555,0.8111111111111111,0.7666666666666666,0.7111111111111111,0.7555555555555555,0.825,0.7777777777777778,0.7111111111111111,0.7555555555555555,0.8
one-plus-o335,0.7375,0.8125,0.8428571428571429,0.9625,0.9625,1.0,0.9,0.825,0.8,0.9375,0.9,0.95,0.8875,0.9125,0.8125,0.8625,0.8375,0.775,0.8,0.8,0.8375,0.825,0.75,0.775,0.7125,0.8,0.775,0.75,0.775,0.7625
one-plus-o348,0.95,0.9,0.8,0.95,0.95,0.9,1.0,0.9,0.95,0.9,0.95,0.9,0.95,0.95,0.8,1.0,0.95,1.0,0.9,0.95,0.95,0.95,0.9,0.9,0.95,0.8,0.9,0.9,0.9,0.9
one-plus-o349,0.7625,0.85,0.7714285714285715,0.7375,0.9125,0.825,0.9,1.0,0.95,0.9,0.975,0.875,0.85,0.7375,0.8,0.9125,0.8,0.8625,0.825,0.7875,0.8125,0.8,0.7625,0.8125,0.775,0.875,0.775,0.8,0.8125,0.8
one-plus-o350,0.81,0.79,0.7857142857142857,0.79,0.7666666666666666,0.8,0.95,0.95,1.0,0.8555555555555556,0.9777777777777777,0.8444444444444444,0.8,0.79,0.75,0.81,0.79,0.76,0.76,0.78,0.81,0.8200000000000001,0.77,0.76,0.76,0.85,0.75,0.83,0.73,0.77
one-plus-o356,0.7777777777777778,0.8444444444444444,0.7857142857142857,0.8888888888888888,0.8888888888888888,0.9375,0.9,0.9,0.8555555555555556,1.0,0.8777777777777778,0.9444444444444444,0.8444444444444444,0.7777777777777778,0.8111111111111111,0.8888888888888888,0.8666666666666667,0.7777777777777778,0.7777777777777778,0.8111111111111111,0.8444444444444444,0.8555555555555556,0.7666666666666666,0.7333333333333334,0.7444444444444445,0.85,0.7555555555555555,0.7666666666666666,0.7666666666666666,0.7444444444444445
one-plus-o359,0.7666666666666666,0.8222222222222222,0.7428571428571429,0.7444444444444445,0.9,0.9,0.95,0.975,0.9777777777777777,0.8777777777777778,1.0,0.8666666666666667,0.8333333333333334,0.7444444444444445,0.7555555555555555,0.9,0.7666666666666666,0.8222222222222222,0.7666666666666666,0.7444444444444445,0.7888888888888889,0.7777777777777778,0.7888888888888889,0.7555555555555555,0.7555555555555555,0.85,0.7666666666666666,0.7888888888888889,0.7444444444444445,0.7555555555555555
one-plus-o368,0.7444444444444445,0.8,0.7857142857142857,0.9,0.9,0.95,0.9,0.875,0.8444444444444444,0.9444444444444444,0.8666666666666667,1.0,0.8555555555555556,0.8333333333333334,0.8,0.8333333333333334,0.8111111111111111,0.7666666666666666,0.7333333333333334,0.7666666666666666,0.7888888888888889,0.8,0.7111111111111111,0.7,0.7222222222222222,0.85,0.7444444444444445,0.7111111111111111,0.7222222222222222,0.7444444444444445
random--la124,0.75,0.7947368421052632,0.8285714285714285,0.8200000000000001,0.8444444444444444,0.8875,0.95,0.85,0.8,0.8444444444444444,0.8333333333333334,0.8555555555555556,1.0,0.7625,0.74,0.7615384615384615,0.7615384615384615,0.7217391304347827,0.8142857142857143,0.7173913043478262,0.75625,0.8,0.74375,0.7411764705882353,0.7,0.825,0.7916666666666666,0.7916666666666666,0.7866666666666666,0.7692307692307692
random--la23,0.75,0.79375,0.8428571428571429,0.75,0.7777777777777778,0.9125,0.95,0.7375,0.79,0.7777777777777778,0.7444444444444445,0.8333333333333334,0.7625,1.0,0.76875,0.7615384615384615,0.7307692307692308,0.76875,0.8285714285714285,0.81875,0.775,0.75,0.75625,0.80625,0.725,0.875,0.8416666666666667,0.825,0.7333333333333334,0.8153846153846154
random--la213,0.7428571428571429,0.7736842105263158,0.8428571428571429,0.78,0.7555555555555555,0.8125,0.8,0.8,0.75,0.8111111111111111,0.7555555555555555,0.8,0.74,0.76875,1.0,0.7769230769230769,0.7769230769230769,0.79,0.8071428571428572,0.78,0.7375,0.81875,0.75,0.8176470588235294,0.70625,0.95,0.7583333333333333,0.7833333333333333,0.8,0.8153846153846154
random--la240,0.7615384615384615,0.7846153846153846,0.7714285714285715,0.78,0.8111111111111111,0.8625,1.0,0.9125,0.81,0.8888888888888888,0.9,0.8333333333333334,0.7615384615384615,0.7615384615384615,0.7769230769230769,1.0,0.7230769230769231,0.7769230769230769,0.823076923076923,0.8076923076923077,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7769230769230769,0.7384615384615385,0.85,0.8,0.75,0.7615384615384615,0.7923076923076923
random--la315,0.7769230769230769,0.7692307692307692,0.8285714285714285,0.85,0.8444444444444444,0.8375,0.95,0.8,0.79,0.8666666666666667,0.7666666666666666,0.8111111111111111,0.7615384615384615,0.7307692307692308,0.7769230769230769,0.7230769230769231,1.0,0.7153846153846154,0.8,0.8769230769230769,0.7384615384615385,0.7692307692307692,0.7153846153846154,0.7230769230769231,0.7538461538461538,0.825,0.7333333333333334,0.75,0.8461538461538461,0.7615384615384615
random--la431,0.7785714285714286,0.7473684210526316,0.8428571428571429,0.77,0.7666666666666666,0.775,1.0,0.8625,0.76,0.7777777777777778,0.8222222222222222,0.7666666666666666,0.7217391304347827,0.76875,0.79,0.7769230769230769,0.7153846153846154,1.0,0.8428571428571429,0.7260869565217392,0.8125,0.775,0.79375,0.7470588235294118,0.74375,0.9,0.8166666666666667,0.8416666666666667,0.7466666666666666,0.8153846153846154
