test,num_states
one-plus-o1014,441
one-plus-o219,479
one-plus-o221,125
one-plus-o320,395
one-plus-o328,323
one-plus-o335,308
one-plus-o348,58
one-plus-o349,295
one-plus-o350,424
one-plus-o356,352
one-plus-o359,415
one-plus-o368,371
random--la124,610
random--la23,503
random--la213,547
random--la240,471
random--la315,465
random--la431,620
random--la434,376
random--la510,572
random--la635,541
random--la637,510
random--la651,532
random--la656,528
random--la658,642
random--la77,51
random--la726,453
random--la734,394
random--la910,463
random--la924,450
