names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o1014,0.0,0.0,0.0,0.0,0.0,0.0,3.0,253.0,142.0,34.0,0.0,1.0,1.0,1.0,1.0,5.0
one-plus-o219,0.0,0.0,3.0,6.0,12.0,9.0,20.0,136.0,264.0,19.0,2.0,2.0,1.0,2.0,3.0,0.0
one-plus-o221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,8.0,2.0,1.0,0.0,2.0,0.0,6.0
one-plus-o320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,205.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,156.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,141.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o349,0.0,0.0,0.0,0.0,0.0,0.0,32.0,132.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,179.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la124,0.0,0.0,4.0,2.0,4.0,8.0,23.0,258.0,255.0,49.0,2.0,1.0,4.0,0.0,0.0,0.0
random--la23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la213,0.0,0.0,0.0,0.0,4.0,2.0,24.0,204.0,299.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,237.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
random--la315,0.0,0.0,0.0,0.0,0.0,4.0,12.0,224.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la431,0.0,0.0,4.0,2.0,1.0,5.0,23.0,259.0,321.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la510,0.0,0.0,0.0,0.0,0.0,0.0,8.0,292.0,219.0,44.0,2.0,1.0,1.0,3.0,2.0,0.0
random--la635,0.0,0.0,0.0,4.0,3.0,0.0,32.0,153.0,312.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la637,0.0,0.0,2.0,6.0,13.0,12.0,14.0,151.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la651,0.0,0.0,0.0,0.0,0.0,0.0,6.0,275.0,243.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la656,0.0,0.0,0.0,0.0,0.0,0.0,29.0,206.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la658,0.0,0.0,0.0,0.0,0.0,0.0,36.0,314.0,225.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la726,0.0,0.0,0.0,0.0,0.0,0.0,2.0,244.0,204.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,154.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la910,0.0,0.0,0.0,0.0,0.0,0.0,22.0,235.0,184.0,9.0,1.0,2.0,2.0,1.0,2.0,5.0
random--la924,0.0,0.0,3.0,4.0,8.0,5.0,3.0,210.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
