road,one-plus-o1011,one-plus-o212,one-plus-o217,one-plus-o219,one-plus-o232,one-plus-o239,one-plus-o39,one-plus-o313,one-plus-o357,random--la12,random--la17,random--la1014,random--la1024,random--la24,random--la211,random--la213,random--la228,random--la315,random--la43,random--la410,random--la419,random--la433,random--la52,random--la518,random--la62,random--la733,random--la819,random--la824,random--la916,random--la926
one-plus-o1011,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
one-plus-o212,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
one-plus-o217,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
one-plus-o219,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
one-plus-o232,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
one-plus-o239,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
one-plus-o39,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
one-plus-o313,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
one-plus-o357,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la12,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la17,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.8125,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
random--la1014,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la1024,0.875,0.9375,0.9375,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.8125,0.875,1.0,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.9375,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875
random--la24,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la211,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la213,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la228,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la315,0.8125,0.875,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.75,0.8125,0.9375,0.8125,0.8125,0.8125,0.8125,1.0,0.8125,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125
random--la43,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la410,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
random--la419,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
random--la433,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0
