road,one-plus-o1011,one-plus-o212,one-plus-o217,one-plus-o219,one-plus-o232,one-plus-o239,one-plus-o39,one-plus-o313,one-plus-o357,random--la12,random--la17,random--la1014,random--la1024,random--la24,random--la211,random--la213,random--la228,random--la315,random--la43,random--la410,random--la419,random--la433,random--la52,random--la518,random--la62,random--la733,random--la819,random--la824,random--la916,random--la926
one-plus-o1011,1.0,0.7692307692307692,0.7615384615384615,0.823076923076923,0.73,0.7615384615384615,0.92,0.9299999999999999,0.8545454545454545,0.7846153846153846,0.8076923076923077,0.7692307692307692,0.8307692307692307,0.7461538461538462,0.7923076923076923,0.7230769230769231,0.7538461538461538,0.7615384615384615,0.7538461538461538,0.7692307692307692,0.8153846153846154,0.7923076923076923,0.8153846153846154,0.7846153846153846,0.7384615384615385,0.7230769230769231,0.7538461538461538,0.7461538461538462,0.8200000000000001,0.7916666666666666
one-plus-o212,0.7692307692307692,1.0,0.765,0.9421052631578948,0.84,0.8285714285714285,0.75,0.76,0.7454545454545455,0.7833333333333333,0.79,0.8428571428571429,0.7684210526315789,0.7642857142857142,0.7277777777777779,0.775,0.7764705882352941,0.7230769230769231,0.7150000000000001,0.7736842105263158,0.7736842105263158,0.7526315789473684,0.7333333333333334,0.745,0.7714285714285715,0.74,0.7764705882352941,0.83,0.88,0.8166666666666667
one-plus-o217,0.7615384615384615,0.765,1.0,0.8368421052631578,0.77,0.7785714285714286,0.8,0.79,0.7818181818181819,0.75,0.7727272727272727,0.7785714285714286,0.7736842105263158,0.8428571428571429,0.7555555555555555,0.76,0.7941176470588236,0.7461538461538462,0.7272727272727273,0.8105263157894737,0.7736842105263158,0.7947368421052632,0.8,0.795,0.7571428571428571,0.72,0.7470588235294118,0.7727272727272727,0.8200000000000001,0.825
one-plus-o219,0.823076923076923,0.9421052631578948,0.8368421052631578,1.0,0.79,0.7642857142857142,0.8,0.79,0.7636363636363637,0.8222222222222222,0.8263157894736842,0.7857142857142857,0.7842105263157895,0.7857142857142857,0.7111111111111111,0.7736842105263158,0.7823529411764706,0.7692307692307692,0.7315789473684211,0.7894736842105263,0.7684210526315789,0.736842105263158,0.7333333333333334,0.7526315789473684,0.7785714285714286,0.7133333333333334,0.7470588235294118,0.7947368421052632,0.8200000000000001,0.7916666666666666
one-plus-o232,0.73,0.84,0.77,0.79,1.0,0.77,0.74,0.73,0.73,0.8200000000000001,0.78,0.79,0.74,0.77,0.79,0.77,0.81,0.73,0.75,0.71,0.77,0.84,0.75,0.75,0.74,0.73,0.78,0.76,0.74,0.79
one-plus-o239,0.7615384615384615,0.8285714285714285,0.7785714285714286,0.7642857142857142,0.77,1.0,0.78,0.79,0.7818181818181819,0.7571428571428571,0.75,0.7428571428571429,0.7714285714285715,0.8071428571428572,0.7642857142857142,0.75,0.75,0.6846153846153846,0.7857142857142857,0.7857142857142857,0.8071428571428572,0.7571428571428571,0.7642857142857142,0.75,0.7285714285714286,0.7857142857142857,0.7571428571428571,0.7714285714285715,0.79,0.7666666666666666
one-plus-o39,0.92,0.75,0.8,0.8,0.74,0.78,1.0,0.99,0.85,0.83,0.83,0.78,0.86,0.72,0.81,0.79,0.89,0.81,0.81,0.81,0.84,0.76,0.85,0.8200000000000001,0.85,0.83,0.75,0.75,0.76,0.77
one-plus-o313,0.9299999999999999,0.76,0.79,0.79,0.73,0.79,0.99,1.0,0.86,0.8200000000000001,0.84,0.79,0.87,0.72,0.81,0.78,0.88,0.8,0.8200000000000001,0.8,0.85,0.75,0.86,0.81,0.84,0.84,0.76,0.74,0.77,0.76
one-plus-o357,0.8545454545454545,0.7454545454545455,0.7818181818181819,0.7636363636363637,0.73,0.7818181818181819,0.85,0.86,1.0,0.7636363636363637,0.8181818181818181,0.8090909090909091,0.8727272727272728,0.7727272727272727,0.7727272727272727,0.7272727272727273,0.7909090909090909,0.7363636363636363,0.8090909090909091,0.7545454545454545,0.8,0.7545454545454545,0.7727272727272727,0.7727272727272727,0.8,0.7636363636363637,0.7272727272727273,0.7545454545454545,0.76,0.7454545454545455
random--la12,0.7846153846153846,0.7833333333333333,0.75,0.8222222222222222,0.8200000000000001,0.7571428571428571,0.83,0.8200000000000001,0.7636363636363637,1.0,0.7388888888888889,0.7857142857142857,0.7722222222222223,0.8071428571428572,0.7444444444444445,0.7833333333333333,0.7823529411764706,0.7461538461538462,0.8333333333333334,0.7833333333333333,0.7833333333333333,0.7888888888888889,0.7888888888888889,0.8388888888888889,0.8071428571428572,0.78,0.7352941176470589,0.7888888888888889,0.78,0.7833333333333333
