road,one-plus-o1011,one-plus-o212,one-plus-o217,one-plus-o219,one-plus-o232,one-plus-o239,one-plus-o39,one-plus-o313,one-plus-o357,random--la12,random--la17,random--la1014,random--la1024,random--la24,random--la211,random--la213,random--la228,random--la315,random--la43,random--la410,random--la419,random--la433,random--la52,random--la518,random--la62,random--la733,random--la819,random--la824,random--la916,random--la926
one-plus-o1011,1.0,0.7578125,0.734375,0.73828125,0.78515625,0.73046875,0.73828125,0.75390625,0.7578125,0.76953125,0.7265625,0.71484375,0.75390625,0.734375,0.76953125,0.76953125,0.77734375,0.71484375,0.76171875,0.69921875,0.74609375,0.7578125,0.78125,0.75,0.7109375,0.671875,0.72265625,0.734375,0.73828125,0.76171875
one-plus-o212,0.7578125,1.0,0.796875,0.74609375,0.74609375,0.76171875,0.79296875,0.79296875,0.7890625,0.75390625,0.640625,0.73828125,0.73828125,0.7578125,0.80078125,0.80078125,0.74609375,0.70703125,0.77734375,0.76953125,0.72265625,0.765625,0.8203125,0.7890625,0.765625,0.7109375,0.72265625,0.8125,0.73828125,0.77734375
one-plus-o217,0.734375,0.796875,1.0,0.72265625,0.76171875,0.75390625,0.69140625,0.72265625,0.734375,0.73046875,0.5625,0.70703125,0.68359375,0.7421875,0.78515625,0.76953125,0.73046875,0.67578125,0.74609375,0.73046875,0.69140625,0.7421875,0.796875,0.7734375,0.7421875,0.6953125,0.70703125,0.8203125,0.67578125,0.72265625
one-plus-o219,0.73828125,0.74609375,0.72265625,1.0,0.78125,0.7265625,0.734375,0.734375,0.75390625,0.7109375,0.66015625,0.765625,0.8046875,0.77734375,0.765625,0.78125,0.75,0.671875,0.7578125,0.7109375,0.75,0.76953125,0.78515625,0.78515625,0.73828125,0.69921875,0.7109375,0.71484375,0.7421875,0.6875
one-plus-o232,0.78515625,0.74609375,0.76171875,0.78125,1.0,0.8125,0.8046875,0.8046875,0.83203125,0.7734375,0.76953125,0.828125,0.796875,0.83203125,0.7734375,0.8046875,0.8203125,0.734375,0.8046875,0.765625,0.734375,0.80859375,0.80078125,0.76953125,0.79296875,0.73828125,0.734375,0.75390625,0.8203125,0.796875
one-plus-o239,0.73046875,0.76171875,0.75390625,0.7265625,0.8125,1.0,0.8203125,0.8125,0.83984375,0.78125,0.76171875,0.828125,0.7109375,0.80078125,0.765625,0.78125,0.796875,0.7421875,0.8125,0.78125,0.765625,0.73828125,0.76953125,0.76171875,0.80078125,0.75390625,0.7109375,0.71484375,0.8203125,0.7734375
one-plus-o39,0.73828125,0.79296875,0.69140625,0.734375,0.8046875,0.8203125,1.0,0.9296875,0.83984375,0.7890625,0.82421875,0.8359375,0.7578125,0.81640625,0.7890625,0.796875,0.796875,0.7578125,0.7890625,0.8046875,0.765625,0.74609375,0.75390625,0.73828125,0.82421875,0.78515625,0.734375,0.70703125,0.8515625,0.8359375
one-plus-o313,0.75390625,0.79296875,0.72265625,0.734375,0.8046875,0.8125,0.9296875,1.0,0.85546875,0.828125,0.80078125,0.859375,0.75,0.80859375,0.8203125,0.8125,0.8046875,0.7890625,0.8125,0.78125,0.8046875,0.78515625,0.77734375,0.76953125,0.84765625,0.78515625,0.765625,0.73046875,0.8671875,0.859375
one-plus-o357,0.7578125,0.7890625,0.734375,0.75390625,0.83203125,0.83984375,0.83984375,0.85546875,1.0,0.81640625,0.7734375,0.83984375,0.73828125,0.8671875,0.83984375,0.83203125,0.81640625,0.77734375,0.85546875,0.82421875,0.79296875,0.7734375,0.796875,0.78125,0.859375,0.7578125,0.82421875,0.7421875,0.91015625,0.80078125
random--la12,0.76953125,0.75390625,0.73046875,0.7109375,0.7734375,0.78125,0.7890625,0.828125,0.81640625,1.0,0.75390625,0.8203125,0.7265625,0.82421875,0.8125,0.78125,0.8359375,0.7421875,0.84375,0.7578125,0.796875,0.73828125,0.80859375,0.75390625,0.79296875,0.70703125,0.7578125,0.73046875,0.8046875,0.796875
random--la17,0.7265625,0.640625,0.5625,0.66015625,0.76953125,0.76171875,0.82421875,0.80078125,0.7734375,0.75390625,1.0,0.80859375,0.76171875,0.7421875,0.67578125,0.68359375,0.76953125,0.72265625,0.74609375,0.71484375,0.73828125,0.7265625,0.6640625,0.65625,0.7265625,0.7109375,0.71484375,0.5859375,0.85546875,0.80859375
random--la1014,0.71484375,0.73828125,0.70703125,0.765625,0.828125,0.828125,0.8359375,0.859375,0.83984375,0.8203125,0.80859375,1.0,0.7734375,0.87109375,0.7890625,0.796875,0.828125,0.765625,0.8515625,0.7890625,0.7734375,0.76171875,0.76171875,0.78515625,0.84765625,0.75390625,0.765625,0.73046875,0.84375,0.7890625
