road,one-plus-o1011,one-plus-o212,one-plus-o217,one-plus-o219,one-plus-o232,one-plus-o239,one-plus-o39,one-plus-o313,one-plus-o357,random--la12,random--la17,random--la1014,random--la1024,random--la24,random--la211,random--la213,random--la228,random--la315,random--la43,random--la410,random--la419,random--la433,random--la52,random--la518,random--la62,random--la733,random--la819,random--la824,random--la916,random--la926
one-plus-o1011,1.0,0.90234375,0.89453125,0.87109375,0.93359375,0.89453125,0.90625,0.91015625,0.921875,0.9375,0.85546875,0.9140625,0.9296875,0.91796875,0.9296875,0.92578125,0.91796875,0.89453125,0.93359375,0.92578125,0.875,0.921875,0.90625,0.90625,0.91796875,0.92578125,0.94140625,0.91015625,0.88671875,0.9140625
one-plus-o212,0.90234375,1.0,0.9296875,0.9375,0.9140625,0.9140625,0.89453125,0.8984375,0.90234375,0.91796875,0.84375,0.90234375,0.91796875,0.921875,0.91796875,0.9453125,0.890625,0.875,0.921875,0.9296875,0.90234375,0.94140625,0.93359375,0.94921875,0.90625,0.90625,0.9140625,0.9140625,0.875,0.91796875
one-plus-o217,0.89453125,0.9296875,1.0,0.9140625,0.890625,0.875,0.86328125,0.8671875,0.87109375,0.88671875,0.8125,0.87109375,0.88671875,0.890625,0.87890625,0.890625,0.859375,0.8515625,0.8984375,0.8828125,0.86328125,0.90234375,0.91796875,0.91015625,0.875,0.875,0.890625,0.9140625,0.84375,0.87109375
one-plus-o219,0.87109375,0.9375,0.9140625,1.0,0.890625,0.859375,0.84765625,0.8515625,0.86328125,0.87890625,0.796875,0.85546875,0.88671875,0.8828125,0.87109375,0.90625,0.859375,0.828125,0.8984375,0.890625,0.88671875,0.91796875,0.91796875,0.91796875,0.859375,0.8671875,0.875,0.890625,0.828125,0.87109375
one-plus-o232,0.93359375,0.9140625,0.890625,0.890625,1.0,0.8984375,0.94921875,0.953125,0.94921875,0.94140625,0.8984375,0.95703125,0.92578125,0.953125,0.94140625,0.9296875,0.9375,0.90625,0.984375,0.9375,0.87109375,0.93359375,0.92578125,0.90234375,0.953125,0.9296875,0.9296875,0.90625,0.9296875,0.94140625
one-plus-o239,0.89453125,0.9140625,0.875,0.859375,0.8984375,1.0,0.92578125,0.9296875,0.92578125,0.91796875,0.8828125,0.93359375,0.88671875,0.921875,0.92578125,0.90625,0.921875,0.90625,0.9140625,0.9296875,0.93359375,0.88671875,0.89453125,0.91796875,0.9375,0.9140625,0.9296875,0.8984375,0.9140625,0.92578125
one-plus-o39,0.90625,0.89453125,0.86328125,0.84765625,0.94921875,0.92578125,1.0,0.99609375,0.96875,0.953125,0.94921875,0.9921875,0.90625,0.96484375,0.9609375,0.93359375,0.97265625,0.94140625,0.94921875,0.95703125,0.8984375,0.90625,0.890625,0.90625,0.98828125,0.94921875,0.94921875,0.89453125,0.97265625,0.96875
one-plus-o313,0.91015625,0.8984375,0.8671875,0.8515625,0.953125,0.9296875,0.99609375,1.0,0.97265625,0.95703125,0.9453125,0.99609375,0.91015625,0.96875,0.96484375,0.9375,0.9765625,0.9453125,0.953125,0.9609375,0.90234375,0.91015625,0.89453125,0.91015625,0.9921875,0.953125,0.953125,0.8984375,0.9765625,0.97265625
one-plus-o357,0.921875,0.90234375,0.87109375,0.86328125,0.94921875,0.92578125,0.96875,0.97265625,1.0,0.96875,0.93359375,0.9765625,0.9140625,0.96484375,0.96875,0.94921875,0.96484375,0.92578125,0.94921875,0.97265625,0.90625,0.8984375,0.90625,0.921875,0.97265625,0.96484375,0.96484375,0.89453125,0.96484375,0.953125
random--la12,0.9375,0.91796875,0.88671875,0.87890625,0.94140625,0.91796875,0.953125,0.95703125,0.96875,1.0,0.91015625,0.9609375,0.9296875,0.95703125,0.96875,0.96484375,0.96484375,0.91796875,0.94921875,0.97265625,0.90625,0.9140625,0.9140625,0.9375,0.96484375,0.96484375,0.96484375,0.90234375,0.93359375,0.9453125
