road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
one-plus-o22,1.0,0.7625,0.7375,0.7928571428571428,0.74,0.8,0.73,0.77,0.7666666666666666,0.8222222222222222,0.77,0.7375,0.8,0.8214285714285714,0.8733333333333333,0.775,0.8066666666666666,0.9,0.75625,0.7,0.775,0.7166666666666667,0.78125,0.77,0.75,0.75,0.71875,0.74,0.7583333333333333,0.7214285714285714
one-plus-o227,0.7625,1.0,0.8263157894736842,0.85,0.77,0.76,0.75,0.74,0.7777777777777778,0.7666666666666666,0.77,0.7777777777777778,0.8,0.7785714285714286,0.7733333333333333,0.735,0.7066666666666667,0.95,0.7150000000000001,0.7142857142857143,0.7555555555555555,0.75,0.725,0.77,0.72,0.78,0.74,0.87,0.7833333333333333,0.8214285714285714
one-plus-o230,0.7375,0.8263157894736842,1.0,0.75,0.81,0.81,0.78,0.79,0.8,0.8444444444444444,0.8,0.7888888888888889,0.823076923076923,0.7714285714285715,0.7466666666666666,0.8052631578947369,0.7333333333333334,1.0,0.6947368421052631,0.7857142857142857,0.7055555555555555,0.7416666666666667,0.7631578947368421,0.7,0.7578947368421053,0.85,0.7473684210526316,0.85,0.75,0.8071428571428572
one-plus-o238,0.7928571428571428,0.85,0.75,1.0,0.76,0.79,0.75,0.75,0.7666666666666666,0.7444444444444445,0.77,0.7571428571428571,0.8307692307692307,0.8071428571428572,0.7285714285714286,0.7857142857142857,0.7285714285714286,0.9,0.7357142857142858,0.7642857142857142,0.75,0.75,0.7142857142857143,0.8200000000000001,0.7642857142857142,0.79,0.7714285714285715,0.77,0.8,0.8142857142857143
one-plus-o34,0.74,0.77,0.81,0.76,1.0,0.8200000000000001,0.95,0.76,0.8888888888888888,0.7777777777777778,0.87,0.79,0.79,0.76,0.85,0.8,0.77,0.9,0.83,0.6699999999999999,0.85,0.78,0.76,0.83,0.81,0.84,0.79,0.77,0.76,0.75
one-plus-o37,0.8,0.76,0.81,0.79,0.8200000000000001,1.0,0.77,0.94,0.7555555555555555,0.8666666666666667,0.79,0.8200000000000001,0.73,0.72,0.84,0.8200000000000001,0.86,0.95,0.75,0.7,0.8200000000000001,0.75,0.84,0.77,0.77,0.84,0.76,0.83,0.81,0.79
one-plus-o320,0.73,0.75,0.78,0.75,0.95,0.77,1.0,0.73,0.9444444444444444,0.7444444444444445,0.92,0.76,0.74,0.73,0.8200000000000001,0.79,0.75,0.9,0.84,0.69,0.8,0.76,0.77,0.84,0.76,0.79,0.78,0.72,0.73,0.78
one-plus-o331,0.77,0.74,0.79,0.75,0.76,0.94,0.73,1.0,0.7333333333333334,0.9333333333333333,0.77,0.77,0.73,0.74,0.86,0.84,0.8200000000000001,0.9,0.79,0.72,0.84,0.72,0.88,0.75,0.79,0.8,0.74,0.79,0.81,0.85
one-plus-o340,0.7666666666666666,0.7777777777777778,0.8,0.7666666666666666,0.8888888888888888,0.7555555555555555,0.9444444444444444,0.7333333333333334,1.0,0.8888888888888888,0.9777777777777777,0.7888888888888889,0.7222222222222222,0.7222222222222222,0.8111111111111111,0.8111111111111111,0.7777777777777778,0.95,0.8555555555555556,0.7555555555555555,0.7777777777777778,0.7222222222222222,0.7555555555555555,0.8888888888888888,0.7777777777777778,0.7333333333333334,0.7777777777777778,0.7111111111111111,0.7111111111111111,0.7666666666666666
one-plus-o344,0.8222222222222222,0.7666666666666666,0.8444444444444444,0.7444444444444445,0.7777777777777778,0.8666666666666667,0.7444444444444445,0.9333333333333333,0.8888888888888888,1.0,0.8,0.8222222222222222,0.7444444444444445,0.7333333333333334,0.8777777777777778,0.8555555555555556,0.7888888888888889,1.0,0.7666666666666666,0.8222222222222222,0.8222222222222222,0.7111111111111111,0.8666666666666667,0.8,0.8222222222222222,0.7444444444444445,0.7333333333333334,0.8222222222222222,0.7888888888888889,0.8555555555555556
