road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
one-plus-o22,1.0,0.8,0.5,0.7777777777777778,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6363636363636364,0.5454545454545454,0.5833333333333334,0.5454545454545454,0.1111111111111111,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.5454545454545454,0.5,0.45454545454545453,0.5,0.45454545454545453,0.5833333333333334,0.4166666666666667,0.5555555555555556,0.5454545454545454
one-plus-o227,0.8,1.0,0.6666666666666666,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7272727272727273,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.75,0.5833333333333334,0.2,0.5,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.75,0.5833333333333334,0.45454545454545453,0.5833333333333334
one-plus-o230,0.5,0.6666666666666666,1.0,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.75,0.5833333333333334,0.2,0.5,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,0.5,0.75,0.5833333333333334,0.45454545454545453,0.5833333333333334
one-plus-o238,0.7777777777777778,0.8,0.6363636363636364,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6,0.6,0.6,0.5454545454545454,0.6,0.6363636363636364,0.5454545454545454,0.5833333333333334,0.5454545454545454,0.1111111111111111,0.45454545454545453,0.6,0.6363636363636364,0.5454545454545454,0.5,0.45454545454545453,0.5,0.45454545454545453,0.5833333333333334,0.4166666666666667,0.4,0.5454545454545454
one-plus-o34,0.5,0.7,0.5454545454545454,0.6666666666666666,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.5,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.3333333333333333,0.125,0.36363636363636365,0.6666666666666666,0.7,0.6,0.5454545454545454,0.5,0.5454545454545454,0.6666666666666666,0.5,0.3333333333333333,0.18181818181818182,0.45454545454545453
one-plus-o37,0.5,0.7,0.5454545454545454,0.6666666666666666,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.5,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.3333333333333333,0.125,0.36363636363636365,0.6666666666666666,0.7,0.6,0.5454545454545454,0.5,0.5454545454545454,0.6666666666666666,0.5,0.3333333333333333,0.18181818181818182,0.45454545454545453
one-plus-o320,0.5,0.7,0.5454545454545454,0.5,0.75,0.75,1.0,1.0,0.875,0.875,0.875,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.3333333333333333,0.125,0.36363636363636365,0.5,0.7,0.6,0.5454545454545454,0.5,0.5454545454545454,0.6666666666666666,0.5,0.3333333333333333,0.3,0.45454545454545453
one-plus-o331,0.5,0.7,0.5454545454545454,0.5,0.75,0.75,1.0,1.0,0.875,0.875,0.875,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.3333333333333333,0.125,0.36363636363636365,0.5,0.7,0.6,0.5454545454545454,0.5,0.5454545454545454,0.6666666666666666,0.5,0.3333333333333333,0.3,0.45454545454545453
one-plus-o340,0.6,0.8,0.6363636363636364,0.6,0.6666666666666666,0.6666666666666666,0.875,0.875,1.0,1.0,1.0,0.5454545454545454,0.45454545454545453,0.5,0.5454545454545454,0.7272727272727273,0.4166666666666667,0.25,0.45454545454545453,0.6,0.6363636363636364,0.7,0.6363636363636364,0.6,0.5,0.6,0.5833333333333334,0.4166666666666667,0.4,0.5454545454545454
one-plus-o344,0.6,0.8,0.6363636363636364,0.6,0.6666666666666666,0.6666666666666666,0.875,0.875,1.0,1.0,1.0,0.5454545454545454,0.45454545454545453,0.5,0.5454545454545454,0.7272727272727273,0.4166666666666667,0.25,0.45454545454545453,0.6,0.6363636363636364,0.7,0.6363636363636364,0.6,0.5,0.6,0.5833333333333334,0.4166666666666667,0.4,0.5454545454545454
