test,num_obes
one-plus-o243,0
one-plus-o35,0
one-plus-o38,0
one-plus-o324,0
random--la19,0
random--la122,0
random--la1017,0
random--la1021,0
random--la1022,0
random--la1024,1
random--la235,0
random--la240,0
random--la314,0
random--la317,0
random--la413,0
random--la415,0
random--la423,0
random--la438,1
random--la518,0
random--la62,0
random--la66,1
random--la628,0
random--la637,0
random--la638,0
random--la660,0
random--la72,0
random--la732,0
random--la86,0
random--la88,0
random--la813,0
