road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
one-plus-o243,1.0,0.8177777777777778,0.8320987654320988,0.8666666666666667,0.8095238095238095,0.7934640522875817,0.8074074074074075,0.7725490196078432,0.8180555555555555,0.8261437908496732,0.8095238095238095,0.8957264957264958,0.7873015873015873,0.8126984126984127,0.8266666666666667,0.9666666666666667,0.797037037037037,0.8627450980392157,0.8095238095238095,0.8,0.7777777777777778,0.8288888888888889,0.837037037037037,0.8412698412698413,0.803921568627451,0.8277777777777778,0.8088888888888889,0.8209150326797385,0.7589743589743589,0.8288888888888889
one-plus-o35,0.8177777777777778,1.0,1.0,0.925,0.8444444444444444,0.8266666666666667,0.8533333333333333,0.8444444444444444,0.8711111111111112,0.9022222222222223,0.8622222222222222,0.8622222222222222,0.8822222222222222,0.8577777777777778,0.8244444444444445,0.9333333333333333,0.7955555555555556,0.8533333333333333,0.8222222222222222,0.86,0.9,0.8822222222222222,0.8533333333333333,0.8177777777777777,0.8400000000000001,0.7977777777777778,0.8688888888888889,0.8111111111111111,0.8488888888888889,0.9022222222222223
one-plus-o38,0.8320987654320988,1.0,1.0,0.9333333333333333,0.8864197530864197,0.8518518518518519,0.837037037037037,0.8345679012345679,0.8617283950617284,0.891358024691358,0.8617283950617284,0.8839506172839506,0.8839506172839506,0.8864197530864197,0.8098765432098766,0.9333333333333333,0.8246913580246914,0.8469135802469137,0.8246913580246914,0.8666666666666667,0.8888888888888888,0.8691358024691358,0.8987654320987655,0.8296296296296296,0.8222222222222222,0.7876543209876543,0.8691358024691358,0.8271604938271605,0.837037037037037,0.891358024691358
one-plus-o324,0.8666666666666667,0.925,0.9333333333333333,1.0,0.8638888888888889,0.8444444444444444,0.8083333333333333,0.788888888888889,0.9027777777777778,0.8833333333333333,0.8444444444444444,0.875,0.8111111111111111,0.8388888888888889,0.8166666666666667,0.9333333333333333,0.8444444444444444,0.8194444444444444,0.8861111111111111,0.8416666666666667,0.8277777777777778,0.8333333333333334,0.8583333333333334,0.8416666666666667,0.85,0.8555555555555556,0.8111111111111111,0.8833333333333333,0.8194444444444444,0.8194444444444444
random--la19,0.8095238095238095,0.8444444444444444,0.8864197530864197,0.8638888888888889,1.0,0.8523809523809525,0.8,0.7984126984126985,0.8793650793650793,0.8412698412698413,0.8206349206349206,0.7965811965811966,0.8015873015873016,0.7984126984126985,0.7857142857142857,0.9333333333333333,0.7968253968253969,0.8142857142857143,0.8301587301587302,0.7965811965811966,0.8111111111111111,0.8333333333333334,0.8492063492063493,0.8111111111111111,0.8047619047619048,0.8092592592592592,0.7977777777777778,0.7936507936507936,0.7846153846153846,0.8533333333333333
random--la122,0.7934640522875817,0.8266666666666667,0.8518518518518519,0.8444444444444444,0.8523809523809525,1.0,0.8722222222222222,0.8123456790123457,0.8652777777777778,0.8123456790123457,0.8095238095238095,0.8205128205128205,0.8555555555555556,0.8174603174603174,0.8207407407407408,0.9666666666666667,0.7955555555555556,0.7950617283950617,0.8253968253968254,0.8205128205128205,0.8592592592592593,0.888888888888889,0.8207407407407408,0.8174603174603174,0.8104575163398693,0.8129629629629629,0.8422222222222222,0.7925925925925926,0.8170940170940171,0.8355555555555556
random--la1017,0.8074074074074075,0.8533333333333333,0.837037037037037,0.8083333333333333,0.8,0.8722222222222222,1.0,0.8296296296296296,0.8407407407407408,0.8185185185185185,0.8462962962962963,0.8351851851851853,0.8481481481481482,0.7907407407407407,0.7999999999999999,0.9666666666666667,0.8222222222222222,0.8296296296296296,0.7925925925925926,0.8425925925925926,0.8870370370370371,0.8066666666666666,0.8314814814814815,0.8092592592592592,0.7944444444444444,0.8037037037037037,0.8177777777777778,0.812962962962963,0.7611111111111112,0.8355555555555556
random--la1021,0.7725490196078432,0.8444444444444444,0.8345679012345679,0.788888888888889,0.7984126984126985,0.8123456790123456,0.8296296296296296,1.0,0.7902777777777777,0.7975308641975308,0.7746031746031746,0.8034188034188035,0.8269841269841269,0.8031746031746032,0.7466666666666667,0.9333333333333333,0.7392592592592593,0.7654320987654322,0.7888888888888889,0.7965811965811966,0.8061728395061728,0.8333333333333334,0.7792592592592592,0.8,0.8601307189542484,0.825925925925926,0.8066666666666666,0.7604938271604937,0.7897435897435897,0.8133333333333334
random--la1022,0.8180555555555555,0.8711111111111112,0.8617283950617284,0.9027777777777778,0.8793650793650793,0.8652777777777778,0.8407407407407408,0.7902777777777777,1.0,0.8555555555555556,0.8095238095238095,0.811965811965812,0.8428571428571429,0.8380952380952381,0.8118518518518518,0.9666666666666667,0.8074074074074074,0.8236111111111111,0.8587301587301588,0.8034188034188035,0.8458333333333333,0.8644444444444445,0.8251851851851852,0.8301587301587301,0.7652777777777777,0.85,0.8422222222222222,0.7902777777777777,0.7982905982905983,0.8977777777777778
random--la1024,0.8261437908496732,0.9022222222222223,0.891358024691358,0.8833333333333333,0.8412698412698413,0.8123456790123457,0.8185185185185185,0.7975308641975308,0.8555555555555556,1.0,0.8650793650793651,0.8495726495726496,0.8317460317460318,0.7936507936507936,0.8118518518518518,0.9333333333333333,0.797037037037037,0.837037037037037,0.8047619047619048,0.8495726495726497,0.8148148148148148,0.8577777777777778,0.8444444444444444,0.8126984126984127,0.7699346405228759,0.8018518518518519,0.8244444444444445,0.8098765432098765,0.8324786324786325,0.8711111111111112
random--la235,0.8095238095238095,0.8622222222222222,0.8617283950617284,0.8444444444444444,0.8206349206349206,0.8095238095238095,0.8462962962962963,0.7746031746031746,0.8095238095238095,0.8650793650793651,1.0,0.8188034188034188,0.8317460317460318,0.7873015873015873,0.7968253968253969,0.9666666666666667,0.807936507936508,0.8857142857142857,0.780952380952381,0.8290598290598291,0.8222222222222222,0.8622222222222222,0.8111111111111111,0.8031746031746032,0.8158730158730159,0.7759259259259259,0.8444444444444444,0.7904761904761904,0.8547008547008548,0.8577777777777778
random--la240,0.8957264957264958,0.8622222222222222,0.8839506172839506,0.875,0.7965811965811966,0.8205128205128205,0.8351851851851853,0.8034188034188035,0.811965811965812,0.8495726495726496,0.8188034188034188,1.0,0.8307692307692308,0.8170940170940171,0.7880341880341881,0.9666666666666667,0.8017094017094017,0.7914529914529915,0.8085470085470086,0.8188034188034188,0.8529914529914531,0.8377777777777777,0.8632478632478633,0.8170940170940171,0.8290598290598291,0.7814814814814816,0.8555555555555556,0.8393162393162393,0.7726495726495727,0.8488888888888889
random--la314,0.7873015873015873,0.8822222222222222,0.8839506172839506,0.8111111111111111,0.8015873015873016,0.8555555555555556,0.8481481481481482,0.8269841269841269,0.8428571428571429,0.8317460317460318,0.8317460317460318,0.8307692307692308,1.0,0.8253968253968254,0.8126984126984127,1.0,0.7857142857142857,0.7873015873015873,0.8031746031746032,0.8341880341880342,0.9142857142857143,0.8644444444444445,0.7968253968253968,0.7968253968253969,0.8793650793650793,0.8037037037037037,0.8577777777777778,0.7952380952380952,0.8547008547008548,0.8733333333333333
