road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
one-plus-o243,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
one-plus-o35,0.875,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.8125,0.875,0.875,0.875,0.8125,0.875,0.9375
one-plus-o38,0.875,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.8125,0.875,0.875,0.875,0.8125,0.875,0.9375
one-plus-o324,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la19,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la122,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la1017,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la1021,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la1022,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la1024,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la235,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la240,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la314,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la317,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la413,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la415,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5625,0.5,0.5,0.5,0.4375,0.5,0.4375
random--la423,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la438,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
random--la518,1.0,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375
