road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
one-plus-o243,1.0,0.85546875,0.8515625,0.875,0.87890625,0.89453125,0.88671875,0.91015625,0.91015625,0.88671875,0.92578125,0.8828125,0.9140625,0.890625,0.86328125,0.8359375,0.90625,0.890625,0.91796875,0.8671875,0.8671875,0.87890625,0.90625,0.859375,0.8828125,0.8984375,0.8984375,0.921875,0.87890625,0.88671875
one-plus-o35,0.85546875,1.0,0.99609375,0.97265625,0.953125,0.9140625,0.9453125,0.9140625,0.90625,0.90625,0.921875,0.94921875,0.88671875,0.92578125,0.8984375,0.95703125,0.93359375,0.89453125,0.90625,0.98828125,0.85546875,0.9765625,0.92578125,0.98828125,0.93359375,0.91015625,0.91015625,0.89453125,0.9375,0.921875
one-plus-o38,0.8515625,0.99609375,1.0,0.96875,0.94921875,0.91015625,0.94140625,0.91015625,0.90234375,0.90234375,0.91796875,0.9453125,0.8828125,0.921875,0.89453125,0.953125,0.9296875,0.890625,0.90234375,0.984375,0.8515625,0.97265625,0.921875,0.984375,0.9296875,0.90625,0.90625,0.890625,0.93359375,0.91796875
one-plus-o324,0.875,0.97265625,0.96875,1.0,0.95703125,0.91796875,0.94140625,0.92578125,0.92578125,0.93359375,0.94140625,0.9453125,0.90625,0.921875,0.88671875,0.953125,0.9296875,0.90625,0.92578125,0.984375,0.875,0.96484375,0.9140625,0.96875,0.9375,0.90625,0.90625,0.90625,0.94140625,0.92578125
random--la19,0.87890625,0.953125,0.94921875,0.95703125,1.0,0.90625,0.953125,0.921875,0.9140625,0.9140625,0.921875,0.96484375,0.90234375,0.91015625,0.8828125,0.93359375,0.91015625,0.92578125,0.921875,0.95703125,0.87890625,0.9453125,0.90234375,0.94921875,0.92578125,0.90234375,0.90234375,0.92578125,0.9296875,0.90625
random--la122,0.89453125,0.9140625,0.91015625,0.91796875,0.90625,1.0,0.9140625,0.9453125,0.8984375,0.9375,0.9453125,0.91796875,0.92578125,0.95703125,0.90625,0.88671875,0.94140625,0.91015625,0.921875,0.92578125,0.85546875,0.9296875,0.95703125,0.91015625,0.94140625,0.91796875,0.92578125,0.91796875,0.921875,0.9375
random--la1017,0.88671875,0.9453125,0.94140625,0.94140625,0.953125,0.9140625,1.0,0.9296875,0.9140625,0.9140625,0.9296875,0.96484375,0.90234375,0.91796875,0.8984375,0.90234375,0.91796875,0.90234375,0.9375,0.94921875,0.87890625,0.9609375,0.91796875,0.94140625,0.91796875,0.93359375,0.91015625,0.92578125,0.9375,0.90625
random--la1021,0.91015625,0.9140625,0.91015625,0.92578125,0.921875,0.9453125,0.9296875,1.0,0.90625,0.9375,0.96875,0.91796875,0.94921875,0.94140625,0.8828125,0.88671875,0.94921875,0.91015625,0.921875,0.92578125,0.86328125,0.9296875,0.94921875,0.91015625,0.91796875,0.91796875,0.94140625,0.94921875,0.921875,0.9296875
random--la1022,0.91015625,0.90625,0.90234375,0.92578125,0.9140625,0.8984375,0.9140625,0.90625,1.0,0.8984375,0.9140625,0.91015625,0.87890625,0.88671875,0.8828125,0.89453125,0.87890625,0.87109375,0.9375,0.91796875,0.88671875,0.921875,0.87890625,0.90234375,0.89453125,0.93359375,0.87890625,0.89453125,0.90625,0.8828125
random--la1024,0.88671875,0.90625,0.90234375,0.93359375,0.9140625,0.9375,0.9140625,0.9375,0.8984375,1.0,0.9453125,0.91796875,0.93359375,0.92578125,0.875,0.89453125,0.92578125,0.92578125,0.9140625,0.91796875,0.86328125,0.921875,0.92578125,0.90234375,0.91796875,0.90234375,0.91796875,0.91796875,0.921875,0.9296875
random--la235,0.92578125,0.921875,0.91796875,0.94140625,0.921875,0.9453125,0.9296875,0.96875,0.9140625,0.9453125,1.0,0.92578125,0.95703125,0.93359375,0.875,0.89453125,0.96484375,0.91796875,0.9296875,0.93359375,0.86328125,0.9375,0.96484375,0.91796875,0.92578125,0.91796875,0.94921875,0.94921875,0.921875,0.9375
random--la240,0.8828125,0.94921875,0.9453125,0.9453125,0.96484375,0.91796875,0.96484375,0.91796875,0.91015625,0.91796875,0.92578125,1.0,0.8984375,0.921875,0.87109375,0.921875,0.90625,0.9140625,0.92578125,0.953125,0.8828125,0.94921875,0.9140625,0.9453125,0.9140625,0.921875,0.90625,0.9140625,0.93359375,0.91796875
random--la314,0.9140625,0.88671875,0.8828125,0.90625,0.90234375,0.92578125,0.90234375,0.94921875,0.87890625,0.93359375,0.95703125,0.8984375,1.0,0.9375,0.87109375,0.875,0.953125,0.921875,0.90234375,0.8984375,0.8515625,0.90234375,0.953125,0.890625,0.8984375,0.8984375,0.9609375,0.953125,0.92578125,0.94921875
random--la317,0.890625,0.92578125,0.921875,0.921875,0.91015625,0.95703125,0.91796875,0.94140625,0.88671875,0.92578125,0.93359375,0.921875,0.9375,1.0,0.89453125,0.8984375,0.9453125,0.9140625,0.90234375,0.9375,0.8515625,0.94140625,0.953125,0.9375,0.9375,0.90625,0.953125,0.921875,0.95703125,0.94921875
random--la413,0.86328125,0.8984375,0.89453125,0.88671875,0.8828125,0.90625,0.8984375,0.8828125,0.8828125,0.875,0.875,0.87109375,0.87109375,0.89453125,1.0,0.85546875,0.90234375,0.86328125,0.8828125,0.90234375,0.82421875,0.9140625,0.90234375,0.89453125,0.89453125,0.89453125,0.88671875,0.86328125,0.890625,0.8828125
random--la415,0.8359375,0.95703125,0.953125,0.953125,0.93359375,0.88671875,0.90234375,0.88671875,0.89453125,0.89453125,0.89453125,0.921875,0.875,0.8984375,0.85546875,1.0,0.8984375,0.890625,0.87890625,0.953125,0.859375,0.94140625,0.890625,0.9453125,0.921875,0.8671875,0.8828125,0.875,0.93359375,0.90234375
