test,num_states
one-plus-o23,756
one-plus-o211,495
one-plus-o212,543
one-plus-o213,428
one-plus-o216,576
one-plus-o220,653
one-plus-o222,599
one-plus-o223,606
one-plus-o225,598
one-plus-o226,786
one-plus-o227,599
one-plus-o228,597
one-plus-o243,526
one-plus-o356,352
random--la102,745
random--la1020,496
random--la1024,180
random--la26,686
random--la218,553
random--la223,414
random--la47,399
random--la412,385
random--la431,620
random--la526,497
random--la66,360
random--la631,522
random--la638,428
random--la76,548
random--la86,555
random--la87,666
