names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o23,0.0,2.0,12.0,38.0,38.0,68.0,24.0,78.0,71.0,108.0,86.0,70.0,127.0,34.0,0.0,0.0
one-plus-o211,0.0,0.0,8.0,34.0,39.0,26.0,16.0,17.0,116.0,69.0,57.0,104.0,4.0,5.0,0.0,0.0
one-plus-o212,0.0,0.0,5.0,40.0,35.0,36.0,31.0,26.0,85.0,65.0,42.0,65.0,95.0,18.0,0.0,0.0
one-plus-o213,0.0,0.0,5.0,40.0,50.0,23.0,16.0,43.0,100.0,56.0,6.0,6.0,81.0,2.0,0.0,0.0
one-plus-o216,0.0,0.0,13.0,33.0,32.0,19.0,25.0,50.0,49.0,86.0,55.0,50.0,89.0,75.0,0.0,0.0
one-plus-o220,0.0,0.0,3.0,36.0,38.0,23.0,19.0,21.0,102.0,59.0,49.0,42.0,157.0,104.0,0.0,0.0
one-plus-o222,0.0,0.0,8.0,37.0,26.0,27.0,26.0,21.0,102.0,70.0,58.0,48.0,87.0,89.0,0.0,0.0
one-plus-o223,0.0,1.0,14.0,28.0,34.0,24.0,20.0,49.0,49.0,104.0,57.0,54.0,97.0,75.0,0.0,0.0
one-plus-o225,0.0,0.0,10.0,34.0,29.0,24.0,24.0,23.0,107.0,68.0,50.0,54.0,87.0,88.0,0.0,0.0
one-plus-o226,0.0,2.0,14.0,38.0,42.0,31.0,24.0,75.0,63.0,121.0,77.0,64.0,128.0,107.0,0.0,0.0
one-plus-o227,0.0,0.0,8.0,33.0,34.0,22.0,26.0,21.0,112.0,61.0,55.0,51.0,88.0,88.0,0.0,0.0
one-plus-o228,1.0,0.0,4.0,34.0,35.0,24.0,20.0,21.0,106.0,70.0,56.0,47.0,89.0,90.0,0.0,0.0
one-plus-o243,0.0,0.0,11.0,26.0,37.0,27.0,51.0,26.0,27.0,19.0,90.0,90.0,87.0,35.0,0.0,0.0
one-plus-o356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,167.0,7.0,5.0,146.0,0.0,0.0
random--la102,0.0,0.0,6.0,15.0,21.0,25.0,57.0,41.0,21.0,92.0,63.0,113.0,176.0,115.0,0.0,0.0
random--la1020,2.0,0.0,0.0,0.0,9.0,29.0,32.0,39.0,48.0,48.0,84.0,59.0,3.0,143.0,0.0,0.0
random--la1024,1.0,0.0,0.0,15.0,18.0,9.0,25.0,11.0,15.0,13.0,15.0,23.0,4.0,31.0,0.0,0.0
random--la26,0.0,0.0,2.0,13.0,6.0,46.0,120.0,59.0,91.0,73.0,19.0,152.0,86.0,19.0,0.0,0.0
random--la218,0.0,0.0,3.0,11.0,9.0,48.0,77.0,50.0,80.0,54.0,78.0,72.0,65.0,6.0,0.0,0.0
random--la223,0.0,0.0,0.0,0.0,0.0,19.0,6.0,60.0,40.0,35.0,10.0,115.0,37.0,92.0,0.0,0.0
random--la47,1.0,0.0,0.0,0.0,9.0,4.0,6.0,12.0,25.0,56.0,65.0,16.0,189.0,16.0,0.0,0.0
random--la412,1.0,0.0,0.0,0.0,0.0,30.0,51.0,21.0,11.0,16.0,11.0,155.0,43.0,46.0,0.0,0.0
random--la431,0.0,0.0,2.0,11.0,8.0,28.0,21.0,19.0,60.0,116.0,91.0,56.0,76.0,132.0,0.0,0.0
random--la526,1.0,0.0,0.0,6.0,7.0,38.0,36.0,69.0,38.0,11.0,39.0,71.0,81.0,100.0,0.0,0.0
random--la66,1.0,0.0,6.0,13.0,24.0,45.0,52.0,20.0,23.0,22.0,85.0,61.0,8.0,0.0,0.0,0.0
random--la631,1.0,0.0,0.0,13.0,24.0,42.0,19.0,20.0,63.0,7.0,26.0,13.0,101.0,193.0,0.0,0.0
random--la638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,63.0,44.0,31.0,109.0,131.0,28.0,0.0,0.0
random--la76,0.0,0.0,0.0,6.0,7.0,36.0,14.0,46.0,29.0,44.0,24.0,97.0,100.0,145.0,0.0,0.0
random--la86,11.0,3.0,3.0,19.0,17.0,26.0,29.0,71.0,51.0,47.0,53.0,20.0,45.0,160.0,0.0,0.0
random--la87,13.0,2.0,2.0,2.0,5.0,15.0,57.0,52.0,148.0,88.0,73.0,118.0,49.0,42.0,0.0,0.0
