names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o23,129.0,33.0,58.0,40.0,29.0,20.0,15.0,38.0,70.0,44.0,50.0,46.0,30.0,25.0,90.0,39.0
one-plus-o211,51.0,64.0,9.0,41.0,45.0,18.0,14.0,22.0,30.0,12.0,2.0,22.0,21.0,49.0,35.0,60.0
one-plus-o212,49.0,62.0,13.0,27.0,36.0,49.0,34.0,40.0,40.0,11.0,5.0,18.0,20.0,35.0,37.0,67.0
one-plus-o213,62.0,61.0,13.0,6.0,18.0,30.0,28.0,23.0,21.0,5.0,3.0,9.0,4.0,38.0,58.0,49.0
one-plus-o216,49.0,39.0,56.0,24.0,20.0,32.0,33.0,32.0,30.0,31.0,44.0,49.0,21.0,14.0,56.0,46.0
one-plus-o220,67.0,57.0,12.0,65.0,58.0,43.0,43.0,18.0,30.0,52.0,37.0,29.0,10.0,42.0,42.0,48.0
one-plus-o222,59.0,60.0,4.0,18.0,34.0,37.0,33.0,17.0,42.0,46.0,52.0,14.0,30.0,49.0,58.0,46.0
one-plus-o223,51.0,55.0,78.0,27.0,14.0,37.0,37.0,41.0,24.0,33.0,36.0,46.0,22.0,11.0,44.0,50.0
one-plus-o225,60.0,59.0,1.0,21.0,31.0,41.0,25.0,25.0,45.0,48.0,42.0,20.0,20.0,51.0,64.0,45.0
one-plus-o226,72.0,67.0,77.0,34.0,31.0,41.0,47.0,45.0,57.0,45.0,45.0,55.0,30.0,19.0,72.0,49.0
one-plus-o227,58.0,60.0,2.0,22.0,32.0,31.0,38.0,17.0,46.0,50.0,44.0,19.0,24.0,48.0,61.0,47.0
one-plus-o228,55.0,55.0,4.0,19.0,36.0,39.0,30.0,26.0,38.0,46.0,37.0,29.0,16.0,50.0,68.0,49.0
one-plus-o243,37.0,28.0,9.0,20.0,44.0,41.0,48.0,36.0,28.0,23.0,30.0,56.0,38.0,7.0,11.0,70.0
one-plus-o356,0.0,0.0,11.0,40.0,34.0,40.0,20.0,25.0,26.0,11.0,19.0,63.0,42.0,13.0,8.0,0.0
random--la102,66.0,25.0,35.0,16.0,34.0,74.0,62.0,52.0,38.0,49.0,78.0,70.0,56.0,41.0,8.0,41.0
random--la1020,43.0,29.0,20.0,32.0,23.0,26.0,25.0,35.0,33.0,33.0,49.0,18.0,55.0,32.0,18.0,25.0
random--la1024,28.0,8.0,2.0,3.0,1.0,1.0,2.0,7.0,26.0,22.0,18.0,8.0,5.0,5.0,6.0,38.0
random--la26,54.0,98.0,46.0,28.0,21.0,28.0,39.0,33.0,28.0,21.0,33.0,44.0,41.0,45.0,21.0,106.0
random--la218,75.0,50.0,9.0,22.0,15.0,25.0,27.0,37.0,22.0,20.0,26.0,61.0,36.0,32.0,37.0,59.0
random--la223,4.0,2.0,2.0,20.0,49.0,51.0,60.0,37.0,27.0,12.0,9.0,9.0,2.0,25.0,83.0,22.0
random--la47,11.0,4.0,10.0,18.0,29.0,50.0,45.0,37.0,12.0,27.0,33.0,33.0,52.0,33.0,5.0,0.0
random--la412,42.0,7.0,1.0,30.0,28.0,24.0,26.0,16.0,19.0,30.0,41.0,45.0,6.0,15.0,15.0,40.0
random--la431,72.0,37.0,17.0,35.0,33.0,37.0,22.0,32.0,37.0,40.0,30.0,17.0,24.0,82.0,71.0,34.0
random--la526,74.0,12.0,7.0,25.0,26.0,15.0,12.0,15.0,46.0,72.0,80.0,28.0,4.0,5.0,66.0,10.0
random--la66,60.0,18.0,33.0,43.0,7.0,2.0,4.0,4.0,20.0,9.0,19.0,27.0,22.0,11.0,11.0,70.0
random--la631,42.0,71.0,8.0,9.0,5.0,25.0,21.0,29.0,51.0,73.0,77.0,35.0,7.0,10.0,8.0,51.0
random--la638,0.0,39.0,8.0,24.0,31.0,36.0,22.0,26.0,36.0,19.0,38.0,59.0,18.0,29.0,38.0,5.0
random--la76,55.0,9.0,1.0,15.0,30.0,32.0,61.0,29.0,31.0,72.0,75.0,55.0,23.0,12.0,45.0,3.0
random--la86,33.0,42.0,5.0,0.0,8.0,35.0,59.0,43.0,70.0,31.0,31.0,17.0,44.0,28.0,52.0,57.0
random--la87,34.0,105.0,14.0,53.0,42.0,20.0,18.0,26.0,71.0,25.0,21.0,29.0,28.0,83.0,49.0,48.0
