road,one-plus-o23,one-plus-o211,one-plus-o212,one-plus-o213,one-plus-o216,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o227,one-plus-o228,one-plus-o243,one-plus-o356,random--la102,random--la1020,random--la1024,random--la26,random--la218,random--la223,random--la47,random--la412,random--la431,random--la526,random--la66,random--la631,random--la638,random--la76,random--la86,random--la87
one-plus-o23,1.0,0.8046875,0.8046875,0.7734375,0.828125,0.7890625,0.80859375,0.8359375,0.8125,0.84375,0.7890625,0.79296875,0.75,0.6953125,0.80078125,0.796875,0.74609375,0.8046875,0.80078125,0.73828125,0.73828125,0.7578125,0.76171875,0.79296875,0.7421875,0.68359375,0.796875,0.82421875,0.78515625,0.78125
one-plus-o211,0.8046875,1.0,0.8125,0.78125,0.7890625,0.75,0.82421875,0.7421875,0.828125,0.734375,0.8203125,0.80078125,0.75,0.703125,0.74609375,0.7578125,0.76953125,0.734375,0.76953125,0.76171875,0.75390625,0.734375,0.73046875,0.76171875,0.765625,0.68359375,0.765625,0.75390625,0.74609375,0.75
one-plus-o212,0.8046875,0.8125,1.0,0.78125,0.8125,0.7578125,0.76953125,0.7890625,0.7890625,0.7734375,0.75,0.76171875,0.7890625,0.7265625,0.79296875,0.765625,0.73828125,0.7734375,0.80859375,0.80078125,0.80078125,0.71875,0.74609375,0.73828125,0.75,0.69921875,0.765625,0.76171875,0.77734375,0.7890625
one-plus-o213,0.7734375,0.78125,0.78125,1.0,0.7421875,0.7421875,0.76953125,0.71875,0.75,0.734375,0.75,0.73046875,0.7578125,0.6796875,0.71484375,0.703125,0.72265625,0.7578125,0.79296875,0.73828125,0.75390625,0.703125,0.68359375,0.73828125,0.7265625,0.72265625,0.7109375,0.72265625,0.74609375,0.703125
one-plus-o216,0.828125,0.7890625,0.8125,0.7421875,1.0,0.7421875,0.71484375,0.828125,0.765625,0.8515625,0.703125,0.73046875,0.7578125,0.6953125,0.80078125,0.765625,0.67578125,0.7890625,0.81640625,0.76953125,0.74609375,0.7109375,0.70703125,0.73828125,0.7109375,0.66015625,0.75,0.77734375,0.77734375,0.734375
one-plus-o220,0.7890625,0.75,0.7578125,0.7421875,0.7421875,1.0,0.78515625,0.7109375,0.796875,0.765625,0.7734375,0.79296875,0.6796875,0.6484375,0.75390625,0.75,0.71484375,0.75,0.79296875,0.70703125,0.69921875,0.734375,0.81640625,0.73828125,0.6953125,0.68359375,0.734375,0.75390625,0.74609375,0.765625
one-plus-o222,0.80859375,0.82421875,0.76953125,0.76953125,0.71484375,0.78515625,1.0,0.73046875,0.87890625,0.75390625,0.89453125,0.8203125,0.76171875,0.73046875,0.7109375,0.74609375,0.796875,0.73828125,0.78125,0.7109375,0.703125,0.75390625,0.75,0.7734375,0.75390625,0.7109375,0.76953125,0.734375,0.734375,0.79296875
one-plus-o223,0.8359375,0.7421875,0.7890625,0.71875,0.828125,0.7109375,0.73046875,1.0,0.7421875,0.8125,0.7265625,0.73828125,0.78125,0.671875,0.74609375,0.75,0.69140625,0.75,0.77734375,0.72265625,0.72265625,0.703125,0.69140625,0.70703125,0.6953125,0.62890625,0.7265625,0.76171875,0.76171875,0.75
one-plus-o225,0.8125,0.828125,0.7890625,0.75,0.765625,0.796875,0.87890625,0.7421875,1.0,0.7734375,0.8671875,0.84765625,0.7578125,0.7109375,0.75390625,0.75,0.77734375,0.7265625,0.76953125,0.73828125,0.71484375,0.75,0.79296875,0.76953125,0.7265625,0.72265625,0.75,0.75390625,0.77734375,0.7734375
one-plus-o226,0.84375,0.734375,0.7734375,0.734375,0.8515625,0.765625,0.75390625,0.8125,0.7734375,1.0,0.765625,0.76171875,0.7734375,0.6796875,0.82421875,0.765625,0.69921875,0.7734375,0.81640625,0.73046875,0.73046875,0.703125,0.74609375,0.72265625,0.6953125,0.67578125,0.7265625,0.78515625,0.77734375,0.7734375
one-plus-o227,0.7890625,0.8203125,0.75,0.75,0.703125,0.7734375,0.89453125,0.7265625,0.8671875,0.765625,1.0,0.84765625,0.75,0.7265625,0.73828125,0.71875,0.79296875,0.703125,0.78515625,0.69921875,0.72265625,0.75,0.74609375,0.76953125,0.734375,0.69921875,0.7578125,0.73828125,0.73046875,0.7734375
one-plus-o228,0.79296875,0.80078125,0.76171875,0.73046875,0.73046875,0.79296875,0.8203125,0.73828125,0.84765625,0.76171875,0.84765625,1.0,0.72265625,0.69140625,0.734375,0.74609375,0.7421875,0.70703125,0.765625,0.7265625,0.7421875,0.75390625,0.7578125,0.75,0.73046875,0.7421875,0.75390625,0.7578125,0.75,0.77734375
one-plus-o243,0.75,0.75,0.7890625,0.7578125,0.7578125,0.6796875,0.76171875,0.78125,0.7578125,0.7734375,0.75,0.72265625,1.0,0.703125,0.77734375,0.734375,0.70703125,0.7734375,0.79296875,0.73046875,0.74609375,0.703125,0.69921875,0.71484375,0.703125,0.69140625,0.7421875,0.73828125,0.76953125,0.7265625
one-plus-o356,0.6953125,0.703125,0.7265625,0.6796875,0.6953125,0.6484375,0.73046875,0.671875,0.7109375,0.6796875,0.7265625,0.69140625,0.703125,1.0,0.70703125,0.7734375,0.76171875,0.6875,0.71484375,0.83203125,0.81640625,0.8125,0.69140625,0.77734375,0.7109375,0.71484375,0.828125,0.76171875,0.71484375,0.7265625
random--la102,0.80078125,0.74609375,0.79296875,0.71484375,0.80078125,0.75390625,0.7109375,0.74609375,0.75390625,0.82421875,0.73828125,0.734375,0.77734375,0.70703125,1.0,0.79296875,0.6875,0.79296875,0.8125,0.734375,0.75,0.72265625,0.734375,0.7421875,0.74609375,0.703125,0.74609375,0.8125,0.765625,0.76953125
