road,random--la17,random--la19,random--la107,random--la1010,random--la1014,random--la24,random--la218,random--la219,random--la223,random--la231,random--la33,random--la42,random--la43,random--la412,random--la413,random--la423,random--la427,random--la431,random--la435,random--la54,random--la623,random--la74,random--la712,random--la729,random--la731,random--la86,random--la87,random--la828,random--la910,random--la924
random--la17,1.0,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.75,0.9375,0.9375,0.5,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375
random--la19,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
random--la107,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
random--la1010,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
random--la1014,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la24,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la218,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la219,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
random--la223,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la231,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
random--la33,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la42,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la43,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la412,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0.8125,1.0,1.0,0.4375,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0
random--la413,0.875,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.9375,0.5,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375
