road,random--la17,random--la19,random--la107,random--la1010,random--la1014,random--la24,random--la218,random--la219,random--la223,random--la231,random--la33,random--la42,random--la43,random--la412,random--la413,random--la423,random--la427,random--la431,random--la435,random--la54,random--la623,random--la74,random--la712,random--la729,random--la731,random--la86,random--la87,random--la828,random--la910,random--la924
random--la17,1.0,0.90234375,0.859375,0.8671875,0.94140625,0.9140625,0.875,0.859375,0.9296875,0.890625,0.91015625,0.859375,0.8984375,0.9296875,0.84765625,0.8828125,0.91015625,0.875,0.9140625,0.85546875,0.90234375,0.92578125,0.87890625,0.87890625,0.8671875,0.84375,0.89453125,0.87890625,0.875,0.8984375
random--la19,0.90234375,1.0,0.89453125,0.95703125,0.953125,0.93359375,0.90234375,0.89453125,0.95703125,0.91796875,0.9453125,0.91015625,0.92578125,0.94140625,0.8828125,0.91015625,0.9609375,0.91015625,0.92578125,0.90625,0.953125,0.953125,0.90625,0.9140625,0.92578125,0.92578125,0.9453125,0.9609375,0.92578125,0.90234375
random--la107,0.859375,0.89453125,1.0,0.921875,0.90234375,0.9140625,0.921875,0.890625,0.90625,0.9140625,0.89453125,0.921875,0.90625,0.8984375,0.87109375,0.90625,0.92578125,0.90625,0.90625,0.89453125,0.92578125,0.91796875,0.87109375,0.89453125,0.90625,0.8984375,0.91015625,0.90234375,0.890625,0.9140625
random--la1010,0.8671875,0.95703125,0.921875,1.0,0.92578125,0.921875,0.90625,0.890625,0.9296875,0.9140625,0.93359375,0.9140625,0.9140625,0.921875,0.90234375,0.8984375,0.94140625,0.9140625,0.9140625,0.90234375,0.94140625,0.94140625,0.89453125,0.91796875,0.921875,0.921875,0.94921875,0.94921875,0.9375,0.8984375
random--la1014,0.94140625,0.953125,0.90234375,0.92578125,1.0,0.97265625,0.93359375,0.88671875,0.98046875,0.94921875,0.96875,0.91796875,0.95703125,0.97265625,0.90625,0.94140625,0.96875,0.93359375,0.95703125,0.9140625,0.9609375,0.984375,0.9375,0.9375,0.92578125,0.90234375,0.953125,0.9375,0.91796875,0.93359375
random--la24,0.9140625,0.93359375,0.9140625,0.921875,0.97265625,1.0,0.953125,0.890625,0.9609375,0.953125,0.96484375,0.9296875,0.9609375,0.953125,0.91796875,0.9453125,0.95703125,0.9375,0.9609375,0.90234375,0.94921875,0.96484375,0.91796875,0.94140625,0.953125,0.90625,0.95703125,0.93359375,0.90625,0.9296875
random--la218,0.875,0.90234375,0.921875,0.90625,0.93359375,0.953125,1.0,0.890625,0.9296875,0.953125,0.93359375,0.9609375,0.96875,0.9296875,0.90234375,0.96875,0.94140625,0.9609375,0.9375,0.87109375,0.94140625,0.94921875,0.89453125,0.94140625,0.9375,0.9296875,0.94140625,0.91015625,0.890625,0.9609375
random--la219,0.859375,0.89453125,0.890625,0.890625,0.88671875,0.890625,0.890625,1.0,0.8984375,0.8828125,0.88671875,0.90625,0.875,0.8828125,0.87890625,0.875,0.91015625,0.875,0.90625,0.84765625,0.90234375,0.90234375,0.85546875,0.89453125,0.890625,0.859375,0.89453125,0.88671875,0.8515625,0.8984375
random--la223,0.9296875,0.95703125,0.90625,0.9296875,0.98046875,0.9609375,0.9296875,0.8984375,1.0,0.953125,0.95703125,0.921875,0.953125,0.96875,0.89453125,0.9375,0.97265625,0.9453125,0.9453125,0.91796875,0.97265625,0.98046875,0.93359375,0.93359375,0.9375,0.90625,0.95703125,0.94921875,0.9140625,0.9375
random--la231,0.890625,0.91796875,0.9140625,0.9140625,0.94921875,0.953125,0.953125,0.8828125,0.953125,1.0,0.93359375,0.9453125,0.9453125,0.953125,0.91015625,0.9609375,0.94140625,0.9453125,0.9296875,0.87890625,0.95703125,0.96484375,0.91015625,0.93359375,0.9375,0.90625,0.94140625,0.91015625,0.90625,0.9296875
