road,one-plus-o220,one-plus-o243,random--la114,random--la119,random--la124,random--la102,random--la107,random--la1010,random--la1018,random--la1020,random--la1021,random--la1024,random--la26,random--la213,random--la219,random--la33,random--la314,random--la318,random--la42,random--la412,random--la431,random--la52,random--la519,random--la652,random--la654,random--la658,random--la660,random--la727,random--la86,random--la920
one-plus-o220,1.0,0.9375,1.0,1.0,0.875,0.9375,0.9375,0.9375,0.875,1.0,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,0.5,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,1.0
one-plus-o243,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.5625,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,1.0,0.9375
random--la114,1.0,0.9375,1.0,1.0,0.875,0.9375,0.9375,0.9375,0.875,1.0,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,0.5,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,1.0
random--la119,1.0,0.9375,1.0,1.0,0.875,0.9375,0.9375,0.9375,0.875,1.0,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,0.5,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,1.0
random--la124,0.875,0.9375,0.875,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.875,1.0,0.875,0.875,0.9375,0.875,0.875,0.625,0.875,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.9375,0.875
random--la102,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.5625,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,1.0,0.9375
random--la107,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.5625,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,1.0,0.9375
random--la1010,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.5625,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,1.0,0.9375
random--la1018,0.875,0.9375,0.875,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.875,1.0,0.875,0.875,0.9375,0.875,0.875,0.625,0.875,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.9375,0.875
random--la1020,1.0,0.9375,1.0,1.0,0.875,0.9375,0.9375,0.9375,0.875,1.0,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,0.5,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,1.0
random--la1021,1.0,0.9375,1.0,1.0,0.875,0.9375,0.9375,0.9375,0.875,1.0,1.0,0.875,1.0,1.0,0.9375,1.0,1.0,0.5,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,1.0
