road,one-plus-o220,one-plus-o243,random--la114,random--la119,random--la124,random--la102,random--la107,random--la1010,random--la1018,random--la1020,random--la1021,random--la1024,random--la26,random--la213,random--la219,random--la33,random--la314,random--la318,random--la42,random--la412,random--la431,random--la52,random--la519,random--la652,random--la654,random--la658,random--la660,random--la727,random--la86,random--la920
one-plus-o220,1.0,0.8125,0.375,0.375,0.8125,0.6875,0.6875,0.5625,0.625,0.5,0.75,0.625,0.6875,0.625,0.75,0.4375,0.75,0.4375,0.75,0.5,0.75,0.8125,0.4375,0.5,0.5625,0.5,0.5625,0.6875,0.75,0.5
one-plus-o243,0.8125,1.0,0.3125,0.3125,0.875,0.75,0.75,0.625,0.6875,0.4375,0.6875,0.6875,0.625,0.5625,0.8125,0.375,0.6875,0.5,0.6875,0.4375,0.6875,0.875,0.5,0.5625,0.625,0.4375,0.625,0.625,0.8125,0.4375
random--la114,0.375,0.3125,1.0,1.0,0.4375,0.4375,0.5625,0.6875,0.25,0.875,0.625,0.625,0.6875,0.75,0.5,0.9375,0.625,0.5625,0.625,0.875,0.625,0.3125,0.8125,0.75,0.5625,0.875,0.6875,0.6875,0.5,0.875
random--la119,0.375,0.3125,1.0,1.0,0.4375,0.4375,0.5625,0.6875,0.25,0.875,0.625,0.625,0.6875,0.75,0.5,0.9375,0.625,0.5625,0.625,0.875,0.625,0.3125,0.8125,0.75,0.5625,0.875,0.6875,0.6875,0.5,0.875
random--la124,0.8125,0.875,0.4375,0.4375,1.0,0.625,0.75,0.75,0.5625,0.5625,0.8125,0.8125,0.75,0.6875,0.9375,0.5,0.8125,0.625,0.8125,0.5625,0.8125,0.875,0.625,0.6875,0.5,0.5625,0.75,0.75,0.9375,0.5625
random--la102,0.6875,0.75,0.4375,0.4375,0.625,1.0,0.75,0.625,0.6875,0.5625,0.5625,0.6875,0.5,0.6875,0.6875,0.5,0.5625,0.375,0.5625,0.5625,0.5625,0.75,0.625,0.5625,0.875,0.5625,0.75,0.5,0.6875,0.5625
random--la107,0.6875,0.75,0.5625,0.5625,0.75,0.75,1.0,0.75,0.6875,0.6875,0.6875,0.8125,0.625,0.8125,0.8125,0.625,0.6875,0.5,0.6875,0.6875,0.6875,0.625,0.625,0.6875,0.625,0.6875,0.875,0.625,0.6875,0.6875
random--la1010,0.5625,0.625,0.6875,0.6875,0.75,0.625,0.75,1.0,0.4375,0.8125,0.5625,0.6875,0.5,0.6875,0.8125,0.75,0.5625,0.5,0.5625,0.8125,0.5625,0.625,0.875,0.9375,0.75,0.8125,0.75,0.5,0.6875,0.8125
random--la1018,0.625,0.6875,0.25,0.25,0.5625,0.6875,0.6875,0.4375,1.0,0.375,0.5,0.625,0.4375,0.5,0.625,0.3125,0.5,0.5625,0.5,0.375,0.5,0.6875,0.3125,0.375,0.5625,0.375,0.5625,0.4375,0.5,0.375
random--la1020,0.5,0.4375,0.875,0.875,0.5625,0.5625,0.6875,0.8125,0.375,1.0,0.75,0.75,0.6875,0.875,0.625,0.9375,0.75,0.5625,0.75,1.0,0.75,0.4375,0.8125,0.75,0.6875,1.0,0.8125,0.6875,0.625,1.0
random--la1021,0.75,0.6875,0.625,0.625,0.8125,0.5625,0.6875,0.5625,0.5,0.75,1.0,0.875,0.9375,0.875,0.75,0.6875,1.0,0.6875,1.0,0.75,1.0,0.6875,0.5625,0.5,0.4375,0.75,0.8125,0.9375,0.875,0.75
random--la1024,0.625,0.6875,0.625,0.625,0.8125,0.6875,0.8125,0.6875,0.625,0.75,0.875,1.0,0.8125,0.875,0.875,0.6875,0.875,0.6875,0.875,0.75,0.875,0.6875,0.6875,0.625,0.5625,0.75,0.9375,0.8125,0.875,0.75
random--la26,0.6875,0.625,0.6875,0.6875,0.75,0.5,0.625,0.5,0.4375,0.6875,0.9375,0.8125,1.0,0.8125,0.6875,0.75,0.9375,0.75,0.9375,0.6875,0.9375,0.625,0.5,0.4375,0.375,0.6875,0.75,1.0,0.8125,0.6875
random--la213,0.625,0.5625,0.75,0.75,0.6875,0.6875,0.8125,0.6875,0.5,0.875,0.875,0.875,0.8125,1.0,0.75,0.8125,0.875,0.5625,0.875,0.875,0.875,0.5625,0.6875,0.625,0.5625,0.875,0.9375,0.8125,0.75,0.875
random--la219,0.75,0.8125,0.5,0.5,0.9375,0.6875,0.8125,0.8125,0.625,0.625,0.75,0.875,0.6875,0.75,1.0,0.5625,0.75,0.5625,0.75,0.625,0.75,0.8125,0.6875,0.75,0.5625,0.625,0.8125,0.6875,0.875,0.625
random--la33,0.4375,0.375,0.9375,0.9375,0.5,0.5,0.625,0.75,0.3125,0.9375,0.6875,0.6875,0.75,0.8125,0.5625,1.0,0.6875,0.625,0.6875,0.9375,0.6875,0.375,0.75,0.6875,0.625,0.9375,0.75,0.75,0.5625,0.9375
random--la314,0.75,0.6875,0.625,0.625,0.8125,0.5625,0.6875,0.5625,0.5,0.75,1.0,0.875,0.9375,0.875,0.75,0.6875,1.0,0.6875,1.0,0.75,1.0,0.6875,0.5625,0.5,0.4375,0.75,0.8125,0.9375,0.875,0.75
random--la318,0.4375,0.5,0.5625,0.5625,0.625,0.375,0.5,0.5,0.5625,0.5625,0.6875,0.6875,0.75,0.5625,0.5625,0.625,0.6875,1.0,0.6875,0.5625,0.6875,0.5,0.5,0.4375,0.375,0.5625,0.625,0.75,0.6875,0.5625
random--la42,0.75,0.6875,0.625,0.625,0.8125,0.5625,0.6875,0.5625,0.5,0.75,1.0,0.875,0.9375,0.875,0.75,0.6875,1.0,0.6875,1.0,0.75,1.0,0.6875,0.5625,0.5,0.4375,0.75,0.8125,0.9375,0.875,0.75
random--la412,0.5,0.4375,0.875,0.875,0.5625,0.5625,0.6875,0.8125,0.375,1.0,0.75,0.75,0.6875,0.875,0.625,0.9375,0.75,0.5625,0.75,1.0,0.75,0.4375,0.8125,0.75,0.6875,1.0,0.8125,0.6875,0.625,1.0
random--la431,0.75,0.6875,0.625,0.625,0.8125,0.5625,0.6875,0.5625,0.5,0.75,1.0,0.875,0.9375,0.875,0.75,0.6875,1.0,0.6875,1.0,0.75,1.0,0.6875,0.5625,0.5,0.4375,0.75,0.8125,0.9375,0.875,0.75
random--la52,0.8125,0.875,0.3125,0.3125,0.875,0.75,0.625,0.625,0.6875,0.4375,0.6875,0.6875,0.625,0.5625,0.8125,0.375,0.6875,0.5,0.6875,0.4375,0.6875,1.0,0.5,0.5625,0.625,0.4375,0.625,0.625,0.8125,0.4375
random--la519,0.4375,0.5,0.8125,0.8125,0.625,0.625,0.625,0.875,0.3125,0.8125,0.5625,0.6875,0.5,0.6875,0.6875,0.75,0.5625,0.5,0.5625,0.8125,0.5625,0.5,1.0,0.9375,0.75,0.8125,0.75,0.5,0.6875,0.8125
random--la652,0.5,0.5625,0.75,0.75,0.6875,0.5625,0.6875,0.9375,0.375,0.75,0.5,0.625,0.4375,0.625,0.75,0.6875,0.5,0.4375,0.5,0.75,0.5,0.5625,0.9375,1.0,0.6875,0.75,0.6875,0.4375,0.625,0.75
random--la654,0.5625,0.625,0.5625,0.5625,0.5,0.875,0.625,0.75,0.5625,0.6875,0.4375,0.5625,0.375,0.5625,0.5625,0.625,0.4375,0.375,0.4375,0.6875,0.4375,0.625,0.75,0.6875,1.0,0.6875,0.625,0.375,0.5625,0.6875
random--la658,0.5,0.4375,0.875,0.875,0.5625,0.5625,0.6875,0.8125,0.375,1.0,0.75,0.75,0.6875,0.875,0.625,0.9375,0.75,0.5625,0.75,1.0,0.75,0.4375,0.8125,0.75,0.6875,1.0,0.8125,0.6875,0.625,1.0
random--la660,0.5625,0.625,0.6875,0.6875,0.75,0.75,0.875,0.75,0.5625,0.8125,0.8125,0.9375,0.75,0.9375,0.8125,0.75,0.8125,0.625,0.8125,0.8125,0.8125,0.625,0.75,0.6875,0.625,0.8125,1.0,0.75,0.8125,0.8125
random--la727,0.6875,0.625,0.6875,0.6875,0.75,0.5,0.625,0.5,0.4375,0.6875,0.9375,0.8125,1.0,0.8125,0.6875,0.75,0.9375,0.75,0.9375,0.6875,0.9375,0.625,0.5,0.4375,0.375,0.6875,0.75,1.0,0.8125,0.6875
random--la86,0.75,0.8125,0.5,0.5,0.9375,0.6875,0.6875,0.6875,0.5,0.625,0.875,0.875,0.8125,0.75,0.875,0.5625,0.875,0.6875,0.875,0.625,0.875,0.8125,0.6875,0.625,0.5625,0.625,0.8125,0.8125,1.0,0.625
random--la920,0.5,0.4375,0.875,0.875,0.5625,0.5625,0.6875,0.8125,0.375,1.0,0.75,0.75,0.6875,0.875,0.625,0.9375,0.75,0.5625,0.75,1.0,0.75,0.4375,0.8125,0.75,0.6875,1.0,0.8125,0.6875,0.625,1.0
