road,one-plus-o216,one-plus-o217,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o243,random--la19,random--la1018,random--la1021,random--la26,random--la213,random--la218,random--la219,random--la232,random--la318,random--la43,random--la412,random--la430,random--la438,random--la520,random--la523,random--la532,random--la66,random--la621,random--la625,random--la631,random--la638,random--la76,random--la727,random--la86
one-plus-o216,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
one-plus-o217,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.8125,0.9375,0.9375,0.9375,0.8125,0.9375,0.8125,0.9375,0.9375,0.9375,0.6875,0.8125,0.8125,0.875,1.0,0.9375,0.8125,0.9375,0.875,0.8125,0.6875,0.875,0.9375,0.9375
one-plus-o222,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
one-plus-o223,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.8125,0.9375,0.9375,0.9375,0.8125,0.9375,0.8125,0.9375,0.9375,0.9375,0.6875,0.8125,0.8125,0.875,1.0,0.9375,0.8125,0.9375,0.875,0.8125,0.6875,0.875,0.9375,0.9375
one-plus-o225,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
one-plus-o243,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
random--la19,0.875,0.8125,0.875,0.8125,0.875,0.875,1.0,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.9375,1.0,0.625,0.9375,0.875,0.875
random--la1018,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
random--la1021,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
random--la26,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
random--la213,0.875,0.8125,0.875,0.8125,0.875,0.875,1.0,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.875,0.9375,1.0,0.625,0.9375,0.875,0.875
random--la218,1.0,0.9375,1.0,0.9375,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.75,0.875,0.875,0.9375,0.9375,1.0,0.875,1.0,0.9375,0.875,0.75,0.9375,0.875,0.875
random--la219,0.875,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.75,0.875,0.75,0.875,0.875,0.8125,0.8125,0.875,0.875,0.875,0.8125,0.875,0.625,0.9375,0.75,0.75
