road,one-plus-o216,one-plus-o217,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o243,random--la19,random--la1018,random--la1021,random--la26,random--la213,random--la218,random--la219,random--la232,random--la318,random--la43,random--la412,random--la430,random--la438,random--la520,random--la523,random--la532,random--la66,random--la621,random--la625,random--la631,random--la638,random--la76,random--la727,random--la86
one-plus-o216,1.0,0.8984375,0.8984375,0.9453125,0.90625,0.9453125,0.87890625,0.859375,0.91015625,0.90234375,0.8984375,0.90625,0.8515625,0.91015625,0.82421875,0.8984375,0.8828125,0.890625,0.859375,0.8984375,0.9375,0.890625,0.8671875,0.89453125,0.8984375,0.89453125,0.875,0.91015625,0.8828125,0.890625
one-plus-o217,0.8984375,1.0,0.9140625,0.9296875,0.9140625,0.921875,0.87890625,0.875,0.91796875,0.91796875,0.890625,0.90625,0.8359375,0.89453125,0.80859375,0.8984375,0.859375,0.875,0.8984375,0.875,0.90625,0.90625,0.84375,0.88671875,0.8984375,0.91796875,0.8671875,0.90234375,0.90625,0.9140625
one-plus-o222,0.8984375,0.9140625,1.0,0.9140625,0.9609375,0.9296875,0.89453125,0.890625,0.93359375,0.93359375,0.9296875,0.9375,0.859375,0.93359375,0.81640625,0.921875,0.8828125,0.90625,0.890625,0.875,0.90625,0.9375,0.859375,0.91796875,0.890625,0.92578125,0.875,0.91796875,0.90625,0.921875
one-plus-o223,0.9453125,0.9296875,0.9140625,1.0,0.9140625,0.9375,0.87890625,0.84375,0.89453125,0.88671875,0.890625,0.890625,0.84375,0.91015625,0.80078125,0.875,0.859375,0.875,0.8671875,0.890625,0.8984375,0.8828125,0.859375,0.87890625,0.8984375,0.90234375,0.8515625,0.88671875,0.875,0.8984375
one-plus-o225,0.90625,0.9140625,0.9609375,0.9140625,1.0,0.9296875,0.88671875,0.890625,0.92578125,0.92578125,0.9140625,0.921875,0.8515625,0.91015625,0.80859375,0.9140625,0.875,0.8984375,0.8828125,0.8671875,0.9140625,0.921875,0.84375,0.90234375,0.875,0.91796875,0.8671875,0.91015625,0.890625,0.921875
one-plus-o243,0.9453125,0.921875,0.9296875,0.9375,0.9296875,1.0,0.87890625,0.8671875,0.91015625,0.92578125,0.8984375,0.9140625,0.84375,0.91796875,0.80859375,0.8984375,0.859375,0.8828125,0.890625,0.890625,0.921875,0.9140625,0.8671875,0.88671875,0.875,0.91796875,0.859375,0.89453125,0.8828125,0.921875
random--la19,0.87890625,0.87890625,0.89453125,0.87890625,0.88671875,0.87890625,1.0,0.87109375,0.921875,0.9140625,0.93359375,0.90234375,0.89453125,0.9296875,0.875,0.92578125,0.94140625,0.96484375,0.92578125,0.90234375,0.88671875,0.92578125,0.87890625,0.921875,0.91796875,0.953125,0.94921875,0.9296875,0.91015625,0.92578125
random--la1018,0.859375,0.875,0.890625,0.84375,0.890625,0.8671875,0.87109375,1.0,0.91796875,0.93359375,0.90625,0.9296875,0.859375,0.87109375,0.83203125,0.9296875,0.890625,0.890625,0.890625,0.8359375,0.875,0.921875,0.8125,0.88671875,0.8671875,0.89453125,0.890625,0.93359375,0.890625,0.890625
random--la1021,0.91015625,0.91796875,0.93359375,0.89453125,0.92578125,0.91015625,0.921875,0.91796875,1.0,0.953125,0.94140625,0.94921875,0.88671875,0.921875,0.859375,0.95703125,0.91015625,0.93359375,0.91015625,0.87890625,0.91796875,0.96484375,0.86328125,0.9375,0.90234375,0.9453125,0.91015625,0.953125,0.93359375,0.94921875
random--la26,0.90234375,0.91796875,0.93359375,0.88671875,0.92578125,0.92578125,0.9140625,0.93359375,0.953125,1.0,0.94140625,0.98046875,0.89453125,0.9140625,0.8671875,0.96484375,0.92578125,0.93359375,0.94140625,0.87109375,0.91015625,0.96484375,0.85546875,0.9375,0.91015625,0.9375,0.92578125,0.9609375,0.93359375,0.93359375
random--la213,0.8984375,0.890625,0.9296875,0.890625,0.9140625,0.8984375,0.93359375,0.90625,0.94140625,0.94140625,1.0,0.953125,0.9140625,0.94921875,0.87109375,0.9375,0.953125,0.953125,0.9140625,0.890625,0.890625,0.953125,0.8828125,0.94140625,0.921875,0.96484375,0.9296875,0.95703125,0.9375,0.921875
random--la218,0.90625,0.90625,0.9375,0.890625,0.921875,0.9140625,0.90234375,0.9296875,0.94921875,0.98046875,0.953125,1.0,0.890625,0.91796875,0.86328125,0.96875,0.9296875,0.921875,0.921875,0.859375,0.8984375,0.96875,0.859375,0.94140625,0.90625,0.93359375,0.921875,0.97265625,0.9296875,0.9296875
random--la219,0.8515625,0.8359375,0.859375,0.84375,0.8515625,0.84375,0.89453125,0.859375,0.88671875,0.89453125,0.9140625,0.890625,1.0,0.87890625,0.82421875,0.875,0.8828125,0.8984375,0.890625,0.84375,0.8359375,0.8828125,0.859375,0.89453125,0.8671875,0.89453125,0.875,0.89453125,0.875,0.859375
random--la232,0.91015625,0.89453125,0.93359375,0.91015625,0.91015625,0.91796875,0.9296875,0.87109375,0.921875,0.9140625,0.94921875,0.91796875,0.87890625,1.0,0.84375,0.91796875,0.92578125,0.94140625,0.88671875,0.88671875,0.89453125,0.92578125,0.88671875,0.921875,0.92578125,0.953125,0.91015625,0.9375,0.90234375,0.91796875
random--la318,0.82421875,0.80859375,0.81640625,0.80078125,0.80859375,0.80859375,0.875,0.83203125,0.859375,0.8671875,0.87109375,0.86328125,0.82421875,0.84375,1.0,0.87109375,0.88671875,0.87890625,0.83984375,0.83203125,0.82421875,0.84765625,0.82421875,0.8515625,0.83984375,0.8671875,0.89453125,0.875,0.87109375,0.83984375
random--la43,0.8984375,0.8984375,0.921875,0.875,0.9140625,0.8984375,0.92578125,0.9296875,0.95703125,0.96484375,0.9375,0.96875,0.875,0.91796875,0.87109375,1.0,0.9375,0.9453125,0.90625,0.8671875,0.90625,0.9765625,0.8515625,0.93359375,0.9140625,0.92578125,0.9453125,0.98046875,0.9296875,0.9453125
random--la412,0.8828125,0.859375,0.8828125,0.859375,0.875,0.859375,0.94140625,0.890625,0.91015625,0.92578125,0.953125,0.9296875,0.8828125,0.92578125,0.88671875,0.9375,1.0,0.9609375,0.8984375,0.890625,0.8828125,0.9296875,0.8671875,0.92578125,0.9296875,0.92578125,0.9609375,0.95703125,0.90625,0.8984375
random--la430,0.890625,0.875,0.90625,0.875,0.8984375,0.8828125,0.96484375,0.890625,0.93359375,0.93359375,0.953125,0.921875,0.8984375,0.94140625,0.87890625,0.9453125,0.9609375,1.0,0.90625,0.8984375,0.8984375,0.9453125,0.875,0.94921875,0.9296875,0.94140625,0.96875,0.94921875,0.9140625,0.9140625
random--la438,0.859375,0.8984375,0.890625,0.8671875,0.8828125,0.890625,0.92578125,0.890625,0.91015625,0.94140625,0.9140625,0.921875,0.890625,0.88671875,0.83984375,0.90625,0.8984375,0.90625,1.0,0.875,0.8671875,0.9140625,0.859375,0.91015625,0.8671875,0.92578125,0.890625,0.91015625,0.8984375,0.90625
random--la520,0.8984375,0.875,0.875,0.890625,0.8671875,0.890625,0.90234375,0.8359375,0.87890625,0.87109375,0.890625,0.859375,0.84375,0.88671875,0.83203125,0.8671875,0.890625,0.8984375,0.875,1.0,0.8828125,0.8671875,0.84375,0.87890625,0.8984375,0.89453125,0.8828125,0.87890625,0.8671875,0.875
random--la523,0.9375,0.90625,0.90625,0.8984375,0.9140625,0.921875,0.88671875,0.875,0.91796875,0.91015625,0.890625,0.8984375,0.8359375,0.89453125,0.82421875,0.90625,0.8828125,0.8984375,0.8671875,0.8828125,1.0,0.8984375,0.8828125,0.89453125,0.90625,0.91015625,0.8828125,0.91015625,0.890625,0.8984375
random--la532,0.890625,0.90625,0.9375,0.8828125,0.921875,0.9140625,0.92578125,0.921875,0.96484375,0.96484375,0.953125,0.96875,0.8828125,0.92578125,0.84765625,0.9765625,0.9296875,0.9453125,0.9140625,0.8671875,0.8984375,1.0,0.8515625,0.94140625,0.9140625,0.94140625,0.9296875,0.96484375,0.921875,0.953125
random--la66,0.8671875,0.84375,0.859375,0.859375,0.84375,0.8671875,0.87890625,0.8125,0.86328125,0.85546875,0.8828125,0.859375,0.859375,0.88671875,0.82421875,0.8515625,0.8671875,0.875,0.859375,0.84375,0.8828125,0.8515625,1.0,0.84765625,0.859375,0.90234375,0.8515625,0.87109375,0.84375,0.8671875
random--la621,0.89453125,0.88671875,0.91796875,0.87890625,0.90234375,0.88671875,0.921875,0.88671875,0.9375,0.9375,0.94140625,0.94140625,0.89453125,0.921875,0.8515625,0.93359375,0.92578125,0.94921875,0.91015625,0.87890625,0.89453125,0.94140625,0.84765625,1.0,0.90234375,0.921875,0.91796875,0.9375,0.91796875,0.91015625
