names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o218,52.0,29.0,55.0,27.0,30.0,31.0,36.0,30.0,27.0,33.0,37.0,46.0,27.0,19.0,48.0,47.0
one-plus-o220,67.0,57.0,12.0,65.0,58.0,43.0,43.0,18.0,30.0,52.0,37.0,29.0,10.0,42.0,42.0,48.0
random--la1010,77.0,90.0,32.0,28.0,30.0,26.0,23.0,38.0,44.0,34.0,45.0,38.0,16.0,48.0,75.0,75.0
random--la1018,56.0,59.0,6.0,5.0,1.0,0.0,5.0,4.0,28.0,3.0,13.0,42.0,41.0,37.0,16.0,35.0
random--la26,54.0,98.0,46.0,28.0,21.0,28.0,39.0,33.0,28.0,21.0,33.0,44.0,41.0,45.0,21.0,106.0
random--la219,51.0,11.0,14.0,21.0,16.0,18.0,15.0,22.0,9.0,2.0,3.0,2.0,1.0,4.0,42.0,54.0
random--la33,64.0,19.0,2.0,3.0,17.0,26.0,40.0,32.0,38.0,27.0,44.0,57.0,15.0,53.0,16.0,34.0
random--la42,89.0,48.0,7.0,44.0,15.0,11.0,16.0,27.0,39.0,28.0,52.0,89.0,71.0,33.0,50.0,48.0
random--la427,8.0,86.0,44.0,21.0,30.0,42.0,32.0,36.0,40.0,12.0,37.0,76.0,34.0,24.0,49.0,35.0
random--la435,8.0,0.0,1.0,24.0,53.0,61.0,25.0,24.0,21.0,12.0,26.0,27.0,30.0,22.0,53.0,10.0
random--la438,41.0,10.0,25.0,89.0,51.0,28.0,17.0,10.0,28.0,38.0,55.0,49.0,23.0,5.0,7.0,34.0
random--la439,21.0,57.0,11.0,10.0,9.0,21.0,14.0,24.0,23.0,11.0,13.0,56.0,70.0,37.0,16.0,1.0
random--la53,0.0,0.0,9.0,51.0,52.0,31.0,22.0,8.0,17.0,54.0,70.0,30.0,8.0,11.0,3.0,0.0
random--la514,48.0,79.0,42.0,49.0,61.0,32.0,24.0,23.0,47.0,37.0,54.0,74.0,40.0,24.0,35.0,49.0
random--la515,3.0,2.0,47.0,85.0,30.0,13.0,13.0,13.0,17.0,34.0,52.0,40.0,26.0,27.0,0.0,0.0
random--la520,7.0,54.0,45.0,75.0,44.0,13.0,5.0,12.0,51.0,21.0,31.0,69.0,20.0,2.0,10.0,42.0
random--la62,34.0,17.0,5.0,46.0,44.0,45.0,40.0,33.0,25.0,52.0,52.0,60.0,28.0,25.0,13.0,5.0
random--la620,42.0,12.0,2.0,4.0,19.0,27.0,48.0,31.0,35.0,26.0,23.0,21.0,26.0,24.0,16.0,38.0
random--la654,34.0,6.0,34.0,68.0,55.0,41.0,40.0,28.0,12.0,14.0,15.0,11.0,4.0,16.0,39.0,95.0
random--la655,49.0,22.0,29.0,43.0,59.0,45.0,46.0,58.0,26.0,20.0,27.0,34.0,22.0,40.0,27.0,94.0
random--la656,67.0,13.0,19.0,62.0,34.0,10.0,7.0,16.0,36.0,66.0,56.0,32.0,71.0,19.0,18.0,2.0
random--la658,47.0,30.0,55.0,53.0,37.0,31.0,52.0,38.0,15.0,15.0,18.0,48.0,23.0,8.0,16.0,156.0
random--la74,49.0,18.0,22.0,37.0,32.0,47.0,34.0,43.0,31.0,41.0,51.0,69.0,38.0,11.0,3.0,24.0
random--la78,46.0,40.0,40.0,23.0,13.0,19.0,17.0,13.0,65.0,44.0,29.0,56.0,80.0,22.0,4.0,5.0
random--la722,87.0,58.0,37.0,6.0,8.0,15.0,9.0,14.0,48.0,50.0,47.0,72.0,52.0,17.0,124.0,34.0
random--la727,42.0,101.0,19.0,34.0,29.0,14.0,23.0,54.0,56.0,13.0,21.0,42.0,55.0,51.0,109.0,33.0
random--la82,58.0,15.0,34.0,85.0,97.0,51.0,41.0,35.0,35.0,57.0,48.0,21.0,14.0,9.0,30.0,101.0
random--la86,33.0,42.0,5.0,0.0,8.0,35.0,59.0,43.0,70.0,31.0,31.0,17.0,44.0,28.0,52.0,57.0
random--la87,34.0,105.0,14.0,53.0,42.0,20.0,18.0,26.0,71.0,25.0,21.0,29.0,28.0,83.0,49.0,48.0
random--la924,23.0,29.0,20.0,8.0,31.0,41.0,40.0,36.0,21.0,7.0,14.0,44.0,44.0,45.0,47.0,0.0
