road,one-plus-o218,one-plus-o220,random--la1010,random--la1018,random--la26,random--la219,random--la33,random--la42,random--la427,random--la435,random--la438,random--la439,random--la53,random--la514,random--la515,random--la520,random--la62,random--la620,random--la654,random--la655,random--la656,random--la658,random--la74,random--la78,random--la722,random--la727,random--la82,random--la86,random--la87,random--la924
one-plus-o218,1.0,0.7265625,0.80078125,0.7109375,0.7890625,0.74609375,0.69140625,0.78515625,0.78125,0.72265625,0.75390625,0.71875,0.71484375,0.7734375,0.6796875,0.7890625,0.734375,0.7578125,0.7734375,0.78125,0.73046875,0.78515625,0.73046875,0.7734375,0.6640625,0.7734375,0.72265625,0.76171875,0.75,0.7109375
one-plus-o220,0.7265625,1.0,0.75390625,0.671875,0.75,0.69921875,0.67578125,0.73828125,0.78125,0.70703125,0.71484375,0.765625,0.67578125,0.75,0.6875,0.71875,0.734375,0.7109375,0.7578125,0.765625,0.73828125,0.77734375,0.74609375,0.75,0.71875,0.7109375,0.70703125,0.74609375,0.765625,0.71875
random--la1010,0.80078125,0.75390625,1.0,0.70703125,0.80859375,0.7734375,0.7421875,0.796875,0.80078125,0.7421875,0.75,0.71484375,0.7265625,0.81640625,0.66796875,0.76171875,0.78515625,0.77734375,0.80859375,0.80859375,0.7578125,0.8125,0.7890625,0.77734375,0.68359375,0.76171875,0.7890625,0.796875,0.77734375,0.76171875
random--la1018,0.7109375,0.671875,0.70703125,1.0,0.7421875,0.73046875,0.75390625,0.77734375,0.8046875,0.76953125,0.79296875,0.7578125,0.76953125,0.765625,0.65625,0.71875,0.7421875,0.7890625,0.734375,0.75,0.76171875,0.76953125,0.74609375,0.78125,0.734375,0.765625,0.70703125,0.74609375,0.734375,0.78125
random--la26,0.7890625,0.75,0.80859375,0.7421875,1.0,0.74609375,0.76171875,0.80859375,0.765625,0.76953125,0.73046875,0.7265625,0.73828125,0.796875,0.6953125,0.734375,0.75,0.8125,0.7890625,0.7734375,0.73046875,0.80078125,0.76171875,0.78125,0.7109375,0.78125,0.74609375,0.75390625,0.7734375,0.78125
random--la219,0.74609375,0.69921875,0.7734375,0.73046875,0.74609375,1.0,0.71875,0.7421875,0.80078125,0.7578125,0.7578125,0.66796875,0.75,0.76953125,0.71484375,0.72265625,0.72265625,0.76953125,0.81640625,0.69140625,0.734375,0.7890625,0.75,0.73046875,0.64453125,0.74609375,0.765625,0.703125,0.70703125,0.74609375
random--la33,0.69140625,0.67578125,0.7421875,0.75390625,0.76171875,0.71875,1.0,0.7578125,0.75390625,0.7734375,0.7109375,0.76171875,0.765625,0.73046875,0.71484375,0.68359375,0.74609375,0.79296875,0.73828125,0.74609375,0.7578125,0.7265625,0.8046875,0.76171875,0.73828125,0.77734375,0.7265625,0.7421875,0.78515625,0.74609375
random--la42,0.78515625,0.73828125,0.796875,0.77734375,0.80859375,0.7421875,0.7578125,1.0,0.80859375,0.796875,0.765625,0.76953125,0.75,0.80859375,0.66796875,0.76953125,0.78515625,0.84765625,0.79296875,0.82421875,0.765625,0.8203125,0.7890625,0.78515625,0.73828125,0.80859375,0.7109375,0.8125,0.82421875,0.76171875
random--la427,0.78125,0.78125,0.80078125,0.8046875,0.765625,0.80078125,0.75390625,0.80859375,1.0,0.81640625,0.81640625,0.796875,0.80859375,0.828125,0.7421875,0.796875,0.796875,0.7734375,0.796875,0.7890625,0.82421875,0.86328125,0.79296875,0.8203125,0.6875,0.8046875,0.76171875,0.77734375,0.8046875,0.8203125
random--la435,0.72265625,0.70703125,0.7421875,0.76953125,0.76953125,0.7578125,0.7734375,0.796875,0.81640625,1.0,0.75,0.77734375,0.8046875,0.76953125,0.79296875,0.73828125,0.83203125,0.80078125,0.76171875,0.73828125,0.8046875,0.7890625,0.8203125,0.77734375,0.69140625,0.76171875,0.734375,0.7578125,0.76953125,0.79296875
