road,one-plus-o23,one-plus-o212,one-plus-o217,one-plus-o225,one-plus-o226,one-plus-o228,random--la125,random--la102,random--la107,random--la1020,random--la1024,random--la26,random--la238,random--la240,random--la33,random--la43,random--la412,random--la427,random--la430,random--la438,random--la53,random--la519,random--la523,random--la625,random--la631,random--la652,random--la76,random--la727,random--la733,random--la87
one-plus-o23,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
one-plus-o212,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
one-plus-o217,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
one-plus-o225,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0
one-plus-o226,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
one-plus-o228,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
random--la125,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0
random--la102,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
random--la107,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375
random--la1020,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0
random--la1024,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.9375,0.9375,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875
