test,num_obes
one-plus-o23,0
one-plus-o212,0
one-plus-o217,0
one-plus-o225,0
one-plus-o226,0
one-plus-o228,0
random--la125,0
random--la102,0
random--la107,0
random--la1020,0
random--la1024,1
random--la26,0
random--la238,0
random--la240,0
random--la33,0
random--la43,0
random--la412,0
random--la427,0
random--la430,0
random--la438,1
random--la53,0
random--la519,0
random--la523,0
random--la625,0
random--la631,0
random--la652,0
random--la76,0
random--la727,0
random--la733,0
random--la87,0
