road,one-plus-o216,one-plus-o222,one-plus-o227,one-plus-o243,random--la13,random--la125,random--la102,random--la24,random--la26,random--la219,random--la33,random--la318,random--la43,random--la44,random--la411,random--la427,random--la431,random--la514,random--la519,random--la520,random--la523,random--la66,random--la620,random--la621,random--la637,random--la638,random--la650,random--la76,random--la712,random--la727
one-plus-o216,1.0,0.785,0.785,0.7421052631578947,0.7705882352941177,0.7444444444444445,0.7150000000000001,0.8142857142857143,0.7894736842105263,0.78,0.7714285714285715,0.775,0.73,0.77,0.6950000000000001,0.7555555555555555,0.7150000000000001,0.76,0.75,0.736842105263158,0.735,0.745,0.7785714285714286,0.75,0.75625,0.8,0.8117647058823529,0.7733333333333333,0.735,0.745
one-plus-o222,0.785,1.0,1.0,0.7052631578947368,0.7411764705882353,0.7333333333333334,0.77,0.7785714285714286,0.7473684210526316,0.75,0.7642857142857142,0.73,0.735,0.745,0.76,0.7555555555555555,0.7150000000000001,0.765,0.7277777777777779,0.7736842105263158,0.725,0.725,0.7857142857142857,0.72,0.73125,0.7428571428571429,0.7705882352941177,0.7733333333333333,0.74,0.75
one-plus-o227,0.785,1.0,1.0,0.7052631578947368,0.7411764705882353,0.7333333333333334,0.77,0.7785714285714286,0.7473684210526316,0.75,0.7642857142857142,0.73,0.735,0.745,0.76,0.7555555555555555,0.7150000000000001,0.765,0.7277777777777779,0.7736842105263158,0.725,0.725,0.7857142857142857,0.72,0.73125,0.7428571428571429,0.7705882352941177,0.7733333333333333,0.74,0.75
one-plus-o243,0.7421052631578947,0.7052631578947368,0.7052631578947368,1.0,0.7647058823529411,0.8166666666666667,0.7526315789473684,0.7857142857142857,0.7052631578947368,0.7631578947368421,0.7642857142857142,0.736842105263158,0.7473684210526316,0.7473684210526316,0.7631578947368421,0.7277777777777779,0.7526315789473684,0.7263157894736842,0.7555555555555555,0.7315789473684211,0.7263157894736842,0.7157894736842105,0.75,0.7473684210526316,0.8125,0.8,0.7176470588235294,0.7866666666666666,0.7473684210526316,0.7736842105263158
random--la13,0.7705882352941177,0.7411764705882353,0.7411764705882353,0.7647058823529411,1.0,0.7588235294117647,0.7764705882352941,0.7857142857142857,0.7176470588235294,0.7529411764705882,0.7642857142857142,0.8058823529411765,0.7352941176470589,0.7705882352941177,0.8,0.7823529411764706,0.7647058823529411,0.8941176470588236,0.8,0.7705882352941177,0.788235294117647,0.7705882352941177,0.8285714285714285,0.8411764705882353,0.7875,0.8142857142857143,0.8117647058823529,0.7266666666666667,0.8,0.8352941176470589
random--la125,0.7444444444444445,0.7333333333333334,0.7333333333333334,0.8166666666666667,0.7588235294117647,1.0,0.75,0.8142857142857143,0.6722222222222223,0.7555555555555555,0.7642857142857142,0.8444444444444444,0.7555555555555555,0.7555555555555555,0.7166666666666667,0.7222222222222222,0.7333333333333334,0.7666666666666666,0.8222222222222222,0.7555555555555555,0.7222222222222222,0.7111111111111111,0.7571428571428571,0.75,0.73125,0.7714285714285715,0.7941176470588236,0.7066666666666667,0.7555555555555555,0.7777777777777778
random--la102,0.7150000000000001,0.77,0.77,0.7526315789473684,0.7764705882352941,0.75,1.0,0.7857142857142857,0.7526315789473684,0.740909090909091,0.8142857142857143,0.7476190476190476,0.7318181818181818,0.7318181818181818,0.8049999999999999,0.7833333333333333,0.7363636363636363,0.7571428571428571,0.7277777777777779,0.736842105263158,0.7380952380952381,0.75,0.7857142857142857,0.740909090909091,0.775,0.8428571428571429,0.7764705882352941,0.76,0.83,0.7227272727272727
random--la24,0.8142857142857143,0.7785714285714286,0.7785714285714286,0.7857142857142857,0.7857142857142857,0.8142857142857143,0.7857142857142857,1.0,0.7071428571428571,0.7785714285714286,0.8,0.7714285714285715,0.7714285714285715,0.8214285714285714,0.7642857142857142,0.7428571428571429,0.7928571428571428,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7142857142857143,0.7571428571428571,0.7285714285714286,0.7928571428571428,0.7642857142857142,0.7857142857142857,0.7928571428571428,0.8142857142857143,0.75,0.8214285714285714
random--la26,0.7894736842105263,0.7473684210526316,0.7473684210526316,0.7052631578947368,0.7176470588235294,0.6722222222222223,0.7526315789473684,0.7071428571428571,1.0,0.7105263157894737,0.7928571428571428,0.7,0.6894736842105262,0.7157894736842105,0.7263157894736842,0.7722222222222223,0.7263157894736842,0.7052631578947368,0.75,0.7210526315789474,0.6842105263157895,0.7789473684210526,0.7571428571428571,0.7157894736842105,0.69375,0.7357142857142858,0.7352941176470589,0.74,0.7473684210526316,0.7315789473684211
random--la219,0.78,0.75,0.75,0.7631578947368421,0.7529411764705882,0.7555555555555555,0.740909090909091,0.7785714285714286,0.7105263157894737,1.0,0.8,0.7428571428571429,0.7363636363636363,0.7521739130434782,0.71,0.7388888888888889,0.7782608695652173,0.7285714285714286,0.7166666666666667,0.7736842105263158,0.7380952380952381,0.7333333333333334,0.7785714285714286,0.75,0.74375,0.7714285714285715,0.7588235294117647,0.8066666666666666,0.725,0.7833333333333333
random--la33,0.7714285714285715,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.8142857142857143,0.8,0.7928571428571428,0.8,1.0,0.7785714285714286,0.7428571428571429,0.8,0.75,0.7642857142857142,0.7642857142857142,0.7357142857142858,0.7642857142857142,0.8142857142857143,0.7285714285714286,0.8642857142857143,0.7428571428571429,0.7857142857142857,0.7642857142857142,0.7714285714285715,0.7642857142857142,0.8214285714285714,0.7785714285714286,0.7785714285714286
random--la318,0.775,0.73,0.73,0.736842105263158,0.8058823529411765,0.8444444444444444,0.7476190476190476,0.7714285714285715,0.7,0.7428571428571429,0.7785714285714286,1.0,0.8095238095238095,0.7428571428571429,0.72,0.7277777777777779,0.7285714285714286,0.7571428571428571,0.7611111111111111,0.7842105263157895,0.7238095238095238,0.7380952380952381,0.8357142857142857,0.7761904761904762,0.80625,0.8142857142857143,0.788235294117647,0.76,0.735,0.7952380952380953
random--la43,0.73,0.735,0.735,0.7473684210526316,0.7352941176470589,0.7555555555555555,0.7318181818181818,0.7714285714285715,0.6894736842105262,0.7363636363636363,0.7428571428571429,0.8095238095238095,1.0,0.7272727272727273,0.78,0.7555555555555555,0.7136363636363636,0.7571428571428571,0.7611111111111111,0.8263157894736842,0.7285714285714286,0.7181818181818183,0.8071428571428572,0.7727272727272727,0.73125,0.7428571428571429,0.7705882352941177,0.7333333333333334,0.73,0.7818181818181819
random--la44,0.77,0.745,0.745,0.7473684210526316,0.7705882352941177,0.7555555555555555,0.7318181818181818,0.8214285714285714,0.7157894736842105,0.7521739130434782,0.8,0.7428571428571429,0.7272727272727273,1.0,0.73,0.7611111111111111,0.7434782608695651,0.7714285714285715,0.7944444444444445,0.7631578947368421,0.7285714285714286,0.7739130434782608,0.7642857142857142,0.782608695652174,0.8125,0.7714285714285715,0.788235294117647,0.8200000000000001,0.77,0.7739130434782608
random--la411,0.6950000000000001,0.76,0.76,0.7631578947368421,0.8,0.7166666666666667,0.8049999999999999,0.7642857142857142,0.7263157894736842,0.71,0.75,0.72,0.78,0.73,1.0,0.7388888888888889,0.7050000000000001,0.725,0.7055555555555555,0.7157894736842105,0.725,0.78,0.7785714285714286,0.78,0.74375,0.8,0.7705882352941177,0.74,0.78,0.76
random--la427,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7277777777777779,0.7823529411764706,0.7222222222222222,0.7833333333333333,0.7428571428571429,0.7722222222222223,0.7388888888888889,0.7642857142857142,0.7277777777777779,0.7555555555555555,0.7611111111111111,0.7388888888888889,1.0,0.75,0.7277777777777779,0.7666666666666666,0.7777777777777778,0.7833333333333333,0.8111111111111111,0.7714285714285715,0.7722222222222223,0.7,0.7142857142857143,0.7705882352941177,0.7866666666666666,0.7555555555555555,0.7388888888888889
random--la431,0.7150000000000001,0.7150000000000001,0.7150000000000001,0.7526315789473684,0.7647058823529411,0.7333333333333334,0.7363636363636363,0.7928571428571428,0.7263157894736842,0.7782608695652173,0.7642857142857142,0.7285714285714286,0.7136363636363636,0.7434782608695651,0.7050000000000001,0.75,1.0,0.7666666666666666,0.7666666666666666,0.7263157894736842,0.7285714285714286,0.7695652173913043,0.7642857142857142,0.7304347826086957,0.775,0.8071428571428572,0.7647058823529411,0.8066666666666666,0.765,0.7869565217391304
random--la514,0.76,0.765,0.765,0.7263157894736842,0.8941176470588236,0.7666666666666666,0.7571428571428571,0.7857142857142857,0.7052631578947368,0.7285714285714286,0.7357142857142858,0.7571428571428571,0.7571428571428571,0.7714285714285715,0.725,0.7277777777777779,0.7666666666666666,1.0,0.7166666666666667,0.7157894736842105,0.7666666666666666,0.7523809523809524,0.8357142857142857,0.7952380952380953,0.825,0.8142857142857143,0.8235294117647058,0.7333333333333334,0.765,0.7904761904761904
