test,num_states
one-plus-o216,576
one-plus-o222,599
one-plus-o227,599
one-plus-o243,526
random--la13,423
random--la125,485
random--la102,745
random--la24,441
random--la26,686
random--la219,285
random--la33,487
random--la318,375
random--la43,701
random--la44,565
random--la411,660
random--la427,606
random--la431,620
random--la514,718
random--la519,553
random--la520,501
random--la523,728
random--la66,360
random--la620,394
random--la621,575
random--la637,510
random--la638,428
random--la650,452
random--la76,548
random--la712,280
random--la727,696
