road,one-plus-o216,one-plus-o222,one-plus-o227,one-plus-o243,random--la13,random--la125,random--la102,random--la24,random--la26,random--la219,random--la33,random--la318,random--la43,random--la44,random--la411,random--la427,random--la431,random--la514,random--la519,random--la520,random--la523,random--la66,random--la620,random--la621,random--la637,random--la638,random--la650,random--la76,random--la712,random--la727
one-plus-o216,1.0,0.71484375,0.703125,0.7578125,0.703125,0.77734375,0.80078125,0.734375,0.7890625,0.71484375,0.70703125,0.734375,0.75390625,0.78515625,0.7890625,0.7890625,0.70703125,0.78125,0.77734375,0.7578125,0.75,0.7109375,0.7734375,0.75390625,0.78515625,0.75,0.6953125,0.77734375,0.75,0.75
one-plus-o222,0.71484375,1.0,0.89453125,0.76171875,0.74609375,0.796875,0.7109375,0.76953125,0.73828125,0.7265625,0.6953125,0.73828125,0.78125,0.78125,0.73046875,0.79296875,0.75,0.77734375,0.734375,0.74609375,0.74609375,0.75390625,0.73046875,0.765625,0.7734375,0.76953125,0.71484375,0.734375,0.76953125,0.76171875
one-plus-o227,0.703125,0.89453125,1.0,0.75,0.734375,0.79296875,0.73828125,0.765625,0.703125,0.73828125,0.69921875,0.7265625,0.75390625,0.78515625,0.7265625,0.78125,0.74609375,0.78125,0.73828125,0.734375,0.765625,0.734375,0.734375,0.77734375,0.76171875,0.7578125,0.6953125,0.73828125,0.734375,0.765625
one-plus-o243,0.7578125,0.76171875,0.75,1.0,0.734375,0.77734375,0.77734375,0.703125,0.7734375,0.72265625,0.73046875,0.7109375,0.74609375,0.76171875,0.75,0.75,0.69921875,0.7578125,0.77734375,0.75,0.75,0.703125,0.75,0.76953125,0.78515625,0.7421875,0.6640625,0.73828125,0.7109375,0.7734375
random--la13,0.703125,0.74609375,0.734375,0.734375,1.0,0.74609375,0.73046875,0.765625,0.7734375,0.73046875,0.76171875,0.7421875,0.76171875,0.76171875,0.6875,0.78125,0.76171875,0.75,0.73828125,0.7421875,0.7109375,0.6875,0.765625,0.76953125,0.77734375,0.7890625,0.734375,0.80078125,0.7265625,0.765625
random--la125,0.77734375,0.796875,0.79296875,0.77734375,0.74609375,1.0,0.7890625,0.77734375,0.76171875,0.703125,0.703125,0.73046875,0.7890625,0.7890625,0.74609375,0.77734375,0.7109375,0.76171875,0.796875,0.75390625,0.76953125,0.74609375,0.76171875,0.7734375,0.8203125,0.74609375,0.68359375,0.7890625,0.73828125,0.80859375
random--la102,0.80078125,0.7109375,0.73828125,0.77734375,0.73046875,0.7890625,1.0,0.77734375,0.79296875,0.71875,0.7265625,0.70703125,0.78125,0.796875,0.78515625,0.77734375,0.734375,0.83984375,0.78125,0.76171875,0.78515625,0.74609375,0.76171875,0.734375,0.796875,0.74609375,0.72265625,0.8125,0.73828125,0.76953125
random--la24,0.734375,0.76953125,0.765625,0.703125,0.765625,0.77734375,0.77734375,1.0,0.7578125,0.73828125,0.75390625,0.765625,0.86328125,0.77734375,0.7578125,0.8359375,0.76171875,0.796875,0.77734375,0.7578125,0.7265625,0.7578125,0.765625,0.76953125,0.78515625,0.828125,0.8125,0.83203125,0.765625,0.7734375
random--la26,0.7890625,0.73828125,0.703125,0.7734375,0.7734375,0.76171875,0.79296875,0.7578125,1.0,0.74609375,0.76171875,0.734375,0.77734375,0.76171875,0.734375,0.765625,0.73046875,0.796875,0.79296875,0.734375,0.7890625,0.734375,0.8125,0.77734375,0.81640625,0.7578125,0.71875,0.79296875,0.75,0.78125
random--la219,0.71484375,0.7265625,0.73828125,0.72265625,0.73046875,0.703125,0.71875,0.73828125,0.74609375,1.0,0.71875,0.76171875,0.7109375,0.7421875,0.73828125,0.80078125,0.671875,0.76953125,0.7578125,0.72265625,0.76953125,0.70703125,0.76953125,0.7578125,0.7109375,0.73828125,0.66796875,0.7421875,0.76171875,0.74609375
random--la33,0.70703125,0.6953125,0.69921875,0.73046875,0.76171875,0.703125,0.7265625,0.75390625,0.76171875,0.71875,1.0,0.73046875,0.7578125,0.734375,0.68359375,0.75390625,0.7109375,0.73046875,0.71875,0.68359375,0.69921875,0.70703125,0.79296875,0.71875,0.8046875,0.78515625,0.72265625,0.7734375,0.76171875,0.77734375
random--la318,0.734375,0.73828125,0.7265625,0.7109375,0.7421875,0.73046875,0.70703125,0.765625,0.734375,0.76171875,0.73046875,1.0,0.76953125,0.76171875,0.734375,0.8125,0.70703125,0.7421875,0.74609375,0.7421875,0.75,0.7578125,0.7734375,0.80078125,0.76953125,0.7578125,0.71875,0.77734375,0.71875,0.84375
random--la43,0.75390625,0.78125,0.75390625,0.74609375,0.76171875,0.7890625,0.78125,0.86328125,0.77734375,0.7109375,0.7578125,0.76953125,1.0,0.7578125,0.74609375,0.80859375,0.75,0.83203125,0.796875,0.78515625,0.77734375,0.76171875,0.80078125,0.765625,0.796875,0.80859375,0.81640625,0.8125,0.80078125,0.80859375
random--la44,0.78515625,0.78125,0.78515625,0.76171875,0.76171875,0.7890625,0.796875,0.77734375,0.76171875,0.7421875,0.734375,0.76171875,0.7578125,1.0,0.80078125,0.83984375,0.71875,0.76953125,0.796875,0.75390625,0.77734375,0.76171875,0.77734375,0.7890625,0.8203125,0.73828125,0.75390625,0.8046875,0.73046875,0.82421875
random--la411,0.7890625,0.73046875,0.7265625,0.75,0.6875,0.74609375,0.78515625,0.7578125,0.734375,0.73828125,0.68359375,0.734375,0.74609375,0.80078125,1.0,0.7734375,0.72265625,0.7734375,0.77734375,0.7734375,0.7421875,0.734375,0.7578125,0.75390625,0.77734375,0.7421875,0.71875,0.77734375,0.7578125,0.7421875
random--la427,0.7890625,0.79296875,0.78125,0.75,0.78125,0.77734375,0.77734375,0.8359375,0.765625,0.80078125,0.75390625,0.8125,0.80859375,0.83984375,0.7734375,1.0,0.74609375,0.828125,0.78515625,0.796875,0.796875,0.7578125,0.7734375,0.81640625,0.78515625,0.8203125,0.75,0.80078125,0.8125,0.8046875
random--la431,0.70703125,0.75,0.74609375,0.69921875,0.76171875,0.7109375,0.734375,0.76171875,0.73046875,0.671875,0.7109375,0.70703125,0.75,0.71875,0.72265625,0.74609375,1.0,0.71484375,0.71875,0.69140625,0.73046875,0.69921875,0.76171875,0.7421875,0.765625,0.74609375,0.74609375,0.7890625,0.71484375,0.70703125
random--la514,0.78125,0.77734375,0.78125,0.7578125,0.75,0.76171875,0.83984375,0.796875,0.796875,0.76953125,0.73046875,0.7421875,0.83203125,0.76953125,0.7734375,0.828125,0.71484375,1.0,0.79296875,0.8125,0.828125,0.7734375,0.765625,0.79296875,0.77734375,0.7421875,0.7421875,0.77734375,0.8125,0.7890625
random--la519,0.77734375,0.734375,0.73828125,0.77734375,0.73828125,0.796875,0.78125,0.77734375,0.79296875,0.7578125,0.71875,0.74609375,0.796875,0.796875,0.77734375,0.78515625,0.71875,0.79296875,1.0,0.79296875,0.77734375,0.73828125,0.80078125,0.7890625,0.8046875,0.76953125,0.72265625,0.8203125,0.75390625,0.79296875
random--la520,0.7578125,0.74609375,0.734375,0.75,0.7421875,0.75390625,0.76171875,0.7578125,0.734375,0.72265625,0.68359375,0.7421875,0.78515625,0.75390625,0.7734375,0.796875,0.69140625,0.8125,0.79296875,1.0,0.7890625,0.71875,0.734375,0.73046875,0.73046875,0.7890625,0.7265625,0.76171875,0.796875,0.765625
random--la523,0.75,0.74609375,0.765625,0.75,0.7109375,0.76953125,0.78515625,0.7265625,0.7890625,0.76953125,0.69921875,0.75,0.77734375,0.77734375,0.7421875,0.796875,0.73046875,0.828125,0.77734375,0.7890625,1.0,0.7421875,0.7890625,0.79296875,0.75390625,0.734375,0.703125,0.75390625,0.7421875,0.8125
random--la66,0.7109375,0.75390625,0.734375,0.703125,0.6875,0.74609375,0.74609375,0.7578125,0.734375,0.70703125,0.70703125,0.7578125,0.76171875,0.76171875,0.734375,0.7578125,0.69921875,0.7734375,0.73828125,0.71875,0.7421875,1.0,0.7265625,0.73828125,0.69921875,0.734375,0.734375,0.75390625,0.71875,0.7421875
random--la620,0.7734375,0.73046875,0.734375,0.75,0.765625,0.76171875,0.76171875,0.765625,0.8125,0.76953125,0.79296875,0.7734375,0.80078125,0.77734375,0.7578125,0.7734375,0.76171875,0.765625,0.80078125,0.734375,0.7890625,0.7265625,1.0,0.78515625,0.80078125,0.78125,0.7421875,0.81640625,0.78125,0.78125
random--la621,0.75390625,0.765625,0.77734375,0.76953125,0.76953125,0.7734375,0.734375,0.76953125,0.77734375,0.7578125,0.71875,0.80078125,0.765625,0.7890625,0.75390625,0.81640625,0.7421875,0.79296875,0.7890625,0.73046875,0.79296875,0.73828125,0.78515625,1.0,0.78125,0.75390625,0.70703125,0.765625,0.74609375,0.79296875
random--la637,0.78515625,0.7734375,0.76171875,0.78515625,0.77734375,0.8203125,0.796875,0.78515625,0.81640625,0.7109375,0.8046875,0.76953125,0.796875,0.8203125,0.77734375,0.78515625,0.765625,0.77734375,0.8046875,0.73046875,0.75390625,0.69921875,0.80078125,0.78125,1.0,0.76171875,0.73828125,0.84375,0.76171875,0.81640625
random--la638,0.75,0.76953125,0.7578125,0.7421875,0.7890625,0.74609375,0.74609375,0.828125,0.7578125,0.73828125,0.78515625,0.7578125,0.80859375,0.73828125,0.7421875,0.8203125,0.74609375,0.7421875,0.76953125,0.7890625,0.734375,0.734375,0.78125,0.75390625,0.76171875,1.0,0.75,0.81640625,0.7734375,0.75
random--la650,0.6953125,0.71484375,0.6953125,0.6640625,0.734375,0.68359375,0.72265625,0.8125,0.71875,0.66796875,0.72265625,0.71875,0.81640625,0.75390625,0.71875,0.75,0.74609375,0.7421875,0.72265625,0.7265625,0.703125,0.734375,0.7421875,0.70703125,0.73828125,0.75,1.0,0.76953125,0.71875,0.734375
random--la76,0.77734375,0.734375,0.73828125,0.73828125,0.80078125,0.7890625,0.8125,0.83203125,0.79296875,0.7421875,0.7734375,0.77734375,0.8125,0.8046875,0.77734375,0.80078125,0.7890625,0.77734375,0.8203125,0.76171875,0.75390625,0.75390625,0.81640625,0.765625,0.84375,0.81640625,0.76953125,1.0,0.76953125,0.77734375
random--la712,0.75,0.76953125,0.734375,0.7109375,0.7265625,0.73828125,0.73828125,0.765625,0.75,0.76171875,0.76171875,0.71875,0.80078125,0.73046875,0.7578125,0.8125,0.71484375,0.8125,0.75390625,0.796875,0.7421875,0.71875,0.78125,0.74609375,0.76171875,0.7734375,0.71875,0.76953125,1.0,0.734375
random--la727,0.75,0.76171875,0.765625,0.7734375,0.765625,0.80859375,0.76953125,0.7734375,0.78125,0.74609375,0.77734375,0.84375,0.80859375,0.82421875,0.7421875,0.8046875,0.70703125,0.7890625,0.79296875,0.765625,0.8125,0.7421875,0.78125,0.79296875,0.81640625,0.75,0.734375,0.77734375,0.734375,1.0
