road,one-plus-o243,random--la17,random--la26,random--la211,random--la231,random--la232,random--la235,random--la237,random--la413,random--la419,random--la421,random--la430,random--la52,random--la53,random--la54,random--la68,random--la614,random--la623,random--la625,random--la642,random--la653,random--la654,random--la655,random--la657,random--la658,random--la78,random--la732,random--la93,random--la913,random--la923
one-plus-o243,1.0,0.6484375,0.7734375,0.76953125,0.6640625,0.703125,0.75,0.75,0.72265625,0.69921875,0.7578125,0.71875,0.7421875,0.70703125,0.78125,0.73828125,0.76171875,0.77734375,0.73828125,0.76953125,0.7109375,0.7734375,0.7734375,0.7421875,0.76953125,0.71875,0.6953125,0.7734375,0.7265625,0.73828125
random--la17,0.6484375,1.0,0.6484375,0.67578125,0.6875,0.640625,0.7109375,0.7109375,0.70703125,0.73828125,0.7578125,0.6875,0.6640625,0.86328125,0.7421875,0.80859375,0.58984375,0.69140625,0.70703125,0.72265625,0.6796875,0.7265625,0.59375,0.765625,0.70703125,0.71875,0.65625,0.6953125,0.7109375,0.82421875
random--la26,0.7734375,0.6484375,1.0,0.79296875,0.6953125,0.734375,0.7578125,0.78125,0.75390625,0.69921875,0.7421875,0.7890625,0.8203125,0.73828125,0.7265625,0.76953125,0.79296875,0.78515625,0.77734375,0.74609375,0.765625,0.7890625,0.7734375,0.7890625,0.80078125,0.78125,0.703125,0.78125,0.78125,0.73828125
random--la211,0.76953125,0.67578125,0.79296875,1.0,0.73046875,0.77734375,0.75390625,0.85546875,0.7734375,0.7734375,0.76953125,0.78515625,0.80078125,0.78125,0.74609375,0.8125,0.7890625,0.828125,0.796875,0.796875,0.79296875,0.80078125,0.80859375,0.77734375,0.8515625,0.80859375,0.69921875,0.88671875,0.78515625,0.75
random--la231,0.6640625,0.6875,0.6953125,0.73046875,1.0,0.71875,0.7109375,0.7578125,0.78515625,0.70703125,0.734375,0.7578125,0.734375,0.74609375,0.6796875,0.73828125,0.73828125,0.73828125,0.73828125,0.72265625,0.765625,0.7421875,0.734375,0.765625,0.75390625,0.7578125,0.703125,0.765625,0.7421875,0.74609375
random--la232,0.703125,0.640625,0.734375,0.77734375,0.71875,1.0,0.7578125,0.7578125,0.73828125,0.71484375,0.6953125,0.7421875,0.765625,0.71484375,0.7109375,0.76953125,0.73828125,0.76171875,0.78515625,0.74609375,0.796875,0.734375,0.75,0.734375,0.78515625,0.7578125,0.6875,0.7890625,0.78125,0.72265625
random--la235,0.75,0.7109375,0.7578125,0.75390625,0.7109375,0.7578125,1.0,0.75,0.70703125,0.71484375,0.8046875,0.734375,0.765625,0.73828125,0.734375,0.79296875,0.69921875,0.77734375,0.76171875,0.74609375,0.7421875,0.71875,0.7578125,0.7421875,0.76171875,0.7578125,0.6953125,0.75,0.7109375,0.69921875
random--la237,0.75,0.7109375,0.78125,0.85546875,0.7578125,0.7578125,0.75,1.0,0.80859375,0.76171875,0.78125,0.7734375,0.8046875,0.78515625,0.7578125,0.79296875,0.79296875,0.82421875,0.79296875,0.81640625,0.78125,0.796875,0.8046875,0.78125,0.86328125,0.796875,0.71875,0.828125,0.796875,0.73828125
random--la413,0.72265625,0.70703125,0.75390625,0.7734375,0.78515625,0.73828125,0.70703125,0.80859375,1.0,0.7578125,0.74609375,0.81640625,0.80078125,0.78125,0.74609375,0.8125,0.765625,0.78125,0.84375,0.8125,0.80078125,0.80859375,0.81640625,0.84765625,0.78125,0.83984375,0.66015625,0.80078125,0.78515625,0.8203125
random--la419,0.69921875,0.73828125,0.69921875,0.7734375,0.70703125,0.71484375,0.71484375,0.76171875,0.7578125,1.0,0.74609375,0.73046875,0.76171875,0.796875,0.72265625,0.7890625,0.7109375,0.7265625,0.7734375,0.734375,0.71484375,0.74609375,0.70703125,0.76953125,0.765625,0.72265625,0.67578125,0.79296875,0.77734375,0.7578125
random--la421,0.7578125,0.7578125,0.7421875,0.76953125,0.734375,0.6953125,0.8046875,0.78125,0.74609375,0.74609375,1.0,0.7578125,0.78125,0.78515625,0.78125,0.80078125,0.73828125,0.82421875,0.74609375,0.73828125,0.7421875,0.7578125,0.765625,0.75,0.77734375,0.7421875,0.734375,0.7890625,0.75,0.71484375
random--la430,0.71875,0.6875,0.7890625,0.78515625,0.7578125,0.7421875,0.734375,0.7734375,0.81640625,0.73046875,0.7578125,1.0,0.7890625,0.76953125,0.7265625,0.77734375,0.79296875,0.83984375,0.80078125,0.79296875,0.828125,0.828125,0.7890625,0.828125,0.80078125,0.796875,0.703125,0.8203125,0.7890625,0.80078125
random--la52,0.7421875,0.6640625,0.8203125,0.80078125,0.734375,0.765625,0.765625,0.8046875,0.80078125,0.76171875,0.78125,0.7890625,1.0,0.76953125,0.7421875,0.76171875,0.77734375,0.78515625,0.78515625,0.74609375,0.7421875,0.796875,0.8125,0.765625,0.79296875,0.796875,0.7265625,0.7734375,0.8203125,0.71484375
random--la53,0.70703125,0.86328125,0.73828125,0.78125,0.74609375,0.71484375,0.73828125,0.78515625,0.78125,0.796875,0.78515625,0.76953125,0.76953125,1.0,0.77734375,0.84375,0.6796875,0.7734375,0.8046875,0.8046875,0.77734375,0.81640625,0.70703125,0.81640625,0.765625,0.78515625,0.73046875,0.77734375,0.80078125,0.8359375
random--la54,0.78125,0.7421875,0.7265625,0.74609375,0.6796875,0.7109375,0.734375,0.7578125,0.74609375,0.72265625,0.78125,0.7265625,0.7421875,0.77734375,1.0,0.77734375,0.69140625,0.79296875,0.73046875,0.81640625,0.75,0.7578125,0.734375,0.7734375,0.75390625,0.78125,0.703125,0.7578125,0.7578125,0.76171875
random--la68,0.73828125,0.80859375,0.76953125,0.8125,0.73828125,0.76953125,0.79296875,0.79296875,0.8125,0.7890625,0.80078125,0.77734375,0.76171875,0.84375,0.77734375,1.0,0.734375,0.8046875,0.8125,0.8046875,0.80078125,0.80078125,0.75390625,0.84765625,0.8203125,0.79296875,0.71484375,0.80859375,0.80078125,0.828125
random--la614,0.76171875,0.58984375,0.79296875,0.7890625,0.73828125,0.73828125,0.69921875,0.79296875,0.765625,0.7109375,0.73828125,0.79296875,0.77734375,0.6796875,0.69140625,0.734375,1.0,0.796875,0.7265625,0.734375,0.76171875,0.76953125,0.80859375,0.71484375,0.7734375,0.74609375,0.67578125,0.80859375,0.73828125,0.6953125
random--la623,0.77734375,0.69140625,0.78515625,0.828125,0.73828125,0.76171875,0.77734375,0.82421875,0.78125,0.7265625,0.82421875,0.83984375,0.78515625,0.7734375,0.79296875,0.8046875,0.796875,1.0,0.796875,0.8046875,0.80859375,0.78515625,0.82421875,0.77734375,0.8203125,0.79296875,0.74609375,0.85546875,0.79296875,0.765625
random--la625,0.73828125,0.70703125,0.77734375,0.796875,0.73828125,0.78515625,0.76171875,0.79296875,0.84375,0.7734375,0.74609375,0.80078125,0.78515625,0.8046875,0.73046875,0.8125,0.7265625,0.796875,1.0,0.796875,0.78515625,0.82421875,0.83203125,0.80859375,0.7734375,0.81640625,0.70703125,0.81640625,0.83203125,0.7890625
random--la642,0.76953125,0.72265625,0.74609375,0.796875,0.72265625,0.74609375,0.74609375,0.81640625,0.8125,0.734375,0.73828125,0.79296875,0.74609375,0.8046875,0.81640625,0.8046875,0.734375,0.8046875,0.796875,1.0,0.80859375,0.78515625,0.78515625,0.84765625,0.8046875,0.83984375,0.69140625,0.80078125,0.76171875,0.828125
random--la653,0.7109375,0.6796875,0.765625,0.79296875,0.765625,0.796875,0.7421875,0.78125,0.80078125,0.71484375,0.7421875,0.828125,0.7421875,0.77734375,0.75,0.80078125,0.76171875,0.80859375,0.78515625,0.80859375,1.0,0.78125,0.78125,0.8359375,0.79296875,0.8046875,0.6796875,0.796875,0.765625,0.78515625
random--la654,0.7734375,0.7265625,0.7890625,0.80078125,0.7421875,0.734375,0.71875,0.796875,0.80859375,0.74609375,0.7578125,0.828125,0.796875,0.81640625,0.7578125,0.80078125,0.76953125,0.78515625,0.82421875,0.78515625,0.78125,1.0,0.765625,0.8203125,0.80859375,0.796875,0.6953125,0.796875,0.875,0.81640625
random--la655,0.7734375,0.59375,0.7734375,0.80859375,0.734375,0.75,0.7578125,0.8046875,0.81640625,0.70703125,0.765625,0.7890625,0.8125,0.70703125,0.734375,0.75390625,0.80859375,0.82421875,0.83203125,0.78515625,0.78125,0.765625,1.0,0.7421875,0.79296875,0.7890625,0.71875,0.8125,0.78125,0.71484375
random--la657,0.7421875,0.765625,0.7890625,0.77734375,0.765625,0.734375,0.7421875,0.78125,0.84765625,0.76953125,0.75,0.828125,0.765625,0.81640625,0.7734375,0.84765625,0.71484375,0.77734375,0.80859375,0.84765625,0.8359375,0.8203125,0.7421875,1.0,0.81640625,0.828125,0.65625,0.796875,0.765625,0.84765625
