road,one-plus-o224,one-plus-o228,random--la112,random--la114,random--la125,random--la102,random--la1010,random--la1021,random--la24,random--la26,random--la218,random--la235,random--la240,random--la318,random--la43,random--la431,random--la438,random--la514,random--la532,random--la63,random--la66,random--la621,random--la630,random--la631,random--la633,random--la638,random--la641,random--la712,random--la727,random--la910
one-plus-o224,1.0,0.975,0.7736842105263158,0.8071428571428572,0.7333333333333334,0.77,0.73,0.745,0.7785714285714286,0.7473684210526316,0.765,0.7571428571428571,0.7461538461538462,0.73,0.735,0.7150000000000001,0.7473684210526316,0.765,0.725,0.8076923076923077,0.725,0.72,0.7529411764705882,0.775,0.725,0.7428571428571429,0.8105263157894737,0.74,0.75,0.78
one-plus-o228,0.975,1.0,0.7894736842105263,0.8,0.7611111111111111,0.745,0.72,0.72,0.8,0.7315789473684211,0.75,0.7214285714285714,0.7538461538461538,0.725,0.745,0.6950000000000001,0.7315789473684211,0.74,0.74,0.8,0.735,0.735,0.7529411764705882,0.79,0.75,0.7785714285714286,0.7842105263157895,0.745,0.745,0.8133333333333334
random--la112,0.7736842105263158,0.7894736842105263,1.0,0.7214285714285714,0.75,0.7684210526315789,0.7473684210526316,0.7631578947368421,0.8,0.7578947368421053,0.7894736842105263,0.75,0.8153846153846154,0.7315789473684211,0.7210526315789474,0.7473684210526316,0.7473684210526316,0.7210526315789474,0.7578947368421053,0.8153846153846154,0.7736842105263158,0.7789473684210526,0.7764705882352941,0.7842105263157895,0.8368421052631578,0.8214285714285714,0.7473684210526316,0.7947368421052632,0.7631578947368421,0.8333333333333334
random--la114,0.8071428571428572,0.8,0.7214285714285714,1.0,0.7428571428571429,0.7714285714285715,0.7785714285714286,0.7357142857142858,0.8071428571428572,0.7428571428571429,0.7714285714285715,0.75,0.7384615384615385,0.7571428571428571,0.8,0.7142857142857143,0.7571428571428571,0.75,0.8214285714285714,0.7076923076923076,0.8,0.7714285714285715,0.75,0.8,0.7571428571428571,0.7928571428571428,0.8142857142857143,0.7142857142857143,0.8142857142857143,0.7928571428571428
random--la125,0.7333333333333334,0.7611111111111111,0.75,0.7428571428571429,1.0,0.75,0.7888888888888889,0.7833333333333333,0.8142857142857143,0.6722222222222223,0.7611111111111111,0.7785714285714286,0.7538461538461538,0.8444444444444444,0.7555555555555555,0.7333333333333334,0.7777777777777778,0.7666666666666666,0.7111111111111111,0.7615384615384615,0.7111111111111111,0.75,0.7529411764705882,0.7388888888888889,0.7388888888888889,0.7714285714285715,0.7888888888888889,0.7555555555555555,0.7777777777777778,0.78
random--la102,0.77,0.745,0.7684210526315789,0.7714285714285715,0.75,1.0,0.7727272727272727,0.7428571428571429,0.7857142857142857,0.7526315789473684,0.7454545454545455,0.7642857142857142,0.7846153846153846,0.7476190476190476,0.7318181818181818,0.7363636363636363,0.7526315789473684,0.7571428571428571,0.745,0.8076923076923077,0.75,0.740909090909091,0.7764705882352941,0.740909090909091,0.8,0.8428571428571429,0.7789473684210526,0.83,0.7227272727272727,0.78
random--la1010,0.73,0.72,0.7473684210526316,0.7785714285714286,0.7888888888888889,0.7727272727272727,1.0,0.7619047619047619,0.8071428571428572,0.7,0.7807692307692308,0.7214285714285714,0.7538461538461538,0.7857142857142857,0.740909090909091,0.7782608695652173,0.7684210526315789,0.7428571428571429,0.765,0.7538461538461538,0.7041666666666666,0.744,0.7588235294117647,0.7772727272727273,0.7925925925925926,0.7928571428571428,0.7894736842105263,0.78,0.7692307692307692,0.7266666666666667
random--la1021,0.745,0.72,0.7631578947368421,0.7357142857142858,0.7833333333333333,0.7428571428571429,0.7619047619047619,1.0,0.7928571428571428,0.736842105263158,0.780952380952381,0.7428571428571429,0.8153846153846154,0.7476190476190476,0.7285714285714286,0.780952380952381,0.7473684210526316,0.7238095238095238,0.725,0.7307692307692308,0.7428571428571429,0.7761904761904762,0.7470588235294118,0.7666666666666666,0.7761904761904762,0.7928571428571428,0.8157894736842105,0.77,0.7666666666666666,0.74
random--la24,0.7785714285714286,0.8,0.8,0.8071428571428572,0.8142857142857143,0.7857142857142857,0.8071428571428572,0.7928571428571428,1.0,0.7071428571428571,0.7857142857142857,0.7571428571428571,0.7384615384615385,0.7714285714285715,0.7714285714285715,0.7928571428571428,0.8214285714285714,0.7857142857142857,0.8428571428571429,0.7153846153846154,0.7571428571428571,0.7928571428571428,0.75,0.7714285714285715,0.7714285714285715,0.7857142857142857,0.7642857142857142,0.75,0.8214285714285714,0.9
random--la26,0.7473684210526316,0.7315789473684211,0.7578947368421053,0.7428571428571429,0.6722222222222223,0.7526315789473684,0.7,0.736842105263158,0.7071428571428571,1.0,0.7157894736842105,0.7285714285714286,0.7615384615384615,0.7,0.6894736842105262,0.7263157894736842,0.7052631578947368,0.7052631578947368,0.7631578947368421,0.7923076923076923,0.7789473684210526,0.7157894736842105,0.7647058823529411,0.8,0.736842105263158,0.7357142857142858,0.736842105263158,0.7473684210526316,0.7315789473684211,0.7333333333333334
