road,one-plus-o224,one-plus-o228,random--la112,random--la114,random--la125,random--la102,random--la1010,random--la1021,random--la24,random--la26,random--la218,random--la235,random--la240,random--la318,random--la43,random--la431,random--la438,random--la514,random--la532,random--la63,random--la66,random--la621,random--la630,random--la631,random--la633,random--la638,random--la641,random--la712,random--la727,random--la910
one-plus-o224,1.0,1.0,0.5833333333333334,0.7272727272727273,0.75,0.8181818181818182,0.8181818181818182,0.75,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.75,0.9090909090909091,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.5833333333333334,0.9090909090909091,0.6666666666666666,0.75,0.7272727272727273,0.75,0.8333333333333334,0.8181818181818182
one-plus-o228,1.0,1.0,0.5833333333333334,0.7272727272727273,0.75,0.8181818181818182,0.8181818181818182,0.75,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.75,0.9090909090909091,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.5833333333333334,0.9090909090909091,0.6666666666666666,0.75,0.7272727272727273,0.75,0.8333333333333334,0.8181818181818182
random--la112,0.5833333333333334,0.5833333333333334,1.0,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.8181818181818182,0.9,0.6666666666666666,0.75,0.7,0.6363636363636364,0.9,0.6666666666666666,0.6666666666666666,0.75,0.8181818181818182,0.7272727272727273,0.5833333333333334,0.7272727272727273,0.9,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.75,0.5833333333333334
random--la114,0.7272727272727273,0.7272727272727273,0.6363636363636364,1.0,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.5833333333333334,0.8181818181818182,0.75,0.7,0.8,0.7272727272727273,0.6666666666666666,0.8181818181818182,0.75,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.8,0.6666666666666666,0.75,0.7272727272727273
random--la125,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,0.9090909090909091,0.75,0.8333333333333334,0.75,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.75,0.75,0.75,0.75,0.6666666666666666,0.8333333333333334,0.6153846153846154,1.0,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.75
random--la102,0.8181818181818182,0.8181818181818182,0.5833333333333334,0.7272727272727273,0.9090909090909091,1.0,0.8181818181818182,0.75,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.75,0.9090909090909091,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.5833333333333334,0.75,0.6666666666666666,0.9090909090909091,0.9,0.75,0.8333333333333334,0.8181818181818182
random--la1010,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.75,0.8181818181818182,1.0,0.75,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.8,0.7272727272727273,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.7272727272727273,0.75,0.8181818181818182,0.75,0.7272727272727273,0.75,0.8333333333333334,0.8181818181818182
random--la1021,0.75,0.75,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.75,0.75,1.0,0.75,0.8333333333333334,0.9166666666666666,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9090909090909091,0.75,0.75,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.6153846153846154,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.75
random--la24,0.6666666666666666,0.6666666666666666,0.9,0.5833333333333334,0.75,0.6666666666666666,0.8181818181818182,0.75,1.0,0.75,0.8333333333333334,0.6363636363636364,0.5833333333333334,0.8181818181818182,0.75,0.75,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.75,0.8181818181818182,0.75,0.5833333333333334,0.75,0.8333333333333334,0.6666666666666666
random--la26,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.8181818181818182,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.75,1.0,0.9166666666666666,0.7272727272727273,0.8181818181818182,0.75,0.8333333333333334,1.0,0.9166666666666666,0.8333333333333334,0.75,0.75,0.9090909090909091,0.75,0.6666666666666666,0.8333333333333334,0.75,0.8333333333333334,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.9090909090909091
